Black Carbon input adjustements for transportation,,,,,,,,,,,

Adjusted roughtly for lower increase in high speed transport efficiency,,,,,,,,,,,

INPUT_TABLE,,,,,,,,,,,
Variable ID,,Transport oil emissions correction,,,,,,,,,
803,,Correction for mode shifts (particularly shift to aircraft) using methodology of Shaffer,,,,,,,,,
Source Inputs,,,,,,,,,,,
gas,src,,,,,,,,,,
7,13,,,,,,,,,,
Region,1990,2005,2020,2035,2050,2065,2080,2095,,,
1,0.0000,0.0257,0.0907,0.1263,0.1211,0.1510,0.1987,0.2334,US,Formula:,0.431818182
2,0.0000,-0.0594,0.0215,0.0790,0.1006,0.1548,0.2279,0.2859,CANADA,,
3,0.0000,0.1177,0.1425,0.2336,0.2666,0.3213,0.3852,0.4301,WEUR,,
4,0.0000,-0.0031,-0.0348,0.0128,0.0161,0.1105,0.2239,0.3140,JAPAN,,
5,0.0000,0.0991,0.1212,0.1230,0.1424,0.1929,0.2633,0.3197,AUS&NZ,,
6,0.0000,-0.0526,-0.0992,0.0416,0.0476,0.0929,0.1310,0.1598,FSU
7,0.0000,0.1500,0.2500,0.3500,0.4500,0.4650,0.4678,0.4701,ACENP
8,0.0000,0.0613,-0.1218,-0.4477,-0.4497,-0.4670,-0.3154,-0.1471,MIDEAST
9,0.0000,0.0172,0.0568,0.0697,0.0750,0.0748,0.0757,0.0758,AFRICA
10,0.0000,0.0172,0.0642,0.0741,0.0900,0.1789,0.3118,0.4038,L AMER
11,0.0000,0.1500,0.2286,0.2772,0.4241,0.5773,0.7098,0.7911,S&E ASIA
12,0.0000,-0.0781,-0.1505,-0.1057,-0.0638,0.0172,0.1163,0.1936,EEUR
13,0.0000,0.1500,0.2500,0.3500,0.3753,0.4224,0.4835,0.5156,KOR
14,0.0000,0.1500,0.2337,0.2864,0.4111,0.5476,0.6635,0.7363,INDIA



EoF,,,,,,,,,
