# Non-fuel costs (1975$/GJ-service output) of all buildings sector technologies,,,,,,,,,,
# Source: Tables_BEND_Data.xlsx,,,,,,,,,,
supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095
resid heating,biomass,wood furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238
resid heating,coal,coal furnace,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238
resid heating,electricity,electric furnace,1.959,1.959,1.930,1.901,1.873,1.845,1.817,1.790
resid heating,electricity,electric heat pump,5.681,5.681,5.597,5.513,5.431,5.350,5.271,5.192
resid heating,electricity,electric heat pump hi-eff,5.681,5.681,5.597,5.513,5.431,5.350,5.270,5.192
resid heating,gas,gas furnace,2.127,2.127,2.473,2.436,2.400,2.364,2.329,2.294
resid heating,gas,gas furnace hi-eff,2.909,2.909,3.325,3.275,3.227,3.179,3.131,3.085
resid heating,refined liquids,fuel furnace,2.839,2.839,2.839,2.797,2.755,2.714,2.674,2.634
resid heating,refined liquids,fuel furnace hi-eff,3.363,3.363,3.363,3.313,3.263,3.215,3.167,3.120
resid heating,district services,district services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
resid cooling,electricity,air conditioning,8.775,8.775,8.775,8.644,8.516,8.389,8.264,8.141
resid cooling,electricity,air conditioning hi-eff,10.903,10.903,10.903,10.740,10.580,10.423,10.267,10.114
resid cooling,district services,district services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
resid hot water,electricity,electric resistance water heater,3.932,3.932,5.733,5.648,5.564,5.481,5.399,5.319
resid hot water,electricity,electric resistance water heater hi-eff,5.243,5.243,6.601,6.502,6.406,6.310,6.216,6.124
resid hot water,electricity,electric heat pump water heater,8.329,8.329,8.329,8.022,7.726,7.441,7.167,6.903
resid hot water,gas,gas water heater,3.975,3.975,7.258,7.150,7.044,6.939,6.835,6.734
resid hot water,gas,gas water heater hi-eff,7.352,7.352,12.344,12.160,11.979,11.800,11.625,11.451
resid hot water,refined liquids,fuel water heater,12.252,12.252,12.252,12.069,11.889,11.712,11.538,11.366
resid hot water,refined liquids,fuel water heater hi-eff,16.005,16.005,16.005,15.766,15.531,15.300,15.072,14.848
resid lighting,electricity,incandescent,33.047,33.047,32.555,32.070,31.592,31.121,30.658,30.201
resid lighting,electricity,fluorescent,56.159,56.159,55.322,54.498,53.686,52.887,52.099,51.323
resid lighting,electricity,solid state,393.432,393.432,387.571,381.798,376.111,370.509,364.990,359.553
resid ventilation,electricity,ventilation,10.199,10.199,10.199,10.047,9.898,9.750,9.605,9.462
resid ventilation,electricity,ventilation hi-eff,13.253,13.253,13.253,13.056,12.861,12.670,12.481,12.295
resid pumping,electricity,pumping,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
resid other,electricity,electricity,66.773,66.773,65.779,64.799,63.834,62.883,61.946,61.024
resid other,gas,gas,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278
resid other,refined liquids,refined liquids,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278
comm heating,biomass,biomass boiler,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238
comm heating,coal,coal,1.355,1.355,1.335,1.315,1.295,1.276,1.257,1.238
comm heating,electricity,electric furnace,1.754,1.754,1.728,1.702,1.677,1.652,1.627,1.603
comm heating,electricity,electric heat pump,2.262,2.262,2.228,2.195,2.162,2.130,2.098,2.067
comm heating,electricity,electric heat pump hi-eff,4.567,4.567,4.499,4.432,4.366,4.301,4.237,4.174
comm heating,gas,gas furnace,2.932,2.932,2.888,2.845,2.803,2.761,2.720,2.680
comm heating,gas,gas furnace hi-eff,4.141,4.141,4.079,4.019,3.959,3.900,3.842,3.785
comm heating,refined liquids,fuel boiler,0.958,0.958,0.958,0.944,0.930,0.916,0.902,0.889
comm heating,refined liquids,fuel boiler hi-eff,1.411,1.411,1.411,1.390,1.369,1.348,1.328,1.309
comm heating,district services,district services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
comm cooling,electricity,air conditioning,1.903,1.903,2.233,2.200,2.167,2.135,2.103,2.072
comm cooling,electricity,air conditioning hi-eff,2.032,2.032,2.586,2.547,2.509,2.472,2.435,2.399
comm cooling,district services,district services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
comm hot water,electricity,electric resistance water heater,0.491,0.491,0.484,0.476,0.469,0.462,0.455,0.449
comm hot water,electricity,electric heat pump water heater,1.040,1.040,1.025,1.009,0.994,0.979,0.965,0.950
comm hot water,gas,gas water heater,0.426,0.426,0.420,0.414,0.407,0.401,0.395,0.389
comm hot water,gas,gas water heater hi-eff,0.772,0.772,0.761,0.749,0.738,0.727,0.716,0.706
comm hot water,refined liquids,fuel water heater,0.491,0.491,0.484,0.476,0.469,0.462,0.455,0.449
comm hot water,district services,district services,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
comm lighting,electricity,incandescent,26.188,26.188,25.798,25.414,25.036,24.663,24.295,23.933
comm lighting,electricity,fluorescent,19.158,19.158,18.873,18.591,18.314,18.042,17.773,17.508
comm lighting,electricity,solid state,114.559,114.559,112.852,111.171,109.515,107.884,106.277,104.694
comm ventilation,electricity,ventilation,10.199,10.199,10.199,10.047,9.898,9.750,9.605,9.462
comm ventilation,electricity,ventilation hi-eff,13.253,13.253,13.253,13.056,12.861,12.670,12.481,12.295
comm pumping,electricity,pumping,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
comm other,electricity,electricity,40.064,40.064,39.467,38.879,38.300,37.730,37.168,36.614
comm other,gas,gas,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278
comm other,refined liquids,refined liquids,20.000,20.000,19.702,19.409,19.120,18.835,18.554,18.278
non-building services,electricity,electricity,0,0,0,0,0,0,0,0
district services,electricity,electricity,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
district services,gas,gas,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
district services,refined liquids,refined liquids,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
