# List of GCAM technologies mapped to intermediate GCAM sectors / fuels / services and to BEND technologies,,,,,,,,,,,
# Source: Tables_BEND_Data.xlsx,,,,,,,,,,,
gcam_consumer,supplysector,subsector,technology,minicam_energy_input,GCAM_sector,GCAM_fuel,service,BEND_sector,BEND_service,BEND_fuel,BEND_technology
resid,resid heating,biomass,wood furnace,delivered biomass,resid,biomass,heating,Residential,Heating Energy (kBtu/Yr),Biomass,Direct Fired
resid,resid heating,coal,coal furnace,delivered coal,resid,coal,heating,Residential,Heating Energy (kBtu/Yr),Coal,Direct Fired
resid,resid heating,electricity,electric furnace,elect_td_bld,resid,electricity,heating,Residential,Heating Energy (kBtu/Yr),Electricity,Direct Fired
resid,resid heating,electricity,electric heat pump,elect_td_bld,resid,electricity,heating,Residential,Heating Energy (kBtu/Yr),Electricity,Heat Pump
resid,resid heating,electricity,electric heat pump hi-eff,elect_td_bld,resid,electricity,heating,Residential,Heating Energy (kBtu/Yr),Electricity,Heat Pump
resid,resid heating,gas,gas furnace,delivered gas,resid,gas,heating,Residential,Heating Energy (kBtu/Yr),Gas,Direct Fired
resid,resid heating,gas,gas furnace hi-eff,delivered gas,resid,gas,heating,Residential,Heating Energy (kBtu/Yr),Gas,Direct Fired
resid,resid heating,refined liquids,fuel furnace,refined liquids enduse,resid,refined liquids,heating,Residential,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired
resid,resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,resid,refined liquids,heating,Residential,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired
resid,resid heating,district services,district services,district services,resid,district services,heating,Residential,Heating Energy (kBtu/Yr),District Heating,District Heating
resid,resid cooling,electricity,air conditioning,elect_td_bld,resid,electricity,cooling,Residential,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning
resid,resid cooling,electricity,air conditioning hi-eff,elect_td_bld,resid,electricity,cooling,Residential,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning
resid,resid cooling,district services,district services,district services,resid,district services,cooling,Residential,Cooling Energy (kBtu/Yr),District Cooling,District Cooling
resid,resid hot water,electricity,electric resistance water heater,elect_td_bld,resid,electricity,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Electricity,electric water heater
resid,resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,resid,electricity,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Electricity,electric water heater
resid,resid hot water,electricity,electric heat pump water heater,elect_td_bld,resid,electricity,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Electricity,electric water heater
resid,resid hot water,gas,gas water heater,delivered gas,resid,gas,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Gas,gas water heater
resid,resid hot water,gas,gas water heater hi-eff,delivered gas,resid,gas,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Gas,gas water heater
resid,resid hot water,refined liquids,fuel water heater,refined liquids enduse,resid,refined liquids,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Refined Liquids,fuel water heater
resid,resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,resid,refined liquids,hot water,Residential,Hot Water Heating Energy (kBtu/Yr),Refined Liquids,fuel water heater
resid,resid lighting,electricity,incandescent,elect_td_bld,resid,electricity,lighting,Residential,Lighting Energy (kBtu/Yr),Electricity,electric lighting
resid,resid lighting,electricity,fluorescent,elect_td_bld,resid,electricity,lighting,Residential,Lighting Energy (kBtu/Yr),Electricity,electric lighting
resid,resid lighting,electricity,solid state,elect_td_bld,resid,electricity,lighting,Residential,Lighting Energy (kBtu/Yr),Electricity,electric lighting
resid,resid ventilation,electricity,ventilation,elect_td_bld,resid,electricity,ventilation,Residential,Ventilation (kBtu/Yr),Electricity,ventilation
resid,resid ventilation,electricity,ventilation hi-eff,elect_td_bld,resid,electricity,ventilation,Residential,Ventilation (kBtu/Yr),Electricity,ventilation
resid,resid pumping,electricity,pumping,elect_td_bld,resid,electricity,pumping,Residential,Pumping Energy (kBtu/Yr),Electricity,HVAC Pumps
resid,resid other,electricity,electricity,elect_td_bld,resid,electricity,other,Residential,Other Energy (kBtu/Yr),Electricity,Electricity
resid,resid other,gas,gas,delivered gas,resid,gas,other,Residential,Other Energy (kBtu/Yr),Gas,Gas
resid,resid other,refined liquids,refined liquids,refined liquids enduse,resid,refined liquids,other,Residential,Other Energy (kBtu/Yr),Refined Liquids,Refined Liquids
comm,comm heating,biomass,biomass boiler,delivered biomass,comm,biomass,heating,Commercial,Heating Energy (kBtu/Yr),Biomass,Direct Fired
comm,comm heating,coal,coal,delivered coal,comm,coal,heating,Commercial,Heating Energy (kBtu/Yr),Coal,Direct Fired
comm,comm heating,electricity,electric furnace,elect_td_bld,comm,electricity,heating,Commercial,Heating Energy (kBtu/Yr),Electricity,Direct Fired
comm,comm heating,electricity,electric heat pump,elect_td_bld,comm,electricity,heating,Commercial,Heating Energy (kBtu/Yr),Electricity,Heat Pump
comm,comm heating,electricity,electric heat pump hi-eff,elect_td_bld,comm,electricity,heating,Commercial,Heating Energy (kBtu/Yr),Electricity,Heat Pump
comm,comm heating,gas,gas furnace,delivered gas,comm,gas,heating,Commercial,Heating Energy (kBtu/Yr),Gas,Direct Fired
comm,comm heating,gas,gas furnace hi-eff,delivered gas,comm,gas,heating,Commercial,Heating Energy (kBtu/Yr),Gas,Direct Fired
comm,comm heating,refined liquids,fuel boiler,refined liquids enduse,comm,refined liquids,heating,Commercial,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired
comm,comm heating,refined liquids,fuel boiler hi-eff,refined liquids enduse,comm,refined liquids,heating,Commercial,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired
comm,comm heating,district services,district services,district services,comm,district services,heating,Commercial,Heating Energy (kBtu/Yr),District Heating,District Heating
