# Assumed shell efficiency trajectories,,,,,,,,,
# Source: Tables_BEND_Data.xlsx,,,,,,,,,
gcam_consumer,1975,1990,2005,2020,2035,2050,2065,2080,2095
resid,0.234,0.234,0.219,0.202,0.184,0.170,0.160,0.151,0.144
comm,0.234,0.234,0.219,0.201,0.183,0.170,0.164,0.158,0.152
