# Assumed subsector logit exponents,
# Source: Tables_BEND_Data.xlsx,
supplysector,subs_logit
resid heating,-3
resid cooling,-3
resid hot water,-3
resid lighting,-3
resid ventilation,-2
resid pumping,-3
resid other,-2
comm heating,-3
comm cooling,-3
comm hot water,-3
comm lighting,-3
comm ventilation,-3
comm pumping,-3
comm other,-2
non-building services,-3
district services,-3
