BEND_sector,BEND_service,BEND_fuel,BEND_technology,Alabama,Alabama,Alabama,Alaska,Alaska,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,Arkansas,California,California,California,California,California,California,California,California,California,California,California,California,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Colorado,Connecticut,Delaware,District of Columbia,Florida,Florida,Georgia,Georgia,Georgia,Georgia,Georgia,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kansas,Kentucky,Louisiana,Louisiana,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Michigan,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Missouri,Montana,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New Mexico,New York,New York,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,Ohio,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,South Carolina,South Carolina,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Texas,Texas,Texas,Texas,Utah,Utah,Utah,Utah,Vermont,Virginia,Virginia,Washington,Washington,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming
Commercial,Heating Energy (kBtu/Yr),Electricity,Heat Pump, 2.86 , 2.87 , 2.86 , 2.84 , 2.83 , 2.84 , 2.87 , 2.87 , 2.88 , 2.88 , 2.88 , 2.86 , 2.86 , 2.86 , 2.87 , 2.88 , 2.84 , 2.88 , 2.87 , 2.88 , 2.88 , 2.88 , 2.89 , 2.84 , 2.87 , 2.88 , 2.88 , 2.84 , 2.84 , 2.84 , 2.84 , 2.84 , 2.84 , 2.84 , 2.85 , 2.86 , 2.86 , 2.87 , 2.88 , 2.87 , 2.86 , 2.86 , 2.86 , 2.87 , 2.90 , 2.89 , 2.84 , 2.84 , 2.84 , 2.80 , 2.82 , 2.81 , 2.82 , 2.80 , 2.82 , 2.82 , 2.81 , 2.80 , 2.82 , 2.82 , 2.82 , 2.81 , 2.80 , 2.82 , 2.86 , 2.87 , 2.86 , 2.85 , 2.85 ,#DIV/0!, 2.86 ,#DIV/0!, 2.85 , 2.85 , 2.82 , 2.80 , 2.82 , 2.82 , 2.82 , 2.82 , 2.86 , 2.86 , 2.87 , 2.82 , 2.80 , 2.82 , 2.81 , 2.84 , 2.80 , 2.82 , 2.84 , 2.88 , 2.84 , 2.85 , 2.85 , 2.86 , 2.85 , 2.85 , 2.87 , 2.84 , 2.88 , 2.84 , 2.88 , 2.87 , 2.84 , 2.85 , 2.85 , 2.86 , 2.85 , 2.85 , 2.86 , 2.86 , 2.86 , 2.86 , 2.82 , 2.82 , 2.82 , 2.80 , 2.82 , 2.81 , 2.86 , 2.87 , 2.86 , 2.87 , 2.84 , 2.87 , 2.84 , 2.85 , 2.85 , 2.86 , 2.85 , 2.86 , 2.85 , 2.85 , 2.85 , 2.86 , 2.86 , 2.82 , 2.82 , 2.86 , 2.86 , 2.86 , 2.87 , 2.87 , 2.86 , 2.87 , 2.87 , 2.86 , 2.86 , 2.84 , 2.84 , 2.84 , 2.88 , 2.85 , 2.86 , 2.86 , 2.84 , 2.84 , 2.87 , 2.84 , 2.84 ,#DIV/0!, 2.86 , 2.86 , 2.82 , 2.82 , 2.84 , 2.84 , 2.84 
Commercial,Heating Energy (kBtu/Yr),Gas,Direct Fired, 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.78 , 0.78 , 0.78 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.79 , 0.78 , 0.78 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.77 , 0.78 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.77 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.79 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 
Commercial,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 ,#DIV/0!, 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 , 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 , 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 ,#DIV/0!, 0.79 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 ,#DIV/0!, 0.79 , 0.79 ,#DIV/0!,#DIV/0!, 0.79 , 0.79 , 0.79 
Commercial,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning, 3.29 , 3.25 , 3.16 , 3.37 , 3.39 , 3.04 , 3.05 , 3.06 , 3.06 , 3.06 , 3.05 , 3.16 , 3.29 , 3.23 , 3.25 , 3.29 , 3.14 , 3.01 , 3.05 , 3.00 , 3.10 , 3.06 , 3.09 , 3.11 , 3.06 , 3.06 , 3.02 , 3.11 , 3.14 , 3.05 , 3.04 , 3.07 , 3.37 , 3.25 , 2.97 , 3.23 , 3.23 , 3.25 , 3.25 , 3.25 , 3.16 , 3.15 , 3.29 , 3.14 , 3.11 , 3.20 , 3.04 , 3.14 , 3.11 , 3.12 , 3.13 , 3.13 , 3.12 , 3.12 , 3.13 , 3.12 , 3.13 , 3.12 , 3.20 , 3.18 , 3.13 , 3.13 , 3.12 , 3.12 , 3.23 , 3.25 , 3.29 , 3.02 , 3.06 ,#DIV/0!, 3.23 ,#DIV/0!, 2.97 , 3.01 , 3.20 , 3.12 , 3.32 , 3.18 , 3.32 , 3.20 , 3.29 , 3.16 , 3.25 , 3.12 , 3.12 , 3.13 , 3.13 , 3.14 , 3.12 , 3.18 , 3.04 , 3.06 , 3.11 , 3.02 , 3.01 , 2.99 , 2.97 , 2.98 , 3.06 , 3.04 , 3.00 , 3.05 , 3.01 , 3.06 , 3.03 , 3.01 , 3.02 , 2.99 , 2.97 , 2.98 , 3.15 , 3.21 , 3.16 , 3.23 , 3.20 , 3.32 , 3.13 , 3.12 , 3.12 , 3.13 , 3.16 , 3.25 , 3.29 , 3.09 , 3.11 , 3.17 , 3.04 , 2.97 , 3.01 , 2.99 , 2.97 , 2.98 , 3.02 , 2.98 , 2.97 , 3.16 , 3.29 , 3.20 , 3.18 , 3.23 , 3.15 , 3.16 , 3.25 , 3.02 , 3.29 , 3.03 , 3.09 , 3.09 , 3.13 , 3.04 , 3.07 , 3.14 , 3.00 , 3.02 , 3.23 , 3.15 , 3.04 , 3.11 , 3.17 , 3.15 , 3.14 ,#DIV/0!, 3.23 , 3.21 , 3.20 , 3.32 , 3.14 , 3.11 , 3.37 
Commercial,Hot Water Heating Energy (kBtu/Yr),Gas,gas water heater, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 
Commercial,Hot Water Heating Energy (kBtu/Yr),Refined Liquids,fuel water heater,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 ,#DIV/0!, 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 , 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 , 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 ,#DIV/0!, 0.76 ,#DIV/0!,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 , 0.76 ,#DIV/0!, 0.76 , 0.76 ,#DIV/0!,#DIV/0!, 0.76 , 0.76 , 0.76 
Residential,Heating Energy (kBtu/Yr),Electricity,Heat Pump, 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.44 , 3.42 , 3.44 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 ,#DIV/0!,#DIV/0!, 3.44 , 3.44 , 3.44 , 3.44 ,#DIV/0!, 3.42 , 3.44 , 3.42 , 3.42 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.44 , 3.44 , 3.44 ,#DIV/0!,#DIV/0!, 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.44 , 3.42 , 3.44 , 3.44 ,#DIV/0!,#DIV/0!, 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 ,#DIV/0!, 3.44 , 3.44 , 3.44 ,#DIV/0!, 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 ,#DIV/0!, 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.44 , 3.42 , 3.42 , 3.44 , 3.44 , 3.44 
Residential,Heating Energy (kBtu/Yr),Gas,Direct Fired, 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.78 , 0.78 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.79 , 0.79 , 0.78 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 , 0.78 , 0.78 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.78 , 0.78 , 0.78 
Residential,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired, 0.83 , 0.83 , 0.80 , 0.77 , 0.77 , 0.79 , 0.83 , 0.83 , 0.85 , 0.85 , 0.83 , 0.80 , 0.83 , 0.81 , 0.81 , 0.79 , 0.77 , 0.79 , 0.83 , 0.79 , 0.79 , 0.85 , 0.84 , 0.77 , 0.83 , 0.85 , 0.79 , 0.77 , 0.77 , 0.79 , 0.79 , 0.79 , 0.77 , 0.79 , 0.79 , 0.81 , 0.81 , 0.83 , 0.85 , 0.83 , 0.80 , 0.80 , 0.83 , 0.80 , 0.81 , 0.85 , 0.79 , 0.77 , 0.77 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.79 , 0.81 , 0.81 , 0.79 , 0.79 , 0.79 , 0.79 , 0.81 , 0.83 , 0.83 , 0.80 , 0.80 , 0.81 , 0.81 , 0.81 , 0.79 , 0.80 , 0.81 , 0.79 , 0.81 , 0.81 , 0.81 , 0.81 , 0.83 , 0.80 , 0.83 , 0.79 , 0.79 , 0.79 , 0.79 , 0.77 , 0.79 , 0.81 , 0.79 , 0.85 , 0.77 , 0.80 , 0.80 , 0.80 , 0.79 , 0.79 , 0.83 , 0.79 , 0.79 , 0.79 , 0.79 , 0.83 , 0.79 , 0.80 , 0.80 , 0.80 , 0.79 , 0.79 , 0.80 , 0.81 , 0.80 , 0.81 , 0.81 , 0.81 , 0.79 , 0.79 , 0.79 , 0.79 , 0.80 , 0.81 , 0.83 , 0.81 , 0.77 , 0.83 , 0.79 , 0.79 , 0.80 , 0.80 , 0.79 , 0.80 , 0.80 , 0.79 , 0.79 , 0.80 , 0.83 , 0.81 , 0.81 , 0.81 , 0.80 , 0.80 , 0.83 , 0.80 , 0.83 , 0.80 , 0.83 , 0.83 , 0.83 , 0.79 , 0.79 , 0.77 , 0.79 , 0.80 , 0.81 , 0.80 , 0.79 , 0.77 , 0.83 , 0.79 , 0.77 , 0.81 , 0.81 , 0.81 , 0.81 , 0.81 , 0.77 , 0.77 , 0.77 
Residential,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning, 2.83 , 2.83 , 2.83 , 2.89 , 2.90 , 2.91 , 2.90 , 2.90 , 2.84 , 2.84 , 2.90 , 2.83 , 2.83 , 2.84 , 2.84 , 2.85 , 2.88 , 2.87 , 2.90 , 2.88 , 2.87 , 2.84 , 2.84 , 2.89 , 2.90 , 2.84 , 2.87 , 2.89 , 2.88 , 2.91 , 2.91 , 2.91 , 2.89 , 2.91 , 2.88 , 2.84 , 2.84 , 2.83 , 2.83 , 2.83 , 2.83 , 2.83 , 2.83 , 2.83 , 2.88 , 2.85 , 2.91 , 2.88 , 2.89 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.84 , 2.83 , 2.83 , 2.88 , 2.88 , 2.84 , 2.84 , 2.84 , 2.88 , 2.88 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.83 , 2.83 , 2.83 , 2.86 , 2.86 , 2.86 , 2.86 , 2.88 , 2.86 , 2.86 , 2.91 , 2.84 , 2.89 , 2.88 , 2.88 , 2.89 , 2.88 , 2.88 , 2.90 , 2.91 , 2.88 , 2.91 , 2.87 , 2.90 , 2.91 , 2.88 , 2.88 , 2.89 , 2.88 , 2.88 , 2.83 , 2.84 , 2.83 , 2.84 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.86 , 2.83 , 2.84 , 2.83 , 2.84 , 2.89 , 2.90 , 2.91 , 2.88 , 2.88 , 2.89 , 2.87 , 2.89 , 2.88 , 2.88 , 2.88 , 2.83 , 2.83 , 2.86 , 2.86 , 2.84 , 2.83 , 2.83 , 2.83 , 2.82 , 2.83 , 2.82 , 2.83 , 2.82 , 2.82 , 2.91 , 2.91 , 2.88 , 2.88 , 2.88 , 2.84 , 2.83 , 2.91 , 2.89 , 2.90 , 2.91 , 2.88 , 2.84 , 2.84 , 2.84 , 2.86 , 2.86 , 2.88 , 2.89 , 2.89 
