BEND_sector,BEND_service,BEND_fuel,BEND_technology,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Commercial,Heating Energy (kBtu/Yr),Electricity,Direct Fired,5.68E+09,2.30E+09,1.31E+09,3.26E+09,1.50E+10,7.99E+09,2.83E+09,8.55E+08,5.74E+08,1.19E+10,1.21E+10,4.04E+07,2.89E+09,9.99E+09,5.00E+09,2.78E+09,2.35E+09,4.14E+09,4.36E+09,1.33E+09,5.32E+09,5.19E+09,8.46E+09,6.41E+09,4.01E+09,4.91E+09,2.09E+09,1.38E+09,1.87E+09,1.17E+09,6.72E+09,1.36E+09,1.60E+10,1.38E+10,8.90E+08,9.60E+09,4.27E+09,1.70E+09,1.05E+10,8.63E+08,5.57E+09,9.03E+08,9.00E+09,2.62E+10,5.02E+09,6.18E+08,1.01E+10,4.96E+09,1.64E+09,6.62E+09,1.16E+09
Commercial,Heating Energy (kBtu/Yr),Electricity,Heat Pump,5.49E+08,1.74E+08,4.07E+07,4.16E+08,6.75E+08,4.80E+08,6.45E+08,1.07E+08,7.20E+07,2.17E+08,1.50E+09,4.03E+05,1.68E+08,5.31E+08,2.58E+08,1.65E+08,9.70E+07,5.18E+08,9.60E+07,4.79E+08,6.66E+08,1.20E+09,4.81E+08,4.10E+08,2.54E+08,2.04E+08,1.43E+08,7.63E+07,7.81E+07,3.94E+08,1.29E+09,6.85E+07,3.65E+09,2.17E+09,5.75E+07,4.92E+08,5.03E+08,8.59E+07,2.19E+09,1.97E+08,6.07E+08,5.73E+07,1.39E+09,7.14E+08,2.57E+08,2.22E+08,1.48E+09,2.39E+08,2.20E+08,4.23E+08,7.93E+07
Commercial,Heating Energy (kBtu/Yr),Gas,Direct Fired,1.56E+10,1.68E+10,4.17E+09,1.22E+10,4.55E+10,5.20E+10,2.62E+10,3.64E+09,2.44E+09,1.17E+10,4.06E+10,1.94E+08,1.75E+10,1.31E+11,6.17E+10,4.57E+10,1.93E+10,1.76E+10,3.58E+09,1.95E+10,2.26E+10,4.87E+10,1.25E+11,1.15E+11,7.18E+09,4.11E+10,1.47E+10,1.95E+10,7.85E+09,1.67E+10,5.19E+10,6.38E+09,1.47E+11,5.48E+10,1.59E+10,1.13E+11,1.44E+10,7.55E+09,8.63E+10,8.00E+09,1.71E+10,1.62E+10,3.63E+10,2.40E+10,2.61E+10,9.04E+09,4.15E+10,2.43E+10,7.01E+09,1.19E+11,8.17E+09
Commercial,Heating Energy (kBtu/Yr),Refined Liquids,Direct Fired,3.81E+05,2.69E+06,9.99E+04,1.21E+06,1.27E+05,3.47E+06,5.11E+08,1.36E+06,9.13E+05,0.00E+00,1.11E+06,0.00E+00,1.15E+06,7.90E+04,8.02E+04,0.00E+00,1.47E+05,6.58E+06,0.00E+00,5.89E+08,8.46E+06,9.64E+08,0.00E+00,0.00E+00,1.41E+05,3.00E+05,1.69E+06,0.00E+00,1.58E+05,4.97E+08,1.64E+09,2.02E+05,5.55E+09,3.51E+06,0.00E+00,2.78E+05,5.26E+05,7.49E+05,2.77E+09,1.56E+08,4.35E+05,0.00E+00,4.69E+06,9.40E+04,6.53E+05,2.73E+08,9.53E+06,1.59E+06,2.87E+06,0.00E+00,9.48E+05
Commercial,Heating Energy (kBtu/Yr),District Heating,District Heating,4.62E+08,1.99E+08,6.19E+07,3.88E+08,1.08E+09,6.64E+08,3.34E+08,1.59E+08,1.07E+08,5.28E+08,1.13E+09,8.06E+06,2.01E+08,1.06E+08,8.98E+07,8.63E+07,1.39E+08,7.68E+08,1.55E+08,2.37E+08,9.87E+08,6.21E+08,1.25E+08,2.82E+08,2.28E+08,2.80E+08,1.90E+08,1.05E+07,7.99E+07,2.11E+08,8.94E+08,7.78E+07,2.51E+09,1.47E+09,3.82E+07,2.22E+08,4.29E+08,1.12E+08,1.41E+09,1.02E+08,4.95E+08,4.03E+07,1.08E+09,9.77E+08,2.44E+08,1.10E+08,1.45E+09,3.08E+08,2.97E+08,2.93E+08,1.05E+08
Commercial,Cooling Energy (kBtu/Yr),Electricity,Air Conditioning,1.01E+10,2.46E+08,4.87E+09,5.94E+09,5.66E+10,5.78E+09,3.25E+09,8.12E+08,5.45E+08,4.45E+10,2.21E+10,1.81E+09,1.68E+09,1.42E+10,7.02E+09,3.93E+09,3.45E+09,3.93E+09,8.48E+09,1.39E+09,5.05E+09,6.01E+09,1.16E+10,6.24E+09,5.42E+09,7.24E+09,6.55E+08,1.99E+09,2.17E+09,1.66E+09,9.39E+09,2.22E+09,2.27E+10,1.90E+10,4.80E+08,1.25E+10,8.05E+09,8.03E+08,1.29E+10,9.91E+08,9.79E+09,1.07E+09,1.04E+10,4.55E+10,3.43E+09,6.79E+08,9.56E+09,2.25E+09,1.32E+09,7.11E+09,3.56E+08
Commercial,Cooling Energy (kBtu/Yr),District Cooling,District Cooling,1.13E+09,3.50E+07,1.82E+08,7.66E+08,2.56E+09,3.93E+08,2.63E+08,1.79E+08,1.21E+08,3.75E+09,2.52E+09,1.07E+08,9.73E+07,1.09E+08,1.06E+08,5.26E+07,1.85E+08,8.68E+08,7.23E+08,1.34E+08,1.12E+09,4.88E+08,6.90E+07,1.29E+08,5.72E+08,3.70E+08,5.32E+07,6.68E+06,8.01E+07,1.52E+08,9.67E+08,1.04E+08,2.51E+09,2.34E+09,1.13E+07,2.19E+08,9.78E+08,5.43E+07,1.34E+09,8.02E+07,1.14E+09,2.16E+07,1.45E+09,3.74E+09,1.55E+08,6.49E+07,1.66E+09,1.49E+08,2.90E+08,1.45E+08,2.98E+07
Commercial,Hot Water Heating Energy (kBtu/Yr),Electricity,electric water heater,6.26E+08,6.84E+07,1.93E+08,3.75E+08,2.30E+09,4.88E+08,1.54E+08,7.81E+07,5.25E+07,2.03E+09,1.34E+09,4.73E+07,1.61E+08,9.65E+08,4.90E+08,2.60E+08,2.62E+08,3.78E+08,4.90E+08,6.97E+07,4.86E+08,2.84E+08,7.88E+08,5.24E+08,3.78E+08,5.45E+08,9.36E+07,1.32E+08,1.44E+08,6.87E+07,4.65E+08,1.20E+08,1.13E+09,1.26E+09,6.51E+07,9.10E+08,4.97E+08,1.20E+08,6.74E+08,4.71E+07,6.14E+08,7.82E+07,7.64E+08,2.74E+09,2.97E+08,3.28E+07,8.22E+08,3.25E+08,1.36E+08,5.54E+08,5.11E+07
Commercial,Hot Water Heating Energy (kBtu/Yr),Gas,gas water heater,9.40E+08,3.34E+08,2.02E+08,6.57E+08,3.95E+09,1.99E+09,6.97E+08,1.09E+08,7.29E+07,9.91E+08,2.26E+09,4.07E+07,6.15E+08,3.01E+09,1.41E+09,1.05E+09,4.45E+08,5.25E+08,2.53E+08,4.61E+08,6.75E+08,1.30E+09,2.85E+09,2.39E+09,4.29E+08,9.55E+08,4.24E+08,4.51E+08,3.16E+08,4.40E+08,1.49E+09,3.04E+08,4.01E+09,2.42E+09,3.09E+08,2.52E+09,8.56E+08,2.79E+08,2.29E+09,2.13E+08,1.02E+09,3.51E+08,1.39E+09,1.62E+09,9.74E+08,2.16E+08,1.35E+09,9.53E+08,1.93E+08,2.51E+09,2.32E+08
Commercial,Hot Water Heating Energy (kBtu/Yr),Refined Liquids,fuel water heater,1.33E+05,4.61E+05,1.04E+05,4.03E+05,1.04E+05,2.35E+06,2.34E+07,4.24E+05,2.85E+05,0.00E+00,3.35E+05,0.00E+00,5.27E+05,4.18E+04,4.56E+04,0.00E+00,8.59E+04,2.05E+06,0.00E+00,2.51E+07,2.64E+06,4.45E+07,0.00E+00,0.00E+00,4.94E+04,1.72E+05,5.90E+05,0.00E+00,9.33E+04,2.41E+07,9.29E+07,1.07E+05,3.04E+08,9.21E+05,0.00E+00,1.07E+05,2.50E+05,3.01E+05,1.45E+08,7.15E+06,1.52E+05,0.00E+00,1.37E+06,4.11E+04,2.76E+05,1.18E+07,2.88E+06,7.69E+05,7.48E+05,0.00E+00,3.23E+05
