Country,iso,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,afg,8819,8398,8240,9181,9680,10184,10694,9959,10752,10715,10427,10547,10726,11157,11336,11299,12161,10064,9228,9284,8861,8932,9021,8741,8479,10700,11342,12023,12744,13508,13508,12157,15634,18088,19795,22669,25205,25148,25735,26536,27802
Angola,ago,9909,9943,10091,10784,10242,6314,5669,5799,6037,6184,6483,6353,6050,5851,5881,5911,5379,5985,6843,6959,7202,7252,7180,5241,5310,5861,6518,7033,7511,7759,7991,8239,9425,9745,10835,13068,15494,18636,21119,21258,21896
Albania,alb,4321,4602,4901,5218,5357,5497,5643,5793,5945,6101,6270,6428,6596,6771,6951,7133,7321,7514,7713,7917,8125,5850,5429,5950,6444,7301,7965,7153,8061,8875,9523,10209,10556,11189,11849,12501,13126,13913,14957,15331,15791
United Arab Emirates,are,6123,7147,8343,9739,12894,13307,15308,17978,17557,21926,27717,28492,26145,24833,25893,25287,19919,20631,20580,22766,25496,25547,26237,26001,28228,30459,32356,34517,35916,37296,39233,40606,41378,44274,48569,52551,57123,60608,63699,63252,64816
Argentina,arg,174972,183458,189183,200720,213739,211850,211327,224084,214233,229547,232802,219434,212518,220016,224491,209641,224985,230797,226438,212373,212518,233770,254575,269341,291696,282653,295090,318698,334314,322947,320364,306237,272876,296991,323808,353530,383460,416642,444801,448583,484290
Armenia,arm,14912,15309,15397,16691,17109,17090,17822,18170,18554,18393,18342,18435,18814,19337,19507,19601,20325,20503,20854,21078,20483,18086,10526,9600,10118,10817,11455,11833,12697,13116,13889,15223,17521,19957,22052,25118,28433,32329,34527,29555,30737
Australia,aus,152220,158992,163453,172314,176586,181367,188678,190653,196184,206515,210642,218780,218512,218539,233618,245444,250539,262925,274737,286820,291180,291916,302571,314360,327595,341575,354521,370333,389998,404662,412985,429007,442774,459504,476634,491953,504359,527655,541253,548478,565910
Austria,aut,72785,76506,81256,85227,88588,88267,92307,96624,96273,101525,103874,103771,105750,108716,109077,111525,114135,116053,119730,124791,130476,135169,138361,138822,142516,145238,149042,151783,157188,162409,167860,169255,170886,173311,177721,182093,188645,195681,199944,192170,194976
Azerbaijan,aze,21780,22360,22487,24378,25149,25283,26534,27228,27982,27918,28022,28347,29117,30121,30583,30932,32283,32780,33559,34142,33397,33163,25668,19739,15850,13980,14162,14983,16481,17701,19666,21613,23904,26581,29292,37025,49799,62273,68999,75416,78206
Burundi,bdi,1902,2052,1831,1963,1947,1966,2121,2383,2357,2404,2594,2877,2865,2954,2951,3295,3421,3562,3694,3747,3879,4073,4101,3859,3716,3445,3156,3169,3320,3287,3284,3353,3503,3462,3629,3662,3850,3988,4168,4314,4474
Belgium,bel,102265,106103,111679,118516,123494,121855,128743,129549,133231,136350,142458,140680,142665,142648,146180,147650,149854,153392,160632,166396,171442,174585,177257,175552,181217,185539,187685,193950,197672,203756,211631,213848,217062,219069,225790,230352,236547,243152,245086,238585,242761
Benin,ben,2692,2704,2942,3011,2784,2904,3029,3199,3301,3565,3901,4122,4566,4366,4713,5068,5182,5104,5258,5144,5347,5598,5822,6026,6291,6581,6942,7338,7675,8037,8503,8928,9464,9918,10225,10522,10953,11457,12042,12499,12846
Burkina Faso,bfa,3950,4106,4272,4045,3969,3798,3761,4027,4496,4542,4616,4820,4926,4870,4948,5596,6474,6364,6893,6814,6748,7423,7608,7548,7654,7999,8598,9010,9588,10191,10416,11114,11692,12627,13212,14052,14825,15358,16126,16691,17522
Bangladesh,bgd,42403,40552,35732,35997,40817,40308,42098,42525,45657,47846,48239,49877,50487,52961,55833,57519,60011,62521,64329,65948,70320,72668,76330,79822,83082,87174,91204,96117,101139,106066,112371,118298,123521,130013,138165,146394,156099,166133,176417,186545,197365
Bulgaria,bgr,40523,41844,43826,45557,46986,50849,52371,51869,52989,55028,53449,54870,56644,55574,57412,55682,57154,57262,56903,55883,49779,45598,42269,41635,42384,43613,39514,37301,38793,39685,41828,43543,45677,47641,50856,54090,57611,61326,65139,61917,61917
Bahrain,bhr,832,898,969,1046,1136,1015,1180,1322,1424,1419,1525,1568,1669,1785,1860,1854,1897,1935,2003,2053,2054,2148,2316,2508,2502,2600,2707,2791,2924,3050,3212,3357,3528,3729,3938,4245,4529,4907,5216,5376,5566
Bosnia ,bih,9475,10567,10932,11297,12754,12754,13149,14107,14884,15905,16671,16937,17090,17245,17640,17793,18532,18316,18060,17831,16530,14610,10535,7287,7484,7933,12233,16710,19484,21335,22487,23499,24368,25148,26680,28017,29752,31788,33509,32371,33419
Belarus,blr,43182,44332,44585,48333,50191,50790,53649,55404,57299,57526,58097,59130,61105,63591,64949,66074,69360,70832,72927,74612,73389,72362,65415,60443,53371,47821,49160,54764,59364,61383,64943,67995,71395,76250,84980,91623,101245,111214,123777,125562,134351
Bolivia,bol,9459,9820,10321,11030,11598,12364,13118,13670,14128,14125,13995,14124,13508,12905,13034,12943,12530,12858,13348,13735,14446,15226,15485,16135,16910,17705,18484,19408,20417,20499,20991,21343,21863,22473,23411,25619,26788,26788,28435,29390,30597
Brazil,bra,292480,322159,356880,401643,433322,455918,498823,522154,548342,587289,639093,611007,614538,593575,625438,675090,729252,753685,751910,776547,743765,751203,748949,782652,831176,866086,891202,925068,926918,934333,975444,988197,1007295,1012733,1070583,1104410,1148094,1218030,1280603,1278228,1375373
Botswana,bwa,378,448,592,722,873,862,1024,1061,1264,1391,1589,1736,1865,2159,2400,2577,2773,3017,3492,3944,4178,4379,4510,4600,4761,4975,5259,5611,5942,6317,6860,7217,7576,8078,8561,8700,9146,9585,9884,9523,10269
Central African Republic,caf,1638,1590,1557,1627,1580,1609,1679,1816,1848,1745,1730,1757,1790,1681,1803,1826,1859,1812,1845,1913,1982,1970,1844,1850,1972,2075,1919,2067,2147,2225,2265,2272,2258,2100,2121,2172,2254,2338,2389,2447,2520
Canada,can,262098,276694,291314,312176,324928,332269,350467,362245,376894,392561,397814,410164,397671,409246,432711,456107,468055,487138,510815,523177,524475,513292,517779,529921,555411,570868,580060,604682,629359,664666,699572,711925,733774,748363,771711,795010,817454,835438,839767,819091,843793
Switzerland,che,105935,110253,113781,117251,118957,110294,108745,111392,111847,114634,119909,121802,120051,120659,124311,128561,130653,131614,135709,141599,146900,145682,145721,145387,146937,147495,148264,151092,155313,157352,163035,164733,165237,164773,168946,173408,179703,186252,189786,186156,191005
Chile,chl,49011,53400,52752,49816,50302,43808,45349,49820,53914,58379,63017,66932,57837,56216,59525,60697,64093,68311,73290,81062,84038,90735,101874,109004,117599,127482,136918,145963,150679,149532,156245,161521,165049,171514,181875,191987,200799,210036,217777,214453,226250
China,chn,636937,668646,688186,739414,751924,798346,793568,843097,935083,1007193,1041142,1103378,1186387,1287034,1447262,1596691,1703670,1883027,2016024,2051813,2123852,2263794,2483921,2724344,2997060,3450084,3521141,3706647,3717352,3961441,4319339,4780797,5374025,6187983,6812969,7582835,8545855,9759366,10696265,11667930,12835879
Cote dIvoire,civ,10087,10593,11179,12064,12412,12400,13886,14541,15982,16282,17539,18152,18188,17479,16902,17732,18262,17970,17646,17542,16330,16330,16297,16265,16590,17768,19136,20227,21198,21537,21042,21063,20747,20415,20781,21042,21186,21549,22026,22818,23509
Cameroon,cmr,6605,6801,7096,7201,7523,7910,8061,8520,8985,9474,10441,12222,13147,14068,15170,16528,17722,16839,16072,14632,14393,13846,13417,12987,12662,13081,13734,14435,15156,15823,16488,17362,18490,19332,20048,20508,21169,21910,22545,22996,23690
Zaire,cod,16737,17804,17827,19373,20038,19041,17951,18043,17023,17000,17355,17765,17680,17927,18925,19010,19907,20440,20556,20417,19922,18249,16332,14128,13577,13672,13536,12777,12572,12032,11286,11049,11436,12088,12088,12088,12088,12088,12088,12088,12088
Congo,cog,2158,2333,2523,2727,2947,3185,3199,2934,2883,3323,3891,4697,5072,5327,5667,5412,5044,5079,5089,5277,5394,5523,5667,5610,5301,5514,5751,5716,5928,5750,6221,6445,6793,6847,7087,7639,8108,7979,8424,9064,9994
Colombia,col,66308,70250,75637,80728,85370,87347,91488,95283,103366,108906,113375,115789,116938,118806,123037,127076,134844,142086,147896,152686,159042,161587,167889,175444,186496,196567,200695,203706,205132,196722,202230,205204,209163,217791,229406,240265,256290,273989,281470,283808,295886
Comoro Islands,com,238,280,258,229,279,219,194,190,197,202,215,226,235,244,252,259,266,277,289,290,294,278,302,311,294,320,316,330,333,340,336,344,352,359,358,373,378,380,383,430,440
Cape Verde,cpv,166,155,148,147,143,147,147,148,164,182,249,271,279,306,317,345,355,380,392,413,430,283,231,434,463,499,532,573,615,668,713,756,794,836,830,929,1023,1111,1183,1216,1268
Costa Rica,cri,6515,6945,7556,8145,8583,8755,9231,10055,10677,11207,11290,11035,10266,10551,11379,11475,12107,12683,13114,13867,14370,14686,15729,16641,17357,17739,17899,18901,20489,22415,22908,23155,23832,25388,26469,28027,30488,32865,33722,33216,34412
Cuba,cub,16380,17656,18507,20209,21272,22336,22974,24038,25527,26165,25527,27654,28292,29104,30146,30694,30714,30468,31022,31128,31087,27481,23689,19898,20296,20986,22812,23565,23871,25494,26896,27694,28118,28948,30461,32000,33871,36344,37834,38364,39524
Czech Republic ,cze,64056,66245,68587,70872,73445,75615,76825,80300,81280,81971,84237,83814,85446,86733,88768,89459,91111,91572,93607,94375,91706,81054,80644,80694,82485,87382,91017,90355,89318,90396,93913,96391,97827,101537,106091,112792,120471,127857,131007,125444,127576
Germany,deu,843103,867917,903739,944755,952571,947383,993132,1021710,1050404,1092615,1105099,1109276,1099799,1119394,1150951,1176131,1202151,1220284,1260983,1302212,1264438,1331700,1361341,1350421,1386303,1412513,1426554,1452295,1481781,1511579,1560098,1579443,1580379,1577423,1589043,1603551,1660737,1706968,1718974,1638706,1694748
Djibouti,dji,327,361,385,412,412,430,468,410,427,444,464,491,513,519,521,521,521,521,521,526,530,533,532,511,506,489,464,461,461,472,475,484,497,514,534,551,577,607,642,674,705
Denmark,dnk,62524,64191,67578,70032,69379,68921,73382,74573,75674,78356,78010,77316,79650,81656,85241,88897,92135,92406,93482,93728,94863,96097,97995,97907,103317,106484,109502,113005,115446,118402,122580,123444,124015,124781,127646,130768,135207,137348,135807,128733,131320
Dominican Republic,dom,6906,7637,8581,9617,10171,10659,11377,11930,12207,12733,13511,14069,14324,14959,14999,14620,15057,16189,16300,18377,17503,17643,18772,19148,19971,20870,22373,24230,25998,28078,30600,31710,33116,32496,32922,35972,39810,43184,45454,47024,49093
Algeria,dza,31336,28666,34685,35814,37999,40705,43387,47319,53387,58193,59273,60766,64662,68012,71774,75512,74747,74225,72672,75123,73934,73047,74216,72583,71929,74663,77500,78353,82349,84984,87109,89374,92949,99362,104529,109860,112057,115419,118145,120968,123912
Ecuador,ecu,16899,17872,18972,21337,22585,23772,26075,27731,29664,31274,32706,34041,34421,33702,35081,36570,37648,35288,39060,39123,40267,42280,43549,44507,46465,47859,48816,50476,50678,46978,40059,42108,42546,44702,48278,51177,53165,55276,59281,59495,60847
Egypt,egy,42105,43861,44690,45924,47680,52501,60622,68530,73795,79620,88223,91733,101531,109343,116016,123674,126933,130135,135593,139663,143000,138424,142992,145280,151052,158065,165950,175073,185115,196044,205845,213050,219867,226683,235959,246511,263381,282049,302336,316659,332707
Spain,esp,214070,226319,245019,266896,286732,296824,309546,321868,332597,337333,344987,346768,352979,361902,367170,374627,386998,409027,431389,454166,474366,486443,490963,485899,497479,511197,523520,543758,568133,595109,625117,647273,664622,684537,706900,732449,761884,789033,795801,766844,764770
Estonia,est,10912,11203,11267,12214,12611,12690,13330,13691,14082,14063,14127,14303,14705,15225,15472,15661,16359,16625,17034,17345,16980,15282,13127,12011,11819,12351,12907,14262,15004,14989,16158,17192,18430,19370,20969,23099,25683,27509,26098,22422,22647
Eritrea and Ethiopia,eth,18811,19602,20604,21286,21547,21580,22170,22776,22523,23971,25023,25536,25940,27262,26698,24913,26529,29021,29585,30064,29593,28202,26764,30350,30835,32747,36219,37921,37389,39633,41774,44990,45709,44089,50073,55991,62057,69167,76622,83300,90797
Finland,fin,44114,45036,48473,51724,53291,53905,53676,53808,54934,58756,61890,63043,65090,66849,68866,71184,72873,75861,79581,84092,84103,78731,75731,74790,77733,80412,83462,88628,93023,96165,100952,101990,104237,106749,111160,114512,119496,125780,127015,116744,119664
France,fra,592389,621055,648668,683965,704012,699106,729326,756545,777544,802491,813763,822116,842787,852644,865172,877305,898129,920822,961287,1000286,1026491,1038922,1059125,1048641,1070473,1095672,1107664,1134262,1174723,1214066,1263467,1289387,1305136,1315601,1345237,1371625,1404787,1437422,1438734,1402085,1424946
Gabon,gab,3020,3330,3708,4086,5699,6090,8487,6732,4883,4814,4837,4780,4685,4756,4946,4846,4603,4005,4086,4261,4500,4775,4617,4728,4903,5148,5333,5637,5835,4845,4753,4848,4848,4974,5041,5193,5255,5546,5675,5621,5906
United Kingdom,gbr,599016,611705,633352,675941,666755,665984,680933,695699,720501,740370,728224,718733,729861,755779,774665,802000,837280,877143,920841,940908,944610,931716,933535,955305,997587,1026044,1054948,1089522,1123222,1155319,1199910,1227529,1249236,1280625,1318417,1347064,1384618,1421795,1420867,1351603,1374289
