model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA POP,SSP1_v5_120427,ABW,Population,million,0.107488,0.109251743,0.110380617,0.110861711,0.110643307,0.109552045,0.107638848,0.105061382,0.102066268,0.098958532,0.095923931,0.093103618,0.090446941,0.087832649,0.085101849,0.082226338,0.079245341,0.076190838,0.073025067
IIASA POP,SSP1_v5_120427,AFG,Population,million,31.41174307,35.58024534,39.38477641,42.87158273,46.43047114,49.90110266,53.15961489,55.94253061,58.19717517,59.91725901,61.10438736,61.75316964,62.10693398,62.0730501,61.54786312,60.53435423,59.09047676,57.31291665,55.3010885
IIASA POP,SSP1_v5_120427,AGO,Population,million,19.081912,21.81369108,24.76381212,27.89903345,31.41055732,35.1293952,38.92001228,42.75103414,46.62084043,50.48093283,54.24103572,57.80104439,61.07468268,64.0106,66.52106827,68.5637265,70.09194133,71.08390184,71.63785591
IIASA POP,SSP1_v5_120427,ALB,Population,million,3.204284,3.225564648,3.230620305,3.216088021,3.183624866,3.12747925,3.044478685,2.936716961,2.809422973,2.67356705,2.532670003,2.386252778,2.233512811,2.074120504,1.911797216,1.754760377,1.602450252,1.447935356,1.309664728
IIASA POP,SSP1_v5_120427,ANT,Population,million,0.200689,0.207354084,0.210157315,0.210621532,0.209177455,0.206218794,0.202192516,0.197106398,0.190688207,0.18285144,0.17410244,0.165247483,0.156718846,0.148567248,0.14062847,0.133149155,0.126267412,0.119512488,0.113217068
IIASA POP,SSP1_v5_120427,ARE,Population,million,7.51169,8.34603097,9.117745317,9.786076499,10.39741489,10.93216126,11.36122208,11.66633848,11.84302359,11.85483457,11.70776625,11.4142754,11.00425109,10.52147799,10.01215766,9.463291115,8.889337758,8.300369922,7.687457557
IIASA POP,SSP1_v5_120427,ARG,Population,million,40.412376,42.1103971,43.52266913,44.67748477,45.69817003,46.58343451,47.3167808,47.8406382,48.1248989,48.1718047,48.0255228,47.7035874,47.20652323,46.54776152,45.75356176,44.81367802,43.79774786,42.58069737,41.11910949
IIASA POP,SSP1_v5_120427,ARM,Population,million,3.092072,3.091134018,3.063658818,3.015636788,2.963498561,2.908153243,2.844341416,2.764873601,2.671579756,2.572162117,2.471001366,2.369345895,2.26294394,2.151113327,2.035935525,1.923443289,1.819621347,1.722387147,1.634387653
IIASA POP,SSP1_v5_120427,AUS,Population,million,22.268384,23.75786083,25.16627617,26.46006964,27.62445035,28.65204046,29.56767036,30.37894311,31.06978476,31.65410278,32.12820198,32.45149606,32.65329053,32.70819613,32.61385054,32.42715219,32.13037806,31.74965573,31.30606563
IIASA POP,SSP1_v5_120427,AUT,Population,million,8.393643984,8.494990056,8.590606504,8.675862086,8.737476739,8.768750043,8.778348923,8.773511884,8.756104952,8.711147222,8.643298952,8.564467102,8.465821283,8.347441078,8.204986309,8.046378575,7.866422769,7.677175383,7.480021567
IIASA POP,SSP1_v5_120427,AZE,Population,million,9.187783,9.555264296,9.810298715,9.928416123,9.978765852,9.995171874,9.963304465,9.852673432,9.656880818,9.401919385,9.113581099,8.802461217,8.458987509,8.077067902,7.670648929,7.270139297,6.898297244,6.549218357,6.205515256
IIASA POP,SSP1_v5_120427,BDI,Population,million,8.382849,9.099268403,9.730359077,10.24914571,10.71282198,11.13442194,11.52401731,11.84869172,12.06616086,12.18832766,12.2370429,12.23018126,12.16845343,12.04922591,11.86330004,11.62209601,11.33891565,11.02064045,10.67036075
IIASA POP,SSP1_v5_120427,BEL,Population,million,10.712066,10.87712236,11.02534508,11.16256924,11.2883507,11.40153855,11.50659514,11.60171339,11.68637532,11.74859357,11.795299,11.83885683,11.88829187,11.93613192,11.94831233,11.91908825,11.85196548,11.75510402,11.63104925
IIASA POP,SSP1_v5_120427,BEN,Population,million,8.849892,9.953086048,11.03668262,12.11888494,13.26100135,14.43343613,15.59590066,16.69964083,17.73418064,18.70435884,19.63706898,20.49762556,21.25982403,21.89648801,22.3981634,22.77185465,23.01612848,23.12893958,23.11505862
IIASA POP,SSP1_v5_120427,BFA,Population,million,16.468714,18.72409313,20.96169802,23.11779599,25.31749921,27.53189618,29.74567807,31.83195692,33.74854787,35.52305101,37.245957,38.86844785,40.35330154,41.65680917,42.75828879,43.66410343,44.3690187,44.86553177,45.15541542
IIASA POP,SSP1_v5_120427,BGD,Population,million,148.692131,157.8550299,165.8139065,172.4096531,177.8359758,181.9716535,184.8071798,186.1244459,185.8174192,184.0393152,180.9912646,176.7622992,171.4505859,165.1893883,158.2090375,150.744696,143.0174641,135.2473502,127.6142059
IIASA POP,SSP1_v5_120427,BGR,Population,million,7.494332,7.209290877,6.906372856,6.594779216,6.283478051,5.976635446,5.672251629,5.362264116,5.039894252,4.712614855,4.387509725,4.071473028,3.770623348,3.489742381,3.233105625,3.002994331,2.801942119,2.620883732,2.460708856
IIASA POP,SSP1_v5_120427,BHR,Population,million,1.261835,1.368881394,1.443745799,1.50143275,1.552050366,1.593182253,1.617961777,1.622257012,1.606814266,1.573996586,1.526886681,1.468063996,1.401576503,1.332729323,1.267571011,1.209150645,1.150698487,1.090592824,1.02796061
IIASA POP,SSP1_v5_120427,BHS,Population,million,0.342877,0.358373019,0.372646017,0.384673314,0.394630535,0.402050882,0.406812562,0.408726416,0.40822638,0.406000138,0.402157771,0.397003453,0.390613719,0.383294449,0.374877038,0.366184345,0.3563448,0.344618643,0.331912806
IIASA POP,SSP1_v5_120427,BIH,Population,million,3.760149,3.72469922,3.66435058,3.587349313,3.498988807,3.395536226,3.274542025,3.137822739,2.988564456,2.831792552,2.673229807,2.514879423,2.357171589,2.202100177,2.053056314,1.914486333,1.788602584,1.66745431,1.556360127
