region_GCAM3,1960,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
Africa,280399,412028,630697,919484,1032840,1134740,1225760,1319910,1404320,1493560,1559410,1630100,1683840,1755810,1809450,1864500,1893860,1922680,1937870,1948830,1944500,1928280
Australia_NZ,12727,16909,20532,24548,25835,27057,28226,29387,30430,31400,32164,32819,33278,33647,33809,33832,33652,33363,32961,32509,32029,31592
Canada,17909,23139,27698,32318,33896,35040,35934,36799,37386,37910,38126,38344,38425,38630,38755,38938,39070,39283,39521,39813,40094,40343
China,721340,980561,1223290,1426770,1469430,1511920,1544740,1564310,1574450,1574780,1564880,1548110,1523880,1500560,1473880,1449610,1422750,1399720,1376920,1355260,1328750,1293600
Eastern Europe,99374,112678,122883,119100,118410,117147,115835,114477,112907,110998,109156,106905,104655,101539,98436,94866,91661,88225,85111,82267,80347,79646
Former Soviet Union,214652,254228,289091,284342,283390,283487,284059,284080,284395,283991,284128,283238,282204,279466,276550,272704,269095,264977,261167,257763,255727,255638
India,442344,606142,849515,1094580,1214460,1291720,1352180,1412220,1456110,1494750,1521580,1544450,1561580,1569150,1569660,1559180,1544500,1519120,1487950,1449540,1411440,1377390
Japan,94096,111469,123478,127773,126995,126369,125521,124121,122841,121335,120020,118428,116732,114698,112501,110071,107461,104726,101995,99478,97414,96155
Korea,25003,35278,42869,48138,48501,48866,48896,48574,48264,47965,47528,47119,46495,46156,45559,45025,44054,43149,42102,41194,40297,39629
Latin America,216846,319222,436676,549919,584391,619954,654891,686786,717081,743913,770226,793205,815184,833139,850658,866087,881779,895362,907541,916824,923083,924592
Middle East,48224,76657,131495,188106,210542,232198,253011,273172,292929,312247,330563,347974,363789,378471,390958,401515,409339,415117,418699,420752,421589,422203
Southeast Asia,319184,474445,666169,875769,955566,1033070,1108390,1180400,1247680,1308970,1364410,1412060,1452300,1482440,1504280,1516380,1520700,1515850,1503410,1483690,1458930,1430680
USA,180738,215079,250181,299730,321704,336265,349627,365110,379007,393314,407363,421860,437135,450656,464450,476574,489725,501034,512070,521816,532323,544015
Western Europe,353779,402474,434467,473526,485073,490863,493372,496156,495666,495146,489924,485052,477411,471984,464058,456467,446389,437248,428119,420708,414689,411450
