# GDP MER by country 1969-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: http://www.ers.usda.gov/datafiles/International_Macroeconomic_Data/Historical_Data_Files/HistoricalRealGDPValues.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Unit: billion 2005 USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,iso,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Canada,can,372.3568458,381.9763942,397.7048742,419.3633073,448.568619,465.1252314,473.6043394,498.2284614,515.4583504,535.8374667,556.2256691,568.2546994,588.1613408,571.3457759,586.8738466,620.9974407,650.6815876,666.4331753,694.7780374,729.3395794,748.4439221,749.8886051,734.1997111,740.6253704,757.9452114,794.3584918,816.6674865,829.8876988,864.9580601,900.3991324,950.2070772,999.9341565,1017.770994,1047.536007,1067.240938,1100.538609,1133.764501,1165.771044,1191.418256,1197.592231,1168.107069,1203.979729,1232.942647,1257.811103,1279.193892
United States,usa,4330.750131,4339.765053,4482.62397,4717.931832,4984.147998,4958.391078,4948.548255,5215.132377,5455.499634,5758.879356,5941.753488,5927.219226,6081.024834,5964.842727,6241.177683,6694.223508,6978.009573,7223.068269,7473.094371,7787.236806,8073.87453,8228.784006,8222.804721,8515.145763,8748.889812,9102.035583,9349.485993,9704.379555,10139.85548,10591.06153,11104.36015,11558.60183,11668.25272,11875.50393,12206.9403,12670.56486,13095.18608,13444.37633,13685.01955,13645.2803,13262.88203,13595.42227,13846.55224,14231.34222,14444.81236
Mexico,mex,226.4173671,241.1401202,250.2129393,270.8024799,292.0905875,308.9641561,326.7125558,341.1449005,352.7118949,384.3040959,421.574561,460.4996025,500.8973932,497.7522454,476.865085,494.0807773,506.8941898,487.865788,496.9193427,503.1081653,524.2301215,550.7997098,574.0558545,594.8863823,606.4897878,633.528668,594.1359393,624.6735025,666.9985637,699.7250197,726.8271571,774.8121722,773.5958396,779.9910371,790.5328393,822.5766083,848.943743,892.6656364,921.7687392,935.6019957,878.7270243,927.0593144,965.704768,1000.43855,1028.45083
Antigua and Barbuda,atg,0.164252232,0.171791409,0.179676635,0.187923792,0.196549494,0.205571116,0.21500683,0.224875644,0.235197436,0.245038364,0.263032927,0.285640779,0.297305545,0.297802959,0.311735339,0.342140807,0.369478935,0.416474531,0.450888527,0.475334826,0.502775335,0.515571493,0.526070786,0.53053285,0.559129105,0.594508676,0.569677106,0.60807085,0.637780222,0.665891493,0.693336934,0.705967098,0.721580557,0.739787288,0.777301668,0.831975684,0.866818503,0.981905986,1.071021598,1.072871139,0.955640537,0.865688228,0.844046022,0.866835265,0.888292038
Bahamas,bhs,2.830785956,2.670856461,2.714298205,2.619370071,2.817592671,2.345526734,1.998315497,2.101931856,2.294362237,2.619691758,3.30446074,3.51909473,3.194408788,3.408398992,3.531000854,4.031384306,4.226067114,4.302009539,4.430403826,4.532733231,4.837665081,4.760443888,4.561372432,4.386873356,4.400376435,4.538940607,4.737689513,4.762601715,5.13884725,5.380373071,5.762379559,5.998637121,6.154601686,6.320775932,6.238605844,6.294753297,6.508774909,6.320923751,6.409416684,6.326094267,5.984485177,6.038345543,6.098728999,6.127335544,6.242773037
Barbados,brb,1.589948392,1.741142992,1.809269085,1.832315566,1.856881429,1.770520822,1.841432824,1.839913119,1.920449055,2.038213549,2.19447313,2.298308724,2.224610812,2.113177666,2.116976604,2.188141782,2.199285097,2.406702784,2.431268647,2.583222937,2.713397113,2.582969761,2.507752306,2.38289645,2.406449446,2.50210139,2.539386029,2.585958763,2.751323769,2.864468204,2.93873402,3.006670919,2.854712369,2.753499552,2.808789574,2.91231732,3.005,3.107747611,3.122592766,3.128213433,2.962418121,2.971305375,2.986161902,3.041157568,3.062445671
Belize,blz,0.140771816,0.147539692,0.153381441,0.169054415,0.178101994,0.202252618,0.209519192,0.209447942,0.223054928,0.240722657,0.258817816,0.2980715,0.301918511,0.301063616,0.29472317,0.300493686,0.303699517,0.317591484,0.353211873,0.385840147,0.436349864,0.482727639,0.533399777,0.59759848,0.635107141,0.636110215,0.640206559,0.649353335,0.672374104,0.697527318,0.758772784,0.857707402,0.900225448,0.94612567,1.034317422,1.082108478,1.114874608,1.166750256,1.180969961,1.225476732,1.225064409,1.249565697,1.270353485,1.30846409,1.341571155
Bermuda,bmu,1.891007701,2.010373636,2.079480229,2.117174735,2.148586823,2.167434076,2.249105505,2.450142869,2.594638474,2.632332979,2.688874738,2.902476937,2.97158353,2.81452309,2.871064848,2.884886167,2.827087925,3.015560454,3.128643971,3.255548806,3.269998367,3.270626609,3.155030125,3.153145399,3.248009905,3.2674854,3.411226914,3.499935052,3.660932065,3.803708415,3.932374509,4.04641337,4.123295224,4.321213395,4.446528583,4.606603612,4.846147,5.156300408,5.372865025,5.35674643,4.922849969,5.061546452,5.150068593,5.234128796,5.308330441
Costa Rica,cri,4.115134036,4.423898071,4.723772242,5.110084468,5.504016577,5.809208792,5.931206304,6.258464432,6.815747797,7.242937524,7.600675186,7.657824313,7.484630708,6.939332785,7.138005376,7.580683311,7.659629476,8.102735174,8.659833842,8.990586926,9.446020647,9.814879989,10.06731044,10.98867233,11.80333807,12.36158829,12.84627176,12.96016591,13.68310821,14.83219459,16.05172577,16.34079023,16.51668265,16.9960271,18.08453991,18.8548423,19.96470955,21.71753859,23.41052299,24.02124538,23.6609267,24.48905913,25.50877361,26.45431631,27.53415272
Cuba,cub,17.44382311,18.36191906,19.93808022,20.90042876,21.61825162,21.83108147,23.89988783,25.19716428,27.39171202,29.19846892,29.51620183,28.08483045,33.6142658,36.61206494,38.59331609,41.65365667,42.31873001,42.35906126,41.34152345,42.8734501,43.16502527,41.89227653,37.41286217,33.08022714,28.15849127,28.36036795,29.0572392,31.33496356,32.20456098,32.25661747,34.25355546,36.27982284,37.43535009,37.96899266,39.40930703,41.68328715,46.35173913,51.94527314,55.71682978,58.11790393,58.95997117,60.17727986,61.80206642,63.03810775,65.24444152
Dominica,dma,0.105907035,0.108925386,0.112029759,0.115222608,0.118506452,0.121883886,0.125357577,0.128930268,0.137786805,0.154007753,0.125602308,0.143514056,0.160856836,0.167507326,0.172016127,0.181350409,0.183679956,0.196680332,0.211468117,0.229567731,0.229009499,0.24104372,0.242509072,0.247474112,0.251634026,0.255235707,0.260275894,0.267151824,0.27113458,0.284631886,0.286576768,0.288514943,0.277693821,0.266556009,0.272379877,0.289486482,0.29925555,0.317961706,0.333404349,0.345229216,0.342019379,0.347784203,0.346034325,0.349148633,0.357528201
Dominican Republic,dom,5.338351984,6.311356466,6.997493448,7.724824396,8.720999498,9.244425417,9.724511851,10.37878894,10.89583778,11.12908331,11.6333865,12.56042065,13.09799,13.3204867,13.93695167,14.11156718,13.81204423,14.29850349,15.74513562,16.08459497,16.79240381,15.87649364,16.0263898,17.71127332,18.99049153,19.42789124,20.49518757,21.95677469,23.71425519,25.37676622,27.08090593,28.61276578,29.13043637,30.81656642,30.73848994,31.14176608,34.02635004,37.65735454,40.84867404,42.99553715,44.48062642,47.92841802,50.07700808,52.47490727,54.17811904
El Salvador,slv,7.856071402,8.089969798,8.402101818,8.916103219,9.349575088,9.848468319,10.13639163,10.64820426,11.3701592,11.97536611,11.47476406,10.12403308,9.065976836,8.494295111,8.624683572,8.739991743,8.793882178,8.810537353,9.031997939,9.201569903,9.290106689,9.738979764,10.0871732,10.8482341,11.64773107,12.35244576,13.14241379,13.3666509,13.93419712,14.45665308,14.95524415,15.27721257,15.53833729,15.90196355,16.2677148,16.56875465,17.0799544,17.79461976,18.61436507,19.06734484,18.39223661,18.56816805,18.84128881,19.20018359,19.51374625
Grenada,grd,0.131108706,0.135163614,0.139343932,0.143653538,0.148096431,0.152676733,0.157398694,0.162266695,0.173312305,0.182696689,0.19368019,0.192817003,0.194460368,0.204038425,0.210008787,0.22005716,0.23784101,0.257461898,0.286168374,0.295978826,0.313950807,0.330273862,0.33785995,0.336858442,0.327966508,0.336996764,0.345434954,0.359450655,0.376017209,0.40061591,0.440967937,0.496603221,0.477175997,0.487395901,0.528552178,0.494345657,0.553861242,0.543176545,0.567805988,0.572924822,0.525243298,0.519366991,0.524404851,0.535417353,0.543645647
Guatemala,gtm,7.836355869,8.283645942,8.746184392,9.387546603,10.02428834,10.66333973,10.87127387,11.67436375,12.58604058,13.21492598,13.83780573,14.35810418,14.45098083,13.94084835,13.58227697,13.64973984,13.56656666,13.58597358,14.0674582,14.61501814,15.1912283,15.66254576,16.23552065,17.02105014,17.68948924,18.40303751,19.31372056,19.88497791,20.75277623,21.78907187,22.62731103,23.44390097,23.99074035,24.91837552,25.54901923,26.35433211,27.21352621,28.67755784,30.48539442,31.48564927,31.65534002,32.47478836,33.73099731,34.87348609,36.03879365
