region_GCAM3,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa,250238,372580,592628,731932,878165,1033420,1206410,1384040,1581860,1797360,2062330,2387100,2815650,3348790,4004760,4796430,5711680,6745020,7896200,9211340,1.07E+07,1.23E+07
Australia_NZ,174747,260506,446803,490378,548937,610867,674627,742353,811550,887211,964484,1043320,1121750,1201990,1275340,1349670,1412750,1476960,1538550,1606720,1700620,1777130
Canada,278868,440750,666479,690660,771776,845810,916883,985027,1055440,1131290,1211240,1304520,1396260,1500570,1605540,1725610,1851220,1984880,2129050,2293760,2488970,2682490
China,118793,386370,1592970,2455650,3512670,4777640,6245180,7943570,9848140,1.19E+07,1.41E+07,1.64E+07,1.89E+07,2.15E+07,2.43E+07,2.76E+07,3.15E+07,3.58E+07,4.06E+07,4.52E+07,4.84E+07,5.22E+07
Eastern Europe,232364,284949,409212,466921,549213,635370,715629,808061,897352,1027510,1158100,1329870,1469020,1648870,1813000,2031990,2240430,2470430,2705010,3007460,3407960,3768550
Former Soviet Union,410608,468434,427135,492322,587775,693188,803321,930896,1066830,1235350,1417930,1631650,1852670,2103660,2372560,2678560,3007550,3372570,3788340,4268530,4866440,5467570
India,106889,218502,522833,746024,1027350,1382050,1842840,2404660,3097150,3922800,4903620,6055790,7400990,8909040,1.06E+07,1.24E+07,1.44E+07,1.65E+07,1.88E+07,2.15E+07,2.46E+07,2.79E+07
Japan,1830703,3341320,4049050,3937880,4139010,4339740,4546610,4766620,4990470,5250430,5512880,5798520,6080380,6373160,6672850,6967690,7243710,7534980,7829250,8160520,8568700,8925240
Korea,71339,230019,538839,607069,656741,707030,756512,810748,870628,941268,1017410,1099640,1187740,1282620,1378260,1475150,1570990,1668740,1766150,1880310,2024860,2151700
Latin America,814694,1187430,1919720,2234190,2553590,2949630,3368380,3834340,4299980,4873900,5476220,6236520,7014730,8019950,9193280,1.07E+07,1.26E+07,1.47E+07,1.71E+07,1.98E+07,2.23E+07,2.54E+07
Middle East,298287,354600,649161,799322,974253,1174110,1392710,1635480,1889650,2189190,2499060,2852530,3190200,3578500,3967850,4432780,4896340,5423610,5952670,6525370,7119600,7769320
Southeast Asia,222332,593705,1230630,1460320,1961080,2601350,3372790,4305090,5403760,6689470,8210530,9959920,1.21E+07,1.44E+07,1.72E+07,2.01E+07,2.34E+07,2.68E+07,3.05E+07,3.45E+07,3.89E+07,4.35E+07
USA,3473912,5728530,9104140,9600970,1.08E+07,1.19E+07,1.32E+07,1.45E+07,1.58E+07,1.75E+07,1.92E+07,2.13E+07,2.32E+07,2.55E+07,2.79E+07,3.07E+07,3.36E+07,3.67E+07,4.00E+07,4.38E+07,4.82E+07,5.28E+07
Western Europe,3802404,5646240,7801260,7930550,8546440,9184410,9843660,1.05E+07,1.11E+07,1.16E+07,1.22E+07,1.28E+07,1.34E+07,1.41E+07,1.47E+07,1.55E+07,1.62E+07,1.69E+07,1.76E+07,1.86E+07,1.97E+07,2.03E+07
