# File: SE_SGDP_MOSPI_05INR.csv,,,,,,,,,,
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2004-05,,,,,,,,,,
# Units: INR Crores,,,,,,,,,,
"# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data",,,,,,,,,,
# Column types: cciiiiiiiii,,,,,,,,,,
# ----------,,,,,,,,,,
state,state_name,2005,2006,2007,2008,2009,2010,2011,2012,2013
AP,Andhra Pradesh,104271.5,115586.5,136569.5,145829.25,162546.5,178978.25,185120.25,198313.75,211526
AR,Arunachal Pradesh,1322.25,1882.25,3512,3631,3885.75,4319.25,4704.25,5076.75,5292.5
AS,Assam,21192.5,29938,53852,55856.5,58479.75,61433.5,65473.25,70706.5,74294
BR,Bihar,33903,47106.75,77452.25,79559.5,90073.5,97183.5,108848.5,117411.25,133518.25
CG,Chhattisgarh,0,11965.5,48248.5,51705.5,59859.5,64978.5,69572.25,73233,80029.5
DL,Delhi,48512.75,64570.25,102845.25,113824.5,127550.25,142418.5,159002.75,171669.75,183142.75
GA,Goa,4675.25,6838.25,12952.75,14014.5,15250.25,16272.75,17911.5,20060.75,23635.5
GJ,Gujarat,103103.75,131118,210973.75,238680.25,260363,286040,308787.5,342490.5,373700.25
HR,Haryana,40973.75,56575.25,97998.25,107542,118800.75,128747.75,140477,155298,167056.75
HP,Himachal Pradesh,9358.5,13428.5,24584.5,26700.5,29090,31490.25,33881.75,36686.25,39767.5
JK,Jammu & Kashmir,10210,14796.5,27699.5,29312.75,31091.75,33086.75,35054.25,36736.25,39003.25
JH,Jharkhand,25778.5,35030.5,59280.5,58192.5,62263.75,71065,71906.75,80302.75,90495.75
KN,Karnataka,79759.25,105979.75,171129.5,188872.75,209045.5,232256.75,245213.25,253872.75,275236.75
KL,Kerala,47830,68017.25,122271.5,133887.25,144773.5,156234.5,166387,180641,192627.75
MP,Madhya Pradesh,58830,73474.75,114425,121663.25,131418.5,140226,156600.5,170209,181945.5
MH,Maharashtra,196205.75,260059.75,429342.25,486860.25,549698.5,598671.75,624379.25,685718.5,750434
MN,Manipur,2090.5,2942.25,5214.5,5486.25,5651,5996.75,6395.25,6710.25,6842.5
ML,Meghalaya,2922.25,3928.75,6688.75,7215,7712,8227.75,9148.5,9796.5,10738.5
MZ,Mizoram,0,670.5,2728.75,2903.25,3088.5,3447.25,3898,4431.5,4947.25
NL,Nagaland,0,1459.75,5988.25,6561.5,7064.75,7563,8053.5,8660.75,9446.5
OD,Odisha,29767.25,43211.75,78833,84784,95237.25,104837.5,112071.75,118171,126376.5
PB,Punjab,46669.75,60608.75,98268.25,105166.25,115553.5,125025,132482.25,140894.5,150078.25
RJ,Rajasthan,66544,82076.25,129880.75,140261,154146,163651.75,177478.25,192953.5,217524
SK,Sikkim,770,1039.25,1781.5,1937.75,2062.5,2267.25,3001.5,4496.75,4912.75
TN,Tamil Nadu,97032,132186.75,226644,259057.75,291936.75,309316,330502.75,368328,410871.5
TS,Telangana,0,22486.5675,93518.035,107260.8025,119411.8475,132938.7425,146320.5525,154229.0175,177956.2625
TR,Tripura,2964,2226,9033.5,9617,10398.5,11247.25,12345.25,13576.25,14647.25
UP,Uttar Pradesh,123168,160880.25,265085.25,283419.75,305722,327841.25,350398.75,374640,401832.75
UK,Uttarakhand,10189.25,14489.25,25674.5,29302.5,33648,39224.5,44773.5,51865.25,56970.25
WB,West Bengal,107616.25,137068.5,211939.25,226111,243715.75,260786,275674.75,296175.5,312482
UT,Union Territories,179603,188279.6111,187450.7422,205679.6313,197892.8834,216373.3016,242160.1585,273331.0148,273449.982
