# File: A26.india_state_energy_prices.csv
# Title: india_state_energy_prices
# Source: To be estimated
# Units: Dollars per Million Btu
# Column types: cnnnnnnnnnnnnnnn 
# ----------
State,Coal,Natural.gas,Distillate.fuel.oil,Jet.fuel,LPG,Motor.gasoline,Residual.fuel.oil,Other.petroleum,Petroleum.total,Nuclear.fuel,Biomass,Total.primary,Electricity,Retail.electricity,Total.energy
Andhra Pradesh,3.3,4.28,27.28,23.24,22.63,27.57,14.1,21.12,26.58,0.69,2.87,8.66,2.27,27.31,19.74
Arunachal Pradesh,4.06,6.26,28.98,23.28,27.47,35.56,21.45,36.73,27.17,,16.03,20.9,6.35,47.84,25.33
Assam,2.09,5.52,28.51,23.28,28.88,28.27,,18.55,27.76,0.8,6.08,10.81,1.97,28.74,25.98
Bihar,2.27,5.53,27.32,22.84,24.66,27.69,17.88,34.24,27.58,0.69,3.19,10.14,2.02,22.56,19.87
Chhattisgarh,3.05,5.72,28.07,22.88,27.51,31.59,23.28,23.39,28.77,0.7,4.4,18.05,3.21,39.75,24.7
Delhi,1.86,6.32,27.54,23.04,23.51,28.41,,21.29,27.06,,13.87,13.25,2.28,27.63,21.71
Goa,3.59,7.05,28.98,23.55,31.19,29.95,19.67,28.99,29.4,0.7,3.85,14.81,2.1,45.57,28.25
Gujarat,3.35,7.43,26.96,23.08,30.15,28.95,16.96,26.03,28.06,,5.17,15.17,3.37,32.47,24.64
Haryana,3.08,11.18,27.69,,27.11,30.5,,52.26,30.31,,12.59,18.23,22.91,34.74,25.83
Himachal Pradesh,3.51,5.27,27.76,23.23,26.6,27.71,14.66,21.29,26.39,0.71,2.75,13.67,4,30.58,25.41
Jammu and Kashmir,3.51,6.23,26.28,22.84,25.7,27.09,17.68,18.44,25.83,0.83,3,12.28,2.58,27.47,21.6
Jharkhand,2.01,44.19,29.97,22.94,36.91,35.52,21.03,29.5,26.82,,1.82,24.73,18.39,99.96,40.04
Karnataka,3.04,6.43,28.33,24.5,22.29,29.72,15.71,13.78,27.82,,3.63,18.81,3.95,20.29,19.87
Kerala,2.2,6.84,27.56,22.85,20.95,28.66,13.95,26.84,27.08,0.69,4.49,9.71,1.37,24.7,19.1
Madhya Pradesh,3.25,6.2,26.74,22.8,23.01,27.68,13.95,16.99,26.01,,3.88,10.4,2.66,24.4,17.86
Maharashtra,1.66,5.87,27.14,23.44,20.66,28.09,16.91,24.37,26.61,0.69,3.11,11.43,1.55,22.6,17.82
Manipur,1.84,5.76,27.46,22.97,20.13,27.73,16.96,29.1,26.13,0.7,8.92,11.58,1.73,27.42,20.9
Meghalaya,2.47,5.71,27.53,23.07,21.61,28.86,16.91,10.71,25.45,,5.38,10.69,2.48,21.37,20.65
Mizoram,2.9,3.27,27,22.79,14.44,27.56,8.93,25.44,22.94,0.8,2.73,11.77,2.42,20.49,15.54
Nagaland,4.69,7.62,28.07,23.55,30.27,29.73,18.22,31.39,28.42,,3.29,17.75,4.1,34.62,22.92
Odisha,3.54,8.63,27.83,23.08,33.26,29.08,19.67,24.73,28.5,0.8,4.16,15.75,2.53,33.06,25.41
Punjab,3.76,7.98,28.26,23.36,33.74,29.05,17.31,33.16,28.53,0.71,3.46,17.54,3.02,40.41,26.04
Rajasthan,3.09,7.71,26.81,22.99,22.5,27.92,14.67,28.65,27.34,0.79,3.31,11.9,2.41,32.29,21.39
Sikkim,2.09,5.65,27.86,23.15,22.05,28.97,12.62,19.55,27.23,0.91,3.19,13.32,2.3,26.06,19.99
Tamil Nadu,4.46,3.82,27.35,22.84,24.97,27.59,12.4,20.04,26.39,0.76,3.01,12.06,2.82,25.5,20.46
Telangana,1.89,8.72,27.13,22.97,21.33,27.29,16.63,18.21,26.21,0.7,10.29,11.6,1.82,24.99,22.5
Tripura,1.62,7.36,27.65,24.17,21.16,29.43,14.82,9.98,26.22,,12.11,12.51,1.74,24.32,21.93
Uttar Pradesh,1.57,5.44,27.37,22.97,21.66,28.67,12.73,26.31,27.57,0.69,4.1,10.9,1.46,24.54,19.63
Uttarakhand,2.65,4.86,28.83,23.2,28.38,29.24,,13.76,27.95,,12.55,13.98,3.27,26.38,23.47
Union Terotories,4.07,7.37,27.13,23.55,30.37,29.01,17.81,18.33,28.22,0.7,4.64,14.11,2.77,41.6,28.35
West Bengal,4.05,7.3,27.43,23,33.13,28.38,18.59,25.44,26.64,0.71,4.37,15.2,1.95,40.1,24.11
IND,2.6,5.76,27.64,23,17.65,28.77,17.31,22.94,26.35,0.7,3.58,12.78,2.4,,
