# File: A23.india_state_in_EJ_td_elec.csv
# Title: State t n d. Check and update this title if required
# Units: NA
# Description: Update later
# Output electricity multiplied by T&D coefficient
# can be multiple lines
# Column types: cccin
# ----------
state,sector,fuel,year,value
AP,elect_td,electricity,1971,0.004965866
AP,elect_td,electricity,1972,0.005241936
AP,elect_td,electricity,1973,0.005772575
AP,elect_td,electricity,1974,0.006322608
AP,elect_td,electricity,1975,0.008033106
AP,elect_td,electricity,1976,0.008832867
AP,elect_td,electricity,1977,0.009700293
AP,elect_td,electricity,1978,0.010139725
AP,elect_td,electricity,1979,0.009705497
AP,elect_td,electricity,1980,0.010099215
AP,elect_td,electricity,1981,0.011195776
AP,elect_td,electricity,1982,0.012605884
AP,elect_td,electricity,1983,0.013575657
AP,elect_td,electricity,1984,0.015707876
AP,elect_td,electricity,1985,0.017012814
AP,elect_td,electricity,1986,0.017380276
AP,elect_td,electricity,1987,0.016354369
AP,elect_td,electricity,1988,0.016183894
AP,elect_td,electricity,1989,0.017466783
AP,elect_td,electricity,1990,0.017883378
AP,elect_td,electricity,1991,0.016481707
AP,elect_td,electricity,1992,0.017653739
AP,elect_td,electricity,1993,0.01797602
AP,elect_td,electricity,1994,0.018408985
AP,elect_td,electricity,1995,0.019007572
AP,elect_td,electricity,1996,0.019573934
AP,elect_td,electricity,1997,0.019051612
AP,elect_td,electricity,1998,0.020188908
AP,elect_td,electricity,1999,0.020868686
AP,elect_td,electricity,2000,0.02032107
AP,elect_td,electricity,2001,0.021075811
AP,elect_td,electricity,2002,0.021397759
AP,elect_td,electricity,2003,0.022415832
AP,elect_td,electricity,2004,0.023483756
AP,elect_td,electricity,2005,0.023719702
AP,elect_td,electricity,2006,0.024763418
AP,elect_td,electricity,2007,0.025258943
AP,elect_td,electricity,2008,0.025219597
AP,elect_td,electricity,2009,0.025001667
AP,elect_td,electricity,2010,0.024766382
AR,elect_td,electricity,1971,0.144503981
AR,elect_td,electricity,1972,0.157597339
AR,elect_td,electricity,1973,0.167876026
AR,elect_td,electricity,1974,0.170125506
AR,elect_td,electricity,1975,0.159228021
AR,elect_td,electricity,1976,0.174853192
AR,elect_td,electricity,1977,0.186549639
AR,elect_td,electricity,1978,0.194482823
AR,elect_td,electricity,1979,0.195642957
AR,elect_td,electricity,1980,0.197686577
AR,elect_td,electricity,1981,0.191626346
AR,elect_td,electricity,1982,0.173891799
AR,elect_td,electricity,1983,0.17406923
AR,elect_td,electricity,1984,0.189710283
AR,elect_td,electricity,1985,0.191554718
AR,elect_td,electricity,1986,0.19402762
AR,elect_td,electricity,1987,0.20361483
AR,elect_td,electricity,1988,0.211841009
AR,elect_td,electricity,1989,0.231710162
AR,elect_td,electricity,1990,0.238943414
AR,elect_td,electricity,1991,0.246918357
AR,elect_td,electricity,1992,0.252205311
AR,elect_td,electricity,1993,0.264323966
AR,elect_td,electricity,1994,0.272734275
AR,elect_td,electricity,1995,0.284445277
AR,elect_td,electricity,1996,0.295751982
AR,elect_td,electricity,1997,0.298558715
AR,elect_td,electricity,1998,0.316105597
AR,elect_td,electricity,1999,0.323936172
AR,elect_td,electricity,2000,0.338403409
AR,elect_td,electricity,2001,0.316832209
AR,elect_td,electricity,2002,0.335643879
AR,elect_td,electricity,2003,0.33244046
AR,elect_td,electricity,2004,0.34670136
AR,elect_td,electricity,2005,0.352593782
AR,elect_td,electricity,2006,0.358543827
AR,elect_td,electricity,2007,0.361915744
AR,elect_td,electricity,2008,0.353477719
AR,elect_td,electricity,2009,0.324126584
AR,elect_td,electricity,2010,0.357742499
AS,elect_td,electricity,1971,0.057182696
AS,elect_td,electricity,1972,0.062290782
AS,elect_td,electricity,1973,0.066043806
AS,elect_td,electricity,1974,0.066509139
AS,elect_td,electricity,1975,0.071548106
AS,elect_td,electricity,1976,0.081186193
AS,elect_td,electricity,1977,0.09003687
AS,elect_td,electricity,1978,0.094232389
AS,elect_td,electricity,1979,0.096264345
AS,elect_td,electricity,1980,0.103866983
AS,elect_td,electricity,1981,0.089416104
AS,elect_td,electricity,1982,0.085949033
AS,elect_td,electricity,1983,0.089466852
AS,elect_td,electricity,1984,0.093418655
AS,elect_td,electricity,1985,0.091004253
AS,elect_td,electricity,1986,0.086608314
AS,elect_td,electricity,1987,0.090287986
AS,elect_td,electricity,1988,0.09449189
AS,elect_td,electricity,1989,0.103991335
AS,elect_td,electricity,1990,0.109084396
AS,elect_td,electricity,1991,0.113691597
AS,elect_td,electricity,1992,0.114418838
AS,elect_td,electricity,1993,0.127604703
AS,elect_td,electricity,1994,0.130679763
AS,elect_td,electricity,1995,0.139866193
AS,elect_td,electricity,1996,0.14536734
AS,elect_td,electricity,1997,0.147150106
AS,elect_td,electricity,1998,0.156467619
AS,elect_td,electricity,1999,0.159862583
AS,elect_td,electricity,2000,0.168231693
AS,elect_td,electricity,2001,0.166275507
AS,elect_td,electricity,2002,0.171294053
AS,elect_td,electricity,2003,0.170804364
AS,elect_td,electricity,2004,0.174191775
AS,elect_td,electricity,2005,0.18246759
AS,elect_td,electricity,2006,0.184272394
AS,elect_td,electricity,2007,0.185356638
AS,elect_td,electricity,2008,0.181784558
AS,elect_td,electricity,2009,0.168975127
AS,elect_td,electricity,2010,0.189613378
BR,elect_td,electricity,1971,0.061678784
BR,elect_td,electricity,1972,0.070271812
BR,elect_td,electricity,1973,0.076001847
BR,elect_td,electricity,1974,0.081089902
BR,elect_td,electricity,1975,0.084684383
BR,elect_td,electricity,1976,0.088666507
BR,elect_td,electricity,1977,0.092778138
BR,elect_td,electricity,1978,0.095974481
BR,elect_td,electricity,1979,0.103117086
BR,elect_td,electricity,1980,0.10630335
BR,elect_td,electricity,1981,0.111912327
