# File: PRIMA_pop_India.csv,,,,,,,,,,,,,,,,,,,,,
# Title: 2005-2100 population projections by state,,,,,,,,,,,,,,,,,,,,,
# Units: Persons,,,,,,,,,,,,,,,,,,,,,
# Source: Interpolation from the IIASA estimates,,,,,,,,,,,,,,,,,,,,,
state,state_name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,Andaman and Nicobar Island,366000,378500,409800,445800,481800,517800,547200,574950,602700,630450,642041,649592,657143,664694,672245,679796,687347,694898,702449,710000
AP,Andhra Pradesh,41370368,43546828,45367504,47099234,48830964,50562694,51513904,52269984,53026064,53782144,53352149,52625634,51899120,51172606,50446091,49719577,48993063,48266549,47540034,46813520
AR,Arunachal Pradesh,1212400,1355400,1496400,1636900,1777400,1917900,2032200,2139950,2247700,2355450,2385245,2395551,2405857,2416163,2426469,2436776,2447082,2457388,2467694,2478000
AS,Assam,28476000,30751000,32865000,34938750,37012500,39086250,40469000,41679000,42889000,44099000,44381735,44432653,44483571,44534490,44585408,44636327,44687245,44738163,44789082,44840000
BR,Bihar,91439000,101989000,110716600,118988600,127260600,135532600,141747000,147447000,153147000,158847000,160265776,160614245,160962714,161311184,161659653,162008122,162356592,162705061,163053531,163402000
CH,Chandigarh,962600,1039600,1190400,1359650,1528900,1698150,1848400,1993900,2139400,2284900,2363061,2424388,2485714,2547041,2608367,2669694,2731020,2792347,2853673,2915000
CG,Chhattisgarh,22718400,25073900,26865600,28516350,30167100,31817850,32948800,33949800,34950800,35951800,36172082,36197184,36222286,36247388,36272490,36297592,36322694,36347796,36372898,36398000
DN,Dadra and Nagar Haveli,269600,331600,405000,481250,557500,633750,704800,774550,844300,914050,951184,980163,1009143,1038122,1067102,1096082,1125061,1154041,1183020,1212000
DD,Daman and Diu,192000,234500,291600,352350,413100,473850,533200,592200,651200,710200,741673,766265,790857,815449,840041,864633,889224,913816,938408,963000
DL,Delhi,15025800,16494300,18675200,21034200,23393200,25752200,27972600,30158350,32344100,34529850,35838265,36927347,38016429,39105510,40194592,41283673,42372755,43461837,44550918,45640000
GA,Goa,1392400,1447900,1546400,1655650,1764900,1874150,1964600,2050350,2136100,2221850,2250755,2265449,2280143,2294837,2309531,2324224,2338918,2353612,2368306,2383000
GJ,Gujarat,54578600,59463100,63680600,67731350,71782100,75832850,78628200,81109700,83591200,86072700,86436755,86271449,86106143,85940837,85775531,85610224,85444918,85279612,85114306,84949000
HR,Haryana,22827400,24930400,27145600,29388850,31632100,33875350,35791800,37626550,39461300,41296050,42109939,42668612,43227286,43785959,44344633,44903306,45461980,46020653,46579327,47138000
HP,Himachal Pradesh,6392800,6786300,7135600,7473850,7812100,8150350,8389000,8602750,8816500,9030250,9042224,9003755,8965286,8926816,8888347,8849878,8811408,8772939,8734469,8696000
JK,Jammu and Kashmir,11102800,12301300,13043600,13671850,14300100,14928350,15355000,15731250,16107500,16483750,16358673,16108265,15857857,15607449,15357041,15106633,14856224,14605816,14355408,14105000
JH,Jharkhand,29362800,32383800,34880800,37246800,39612800,41978800,43689000,45235250,46781500,48327750,48593082,48538184,48483286,48428388,48373490,48318592,48263694,48208796,48153898,48099000
KA,Karnataka,56148600,60270600,63391400,66261900,69132400,72002900,73789800,75305800,76821800,78337800,78142306,77518939,76895571,76272204,75648837,75025469,74402102,73778735,73155367,72532000
KL,Kerala,32467000,33249500,34129600,35034100,35938600,36843100,36983800,36933550,36883300,36833050,36128551,35260490,34392429,33524367,32656306,31788245,30920184,30052122,29184061,28316000
LD,Lakshadweep,62200,63700,69800,77050,84300,91550,97600,103350,109100,114850,116898,118020,119143,120265,121388,122510,123633,124755,125878,127000
MP,Madhya Pradesh,65259600,71399100,77142200,82786200,88430200,94074200,98256000,102072250,105888500,109704750,110893714,111425857,111958000,112490143,113022286,113554429,114086571,114618714,115150857,115683000
MH,Maharashtra,103077000,110824500,118274000,125649000,133024000,140399000,146141600,151476100,156810600,162145100,163549796,163972041,164394286,164816531,165238776,165661020,166083265,166505510,166927755,167350000
MN,Manipur,2518800,2799800,2921800,3004050,3086300,3168550,3185200,3185450,3185700,3185950,3081429,2950714,2820000,2689286,2558571,2427857,2297143,2166429,2035714,1905000
ML,Meghalaya,2578200,2902200,3146400,3370650,3594900,3819150,3988600,4144350,4300100,4455850,4470429,4449714,4429000,4408286,4387571,4366857,4346143,4325429,4304714,4284000
