# File: SE_PopH_Census_1961_2011.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Population by state,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Source: Interpolation of the data given by Census of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AN,Andaman and Nicobar Island,64000,69000,74000,79000,84000,90000,95000,100000,105000,110000,115000,122000,130000,137000,145000,152000,159000,167000,174000,182000,189000,198000,207000,217000,226000,235000,244000,253000,263000,272000,281000,289000,296000,304000,311000,319000,326000,334000,341000,349000,356000,359000,361000,364000,366000,369000,371000,374000,376000,378500,381000
AP,Andhra Pradesh,18711000,19102000,19493000,19884000,20275000,20666000,21057000,21448000,21839000,22231000,22622000,23144000,23667000,24189000,24712000,25234000,25757000,26279000,26802000,27324000,27847000,28520000,29194000,29868000,30542000,31215000,31889000,32563000,33237000,33910000,34584000,35089000,35593000,36098000,36602000,37107000,37611000,38116000,38620000,39125000,39629000,40064000,40500000,40935000,41370368,41806000,42241000,42676000,43112000,43546828,43982000
AR,Arunachal Pradesh,107000,143000,179000,215000,252000,288000,324000,360000,396000,432000,468000,484000,501000,517000,534000,550000,566000,583000,599000,616000,632000,655000,679000,702000,725000,749000,772000,795000,818000,842000,865000,888000,912000,935000,958000,982000,1005000,1028000,1051000,1075000,1098000,1127000,1155000,1184000,1212400,1241000,1270000,1298000,1327000,1355400,1384000
AS,Assam,10837000,11216000,11595000,11973000,12352000,12731000,13110000,13489000,13867000,14246000,14625000,14967000,15308000,15650000,15991000,16333000,16675000,17016000,17358000,17699000,18041000,18478000,18916000,19353000,19790000,20228000,20665000,21102000,21539000,21977000,22414000,22838000,23262000,23687000,24111000,24535000,24959000,25383000,25808000,26232000,26656000,27111000,27566000,28021000,28476000,28931000,29386000,29841000,30296000,30751000,31206000
BR,Bihar,34841000,35570000,36298000,37027000,37755000,38484000,39212000,39941000,40669000,41398000,42126000,43144000,44161000,45179000,46197000,47215000,48232000,49250000,50268000,51285000,52303000,53526000,54749000,55971000,57194000,58417000,59640000,60863000,62085000,63308000,64531000,66378000,68225000,70071000,71918000,73765000,75612000,77459000,79305000,81152000,82999000,85109000,87219000,89329000,91439000,93549000,95659000,97769000,99879000,101989000,104099000
CH,Chandigarh,120000,134000,147000,161000,175000,189000,202000,216000,230000,243000,257000,277000,296000,316000,335000,355000,374000,394000,413000,433000,452000,471000,490000,509000,528000,547000,566000,585000,604000,623000,642000,668000,694000,720000,746000,772000,797000,823000,849000,875000,901000,916000,932000,947000,962600,978000,993000,1009000,1024000,1039600,1055000
CG,Chhattisgarh,9154000,9402000,9651000,9899000,10147000,10396000,10644000,10892000,11140000,11389000,11637000,11874000,12112000,12349000,12586000,12824000,13061000,13298000,13535000,13773000,14010000,14371000,14731000,15092000,15452000,15813000,16173000,16534000,16894000,17255000,17615000,17937000,18259000,18581000,18903000,19225000,19546000,19868000,20190000,20512000,20834000,21305000,21776000,22247000,22718400,23190000,23661000,24132000,24603000,25073900,25545000
DN,Dadra and Nagar Haveli,58000,60000,61000,63000,64000,66000,68000,69000,71000,72000,74000,77000,80000,83000,86000,89000,92000,95000,98000,101000,104000,107000,111000,114000,118000,121000,124000,128000,131000,135000,138000,146000,154000,163000,171000,179000,187000,195000,204000,212000,220000,232000,245000,257000,269600,282000,294000,307000,319000,331600,344000
DD,Daman and Diu,37000,40000,42000,45000,47000,50000,53000,55000,58000,60000,63000,65000,66000,68000,69000,71000,73000,74000,76000,77000,79000,81000,84000,86000,88000,91000,93000,95000,97000,100000,102000,108000,113000,119000,124000,130000,136000,141000,147000,152000,158000,167000,175000,184000,192000,201000,209000,218000,226000,234500,243000
DL,Delhi,2659000,2800000,2940000,3081000,3222000,3363000,3503000,3644000,3785000,3925000,4066000,4281000,4497000,4712000,4928000,5143000,5358000,5574000,5789000,6005000,6220000,6540000,6860000,7180000,7500000,7821000,8141000,8461000,8781000,9101000,9421000,9864000,10307000,10750000,11193000,11636000,12079000,12522000,12965000,13408000,13851000,14145000,14438000,14732000,15025800,15320000,15613000,15907000,16201000,16494300,16788000
