# File: A23.india_state_Res_PV_supply_curve.csv
# Title: PV supply curve for residential buildings
# Units: Relative_Cost - Unitless
# Source: None  check for India
# Column types: cccnnn 
# ----------
State,TMY_Site,Pitch,MW,MWh,Relative_Cost
Andhra Pradesh,AP site,Pitch S,354.3598128,790641.3208,1
Arunachal Pradesh,AR site,Pitch S,396.3010806,867634.3898,1.01911582
Assam,AS site,Pitch S,1.827581832,4001.182247,1.01911582
Bihar,BR site,Pitch S,1186.060842,2584777.919,1.023808609
Chhattisgarh,CG site,Pitch S,139.3262385,303315.5171,1.024880731
Delhi,DL site,Pitch S,266.3437208,579834.6691,1.024880731
Goa,GA site,Pitch S,50.90310148,110597.7094,1.026911828
Gujarat,GJ site,Pitch S,568.8961716,1236046.757,1.026911828
Haryana,HR site,Pitch SE,354.3598128,767881.9566,1.029639144
Himachal Pradesh,HP site,10 S,338.3489071,727143.3317,1.038197064
Jammu and Kashmir,JK site,Pitch S,2.786666139,5968.602064,1.041711264
Jharkhand,JH site,Pitch S,489.7304997,1048925.966,1.041711264
Karnataka,KA site,Pitch SW,354.3598128,758827.5189,1.041924945
Kerala,KL site,Pitch SE,396.3010806,847016.6934,1.043922675
Madhya Pradesh,MP site,Pitch SE,1.827581832,3906.10169,1.043922675
Maharashtra,MH site,Pitch SE,139.3262385,296254.8381,1.049306843
Manipur,MN site,Pitch SE,266.3437208,566337.0859,1.049306843
Meghalaya,ML site,Pitch SE,1186.060842,2512873.892,1.053104135
Mizoram,MZ site,10 S,348.7243975,737282.3222,1.05531851
Nagaland,NL site,10 S,1.811901312,3830.769561,1.05531851
Odisha,OD site,Pitch SE,50.90310148,107532.9932,1.056179063
Punjab,PB site,Pitch SE,568.8961716,1201795.301,1.056179063
Rajasthan,RJ site,10 S,1043.672028,2204115.511,1.056488411
Sikkim,SK site,10 S,138.1308294,290999.9158,1.059089837
Tamil Nadu,TN site,10 S,253.4579085,533959.2206,1.059089837
Telangana,TS site,Pitch SW,1186.060842,2498290.953,1.059251279
Tripura,TR site,Pitch SW,396.3010806,834008.5394,1.060204891
Uttar Pradesh,UP site,Pitch SW,1.827581832,3846.113295,1.060204891
Uttarakhand,UK site,Pitch SW,139.3262385,292307.9343,1.063475166
Union Terotories,UT site,Pitch SW,266.3437208,558791.9668,1.063475166
West Bengal,WB site,Pitch SE,2.786666139,5836.054448,1.065370457
