# File: SE_SGDP_MOSPI_81INR.csv,,,,,,,,,,,,,,
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 1980-81,,,,,,,,,,,,,,
# Units: INR Crores,,,,,,,,,,,,,,
"# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data",,,,,,,,,,,,,,
# Column types: cciiiiiiiiiiiii,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993
AP,Andhra Pradesh,8499,9475,9740,10021,10021,10441,10621,12044,13659,14560,15251,15841,16095
AR,Arunachal Pradesh,111,124,130,140,154,171,182,196,209,224,260,287,303
AS,Assam,2573,2777,2906,3000,3077,3212,3199,3344,3434,3657,3812,3956,4038
BR,Bihar,7449,7765,8014,8690,9280,9641,10020,10012,10844,11008,11652,11175,10901
CG,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,Delhi,2736,2975,3221,3212,3437,3877,4171,4521,4916,5322,5713,6387,6431
GA,Goa,392,386,421,430,443,438,465,519,584,618,683,700,774
GJ,Gujarat,7602,8112,8431,9522,9516,9546,9765,9912,12296,12288,12270,12491,14907
HR,Haryana,3419,3574,3761,3866,4156,4663,4661,4890,5687,5893,6339,6462,6548
HP,Himachal Pradesh,806,835,829,849,842,942,993,1031,1153,1250,1286,1308,1377
JK,Jammu & Kashmir,1195,1233,1280,1335,1400,1438,1434,1385,1521,1580,1663,1721,1805
JH,Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0
KN,Karnataka,6312,6664,6923,7411,7748,7738,8388,9003,9708,10163,10569,11573,12027
KL,Kerala,4285,4314,4381,4345,4589,4740,4760,5053,5491,5819,6142,6357,6832
MP,Madhya Pradesh,7853,8143,8545,8818,8770,9211,9274,10338,11019,11639,12601,12289,13265
MH,Maharashtra,16739,17233,18023,18959,19591,20779,21406,23023,25689,28915,29921,31060,35214
MN,Manipur,222,233,242,260,272,286,297,318,333,342,363,390,407
ML,Meghalaya,202,210,216,224,236,247,257,276,290,329,361,371,364
MZ,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0
NL,Nagaland,124,145,161,166,171,180,200,221,236,247,260,201,0
OD,Odisha,3710,3672,3704,4173,4167,4525,4559,4703,5469,5531,5027,5444,5496
PB,Punjab,5137,5517,5680,5880,6320,6745,7007,7368,7818,8309,8482,8899,9325
RJ,Rajasthan,4732,5047,5401,6113,5857,6023,6375,6652,8269,8505,9324,9201,9954
SK,Sikkim,53,58,64,67,76,85,100,116,127,137,150,118,0
TN,Tamil Nadu,8294,8837,8684,9346,10298,10639,10757,11490,12375,13245,14063,14565,15467
TS,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,0
TR,Tripura,286,291,311,308,317,326,351,395,437,468,500,516,545
UP,Uttar Pradesh,15674,16346,17449,18036,18449,19176,20033,21347,23427,24325,25476,25830,26343
UK,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0
WB,West Bengal,10292,10234,10835,11818,12212,12738,13310,13994,14594,15216,16141,17187,17916
UT,Union Territories,9742.694924,10190.30886,10616.07289,11238.2419,11603.67981,12134.75486,12532.61069,13308.18359,14719.89579,15535.28024,16240.72624,16704.75756,17671.06965
