# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AP,Andhra Pradesh,61858,64993,67600,67295,70118,70204,76445,87912,96043,100949,106411,106724,114972,122808,129983,138055,138692,150813,160343,172671,182607,190034,204709,219036,231299,253343,285245,298465,316325,338190,359771,376221,400315,435202,485096
AR,Arunachal Pradesh,1727,1828,1952,2118,2369,2557,2739,2949,3091,3511,4012,4222,4687,4799,5300,5267,5321,5488,5696,5962,6244,6562,6993,7243,7439,7783,8595,9410,10282,10807,11362,11375,12086,13872,14221
AS,Assam,41998,44448,46304,47148,49696,49598,51408,52556,55612,58328,60938,62259,64396,66419,68313,70305,71334,71393,73056,75813,80041,84058,88522,93669,97417,101653,106510,112372,121600,129032,135191,141981,151829,162541,184635
BR,Bihar,51211,52404,55944,60571,63088,66743,65827,70945,72264,77177,76491,73276,74224,80933,74314,84165,85856,89842,93978,108560,105167,114563,110588,117693,119415,133335,143900,161723,173726,195801,218030,241136,264013,277024,291587
CG,Chhattisgarh,,,,,,,,,,,,,,,,,,,,,,,,,93955,107906,119562,129653,135605,147603,157703,170396,180411,185005,189718
DL,Delhi,33697,37391,37914,38956,43751,47700,51566,55919,61103,64687,72707,77306,73087,77848,81533,90110,103596,111083,116419,130117,138223,144436,156816,174487,192686,215504,240203,270285,295455,317435,335590,358211,385765,419493,463806
GA,Goa,3090,3321,3445,3584,3547,3649,3960,4549,4813,5388,5527,6049,6429,6736,7204,8173,8632,10165,10825,11180,12270,13671,12871,13041,13974,15292,16298,17756,19561,22561,26953,29016,31004,37979,44597
GJ,Gujarat,81994,83371,94366,98419,97334,101451,96189,118760,126324,127981,122356,145878,152333,172132,186333,208949,219081,232076,237839,235185,248715,267821,303475,325890,366919,403118,444996,479503,528345,582751,626100,665356,719496,792142,873706
HP,Himachal Pradesh,11935,11856,12237,11884,12924,14029,14360,15731,17407,18325,18548,19343,20228,21914,23445,25031,26663,28533,30460,32497,34231,35882,38509,41470,44881,48892,53135,57218,61756,67085,72222,76854,81630,87507,94471
HR,Haryana,43501,45975,47467,49261,56059,58259,57928,67456,71553,76919,80108,80700,83671,89128,92296,100942,104750,109505,117332,125584,132829,139608,150447,163170,177875,196990,214889,232583,257897,279559,301591,319971,341148,361677,391393
JH,Jharkhand,,,,,,,,,,,,,,56487,58207,56777,67252,73983,73451,73499,76040,81079,85137,89430,88397,89239,103573,106759,114369,130989,140199,149623,162426,181355,177794
JK,Jammu & Kashmir,19541,20238,21028,22112,22878,23458,22137,23656,24893,26219,27214,28387,29870,31327,32900,34539,36435,38368,40154,41147,42943,45100,47440,50029,52889,56015,59541,63378,66528,70100,75133,79556,83981,83058,93326
KL,Kerala,64339,65827,64842,67198,70594,70846,73250,79547,84840,90306,93387,98703,107392,116560,122851,127638,131579,139527,149893,157177,161703,172856,190384,208044,228424,247632,268843,285814,309541,332578,352877,373716,396840,415662,441344
KN,Karnataka,89997,93351,98900,106024,105379,111557,119796,129555,137985,141276,154509,162044,172118,182491,193838,210021,225541,251120,268741,291354,301820,313039,327723,356949,394237,434056,486109,526761,540855,583897,614206,648001,692706,737438,810694
MH,Maharashtra,163245,169169,178955,184246,195652,201833,212831,232570,265927,284702,288488,319718,356984,372967,407647,434370,458029,475831,514786,510964,524602,564114,609297,659571,739856,839659,938505,981504,1056619,1170757,1241900,1328713,1426981,1520309,1631093
