# File: A10.EB_SecFuel_mtoe.csv
# Title: Database of fuel consumption across sectors
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AP,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
AR,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
AS,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
BR,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
CG,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
DL,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
GA,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
GJ,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
HP,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
HR,Agriculture,Diesel and products,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.101836019,0.099452742,0.110267439,0.10899869,0.106845445,0.11766669,0.125121361,0.137649845,0.145129355,0.149031619,0.158159155,0.16018069
