Sector 31: Annual Survey of Manufactures: General Statistics: Statistics for Industry Groups and Industries: 2009 and 2008,,,,,,
"NOTE: For information on confidentiality protection, sampling error, nonsampling error, and definitions, see Survey Methodology.  For information on the ASM industry groupings, see Comparability. Data in this table represent those available when this report was created. Data may not be available for all NAICS industries or geographies.  Detail items may not add to total due to independent rounding.
",,,,,,
Geographic Area Name,NAICS-based code,Meaning of NAICS-based code,Year,"Quantity of electricity purchased (1,000 kWh)","Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)"
United States,31-33,Manufacturing,2008,"877,809,635","111,057,052","25,190,111"
United States,311,Food mfg,2008,"87,579,124","5,350,152","422,968"
United States,3111,Animal food mfg,2008,"6,625,433",23,S
United States,31111,Animal food manufacturing,2008,"6,625,433",23,S
United States,311111,Dog and cat food manufacturing,2008,"1,592,355",S,S
United States,311119,Other animal food manufacturing,2008,"5,033,078",23,S
United States,3112,Grain & oilseed milling,2008,"21,341,408","3,901,401","234,545"
United States,31121,Flour milling and malt manufacturing,2008,"6,673,045",D,S
United States,31121M,Flour milling and malt manufacturing,2008,"6,673,045",D,S
United States,31122,Starch and vegetable fats and oils manufacturing,2008,"13,055,372","3,863,862",D
United States,311221,Wet corn milling,2008,"7,616,535","3,117,665","225,454"
United States,311225,Fats and oils refining and blending,2008,"1,244,036",D,D
United States,31122N,Soybean and other oilseed processing,2008,"4,194,801",D,D
United States,31123,Breakfast cereal manufacturing,2008,"1,612,991",D,D
United States,311230,Breakfast cereal manufacturing,2008,"1,612,991",D,D
United States,3113,Sugar & confectionery product mfg,2008,"3,148,505",D,D
United States,31131,Sugar manufacturing,2008,"1,063,916","890,332",D
United States,311313,Beet sugar manufacturing,2008,"655,896","494,108",D
United States,31131N,Sugar cane mills and refining,2008,"408,021","396,224",D
United States,31132,Chocolate and confectionery manufacturing from cacao beans,2008,"412,207",(s)548,S
United States,311320,Chocolate and confectionery manufacturing from cacao beans,2008,"412,207",(s)548,S
United States,31133,Confectionery manufacturing from purchased chocolate,2008,"1,036,407",D,D
United States,311330,Confectionery manufacturing from purchased chocolate,2008,"1,036,407",D,D
United States,31134,Nonchocolate confectionery manufacturing,2008,"635,974",D,S
United States,311340,Nonchocolate confectionery manufacturing,2008,"635,974",D,S
United States,3114,Fruit & vegetable preserving & specialty food mfg,2008,"9,553,902",D,"52,194"
United States,31141,Frozen food manufacturing,2008,"5,353,797",D,S
United States,31141M,Frozen food manufacturing,2008,"5,353,797",D,S
United States,31142,"Fruit and vegetable canning, pickling, and drying",2008,"4,200,105","266,676","52,194"
United States,31142M,"Fruit and vegetable canning, pickling, and drying",2008,"4,200,105","266,676","52,194"
United States,3115,Dairy product mfg,2008,"10,494,686","19,177","17,174"
United States,31151,Dairy product (except frozen) manufacturing,2008,"9,179,450","19,177","17,174"
United States,311513,Cheese manufacturing,2008,"3,763,895",D,S
United States,311514,"Dry, condensed, and evaporated dairy product manufacturing",2008,"1,611,842",D,S
United States,31151N,Fluid milk and butter manufacturing,2008,"3,803,713","11,025","17,174"
United States,31152,Ice cream and frozen dessert manufacturing,2008,"1,315,236",S,S
United States,311520,Ice cream and frozen dessert manufacturing,2008,"1,315,236",S,S
United States,3116,Animal  slaughtering & processing,2008,"20,614,664",D,D
United States,31161,Animal slaughtering and processing,2008,"20,614,664",D,D
