INPUT DRIVEN EMISSIONS,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,
21000,,,,,,,,,,,,,,

supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver,,,,,,,,,
passenger,auto,ICE auto,ALL,CH4,,,,,,,,,,
passenger,light truck,ICE light truck,ALL,CH4,,,,,,,,,,
passenger,bus,ICE bus,ALL,CH4,,,,,,,,,,
passenger,bus,CNG bus,ALL,CH4,,,,,,,,,,
passenger,rail,ICE rail,ALL,CH4,,,,,,,,,,
passenger,passenger air,passenger air,ALL,CH4,,,,,,,,,,
freight,truck,ICE freight truck,ALL,CH4,,,,,,,,,,
freight,rail,ICE freight rail,ALL,CH4,,,,,,,,,,
freight,freight air,freight air,ALL,CH4,,,,,,,,,,
freight,domestic ship,ICE domestic ship,ALL,CH4,,,,,,,,,,
freight,international ship,ICE international ship,ALL,CH4,

INPUT_TABLE,,,,,
Variable ID,,,,,
20000,,,,,

supplysector,subsector,technology,period,generic-ghg,input-driver
recreational offroad,boat,boat,ALL,CH4,
recreational offroad,ohv,ohv,ALL,CH4,
military,military,refined liquids,ALL,CH4,

INPUT_TABLE,,,,,
Variable ID,,,,,
21015,,,,,

supplysector,tranSubsector,tranTechnology,period,generic-ghg,uncontrolled-emiss-coef
passenger,auto,ICE auto,1990,CH4,0.0065
passenger,light truck,ICE light truck,1990,CH4,0.0065
passenger,bus,ICE bus,1990,CH4,0.0065
passenger,bus,CNG bus,1990,CH4,0.0065
passenger,rail,ICE rail,1990,CH4,0.0059
passenger,passenger air,passenger air,1990,CH4,0.0010
freight,truck,ICE freight truck,1990,CH4,0.0065
freight,rail,ICE freight rail,1990,CH4,0.0059
freight,freight air,freight air,1990,CH4,0.0010
freight,domestic ship,ICE domestic ship,1990,CH4,0.0079
freight,international ship,ICE international ship,1990,CH4,0.1001
,,,,,
INPUT_TABLE,,,,,
Variable ID,,,,,
20015,,,,,

supplysector,subsector,technology,period,generic-ghg,uncontrolled-emiss-coef
recreational offroad,boat,boat,1990,CH4,0.0079
recreational offroad,ohv,ohv,1990,CH4,0.0065
military,military,refined liquids,1990,CH4,0.0015


INPUT_TABLE,,,,,
Variable ID,,,,,
21000,,,,,

supplysector,tranSubsector,tranTechnology,period,generic-ghg,input-driver
passenger,auto,ICE auto,ALL,N2O,
passenger,light truck,ICE light truck,ALL,N2O,
passenger,bus,ICE bus,ALL,N2O,
passenger,bus,CNG bus,ALL,N2O,
passenger,rail,ICE rail,ALL,N2O,
passenger,passenger air,passenger air,ALL,N2O,
freight,truck,ICE freight truck,ALL,N2O,
freight,rail,ICE freight rail,ALL,N2O,
freight,freight air,freight air,ALL,N2O,
