FID,GCAM_region,Country,PY_ID,Province,AEZ,Crop1,Crop2,Crop3,Crop4,Crop5,Crop6,Crop7,Crop8,Crop9,Crop10,Crop11,Crop12,Crop13,Crop14,Crop15,Crop16,Crop17,Crop18,Crop19,Crop20,Crop21,Crop22,Crop23,Crop24,Crop26,Total water (km^3/year)
2842,1,United States,4946,Washington,7,626279489.3,100108713.1,0,91290718.77,0,0,0,0,0,2289717.205,0,0,9.66E-05,0,0,0,0,0,0,1.54E-05,0,0,0,0.011952162,220190108.7,1.040158747
2843,1,United States,5407,Oregon,7,489997879.3,16679243.56,0,9224889.418,0,0,0,0,0,7042946.311,0,0,1679778.07,0,2400642.132,0,0,0,0,11612792.13,0,0,0,19375521.39,8584233.632,0.566597926
2899,1,United States,4944,Montana,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2900,1,United States,4947,Idaho,7,599786.8324,0.000387096,0,136144.6443,0,0,0,0,0,0.00048731,0,0,0,0,0,0,0,0,0,0,0,0,0,64828.02631,289822.7695,0.001090582
2901,1,United States,4944,Montana,7,13541662.33,0.004868858,0,1951564.761,0,0,0,0,0,49732.53473,0,0,0,0,0,0,0,0,0,0,0,0,0,159123.1921,675585.506,0.016377668
2902,1,United States,4944,Montana,7,10170766.63,11060.91099,0,345463.3273,0,0,0,0,24355.66537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53511.31625,414351.9881,0.01101951
2903,1,United States,5526,South Dakota,7,3977457.831,2673704.13,0,192401.9447,0,9052.557893,30745.93495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42809.053,443876.1602,0.007370048
3386,1,United States,4945,North Dakota,7,160179204.7,31170039.39,0,14803381.08,796839.1843,886218.6667,0,3506185.523,45027078.71,0,0,0,8.92E-06,0,3987344.76,0,0,0,0,0,0,0,0,289597.0347,25017056.1,0.285662945
3387,1,United States,5526,South Dakota,7,667594016.6,446697492.8,0,19961701.76,3527351.285,32471390.05,10972921.24,81404243.62,270585256.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2525734.127,30996906.57,1.566737014
4663,1,United States,6158,Colorado,7,0,0,0,1.07E-05,6964.689738,0,0,0,0,3.91E-05,0,0,0,0,0,0,0,0,0,4.31E-07,0,0,0,25240.41413,931073.2982,0.000963278
4739,1,United States,6158,Colorado,7,548462.3683,0,0,4.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638.406956,115824.4632,0.000671925
5238,1,United States,6021,California,7,9207377.95,163578.3692,0,1543745.902,0,0,4840.436817,0,0,0.00038955,0,0,545375.2158,0,0,0,0,0.000374546,0,0,16446064.4,0,0,0,30848757.92,0.05875974
7180,1,United States,4944,Montana,7,5741333619,13562209.11,0,441721877.6,32954338.18,0,0,0,10089894.84,3716208.598,0,0,0,0,53567949.63,0,0,0,0,0,0,0,0,0,13109107.1,6.310055204
7181,1,United States,4945,North Dakota,7,1078997967,22121002.65,0,60017542.28,1383697.995,0,0,1221203.379,18088084.47,0.000260483,0,0,5402280.586,0,61392716.48,0,0,0,0,0,0,0,0,3216030.107,92477353.76,1.344317879
7182,1,United States,4947,Idaho,7,584349945.9,671240420,0,129218285.6,0,0,0,0,0,0.025589049,0,0,0,0,37932.16678,0,0,0,0,1642398.593,0,0,0,15364242.23,53087861.95,1.454941086
7183,1,United States,5407,Oregon,7,58957424.16,13423861.35,0,6183399.066,0.004323091,0,0,0,0,3142258.457,0,0,3443375.912,0,0,0,0,0,0,15888.97833,0,0,0,3461816.605,25856681.39,0.114484706
7184,1,United States,5526,South Dakota,7,115503064.9,16950412.33,0,615686.223,0,10932623.19,3624707.24,273208.464,8895716.16,0,0,0,0,0,0,0,0,0,0,4876.815133,0,0,0,909692.3763,7855013.496,0.165565001
7185,1,United States,5685,Wyoming,7,444746999.2,73049629.86,0,27651538.35,0,6890704.598,719412.9809,0,4474106.716,16754.8112,0,0,19643489.3,0,0,0,0,0,0,0,0,0,0,3585258.189,23382572.54,0.604160467
