# File: IFA2002_Fert_ktN,,,,,,
# Author: Geoff Morrison,,,,,,
# Description: IFA N-Fertilizer Application Rates (kg N/ha),,,,,,
# Original source: IFA (2002) and FAO (2006),,,,,,
# ----------,,,,,,
COUNTRY,YEAR,CROP,AREA_thousHa,N_kt,P2O5_kt,K2O_kt
ALBANIA,1999,Alfalfa,11,0,0,0
ALBANIA,1999,Barley,2,0,0,0
ALBANIA,1999,Citrus fruits,1,0,0,0
ALBANIA,1999,Potato,11,0,0,0
ALBANIA,1999,Rye,2,0,0,0
ALBANIA,1999,Sunflower,2,0,0,0
ALBANIA,1999,Tomato,5,0,0,0
ALBANIA,1999,Vegetables,34,1,2,0
ALBANIA,1999,Wheat,109,6,2,0
ALGERIA,1998,Fruits,290,3,3,3
ALGERIA,1998,Potato,67,8,12,12
ALGERIA,1998,Vegetables,267,1,0,0
ALGERIA,1998,Wheat,2589,0,10,0
ARGENTINA,1998,Barley,212,5,2,0
ARGENTINA,2002,Citrus fruits,148,0,0,0
ARGENTINA,1998,Citrus fruits,138,8,4,4
ARGENTINA,2002,Cotton,176,0,0,0
ARGENTINA,1998,Cotton,780,19,4,0
ARGENTINA,2002,Fruits,157,0,0,0
ARGENTINA,1998,Fruits,452,5,5,4
ARGENTINA,1998,Groundnut,384,8,4,2
ARGENTINA,2002,Maize,3057,0,0,0
ARGENTINA,1998,Maize,3185,64,80,6
ARGENTINA,1998,Oat,240,9,10,0
ARGENTINA,1998,Potato,116,3,8,8
ARGENTINA,1998,Pulses,299,4,6,0
ARGENTINA,2002,Rice,85,0,0,0
ARGENTINA,1998,Rice,212,8,5,2
ARGENTINA,1998,Sorghum,782,4,8,0
ARGENTINA,1998,Soybean,6954,35,35,21
ARGENTINA,2002,Soybean,12219,0,0,0
ARGENTINA,2002,Sugar cane,204,0,0,0
ARGENTINA,1998,Sugar cane,306,14,2,25
ARGENTINA,2002,Sunflower,2290,0,0,0
ARGENTINA,1998,Sunflower,3331,42,17,7
ARGENTINA,2002,Tobacco,65,0,0,0
ARGENTINA,1998,Tobacco,49,1,1,0
ARGENTINA,1998,Vegetables,320,19,11,14
ARGENTINA,2002,Wheat,6175,0,0,0
ARGENTINA,1998,Wheat,5472,192,137,0
ARGENTINA,2002,Tea,245,0,0,0
