# File: EDGAR_HFC32.csv
# Title: EDGAR F gases trend
# Units: Kt
# Source: EDGAR v4.2
# Description: EDGAR inventory of F gases (1970 - 2008)
IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73E-04,1.58E-03,8.00E-03,1.37E-02,1.99E-02,2.86E-02,3.95E-02,5.83E-02,6.17E-02,7.14E-02,8.10E-02
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73E-03,2.46E-02,1.24E-01,2.10E-01,3.03E-01,4.36E-01,6.04E-01,8.89E-01,9.42E-01,1.09E+00,1.24E+00
Non-Annex_I,Mexico,MEX,Mexico,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57E-05,1.47E-04,8.81E-04,1.53E-03,2.28E-03,3.39E-03,5.03E-03,7.82E-03,8.12E-03,9.45E-03,1.08E-02
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.42E-08,6.92E-07,3.54E-06,6.01E-06,8.78E-06,1.32E-05,1.93E-05,3.01E-05,3.12E-05,3.63E-05,4.13E-05
Non-Annex_I,Rest Central America,CRI,Costa Rica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24E-07,6.29E-06,3.63E-05,6.20E-05,9.20E-05,1.43E-04,2.05E-04,3.22E-04,3.35E-04,3.89E-04,4.44E-04
Non-Annex_I,Rest Central America,CUB,Cuba,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.51E-07,9.06E-06,4.82E-05,1.01E-04,1.68E-04,2.77E-04,4.16E-04,6.61E-04,6.91E-04,8.09E-04,9.26E-04
Non-Annex_I,Rest Central America,GTM,Guatemala,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.59E-06,4.22E-05,2.26E-04,4.26E-04,6.71E-04,1.04E-03,1.56E-03,2.51E-03,2.59E-03,3.02E-03,3.46E-03
Non-Annex_I,Rest Central America,JAM,Jamaica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.58E-07,4.94E-06,2.56E-05,4.76E-05,7.40E-05,1.16E-04,1.69E-04,2.64E-04,2.76E-04,3.21E-04,3.67E-04
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27E-08,2.22E-07,1.31E-06,2.55E-06,4.08E-06,6.42E-06,1.07E-05,1.87E-05,1.87E-05,2.19E-05,2.52E-05
Non-Annex_I,Rest Central America,SLV,El Salvador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54E-07,7.16E-06,5.96E-05,1.00E-04,1.44E-04,2.04E-04,2.74E-04,4.01E-04,4.26E-04,4.91E-04,5.57E-04
