# File: population_weighted_HDD_CCSM3x_B1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: CCSM3 B1 Heating Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: Fahrenheit Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Description: Heating Degree Days by Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
Russia,9621.118687,9606.463389,9591.447326,9576.086387,9560.396265,9544.392463,9528.090287,9511.50485,9494.651073,9477.543682,9460.197209,9442.625994,9424.844181,9406.865722,9388.704376,9370.373705,9351.887082,9333.257682,9314.49849,9295.622294,9276.641691,9257.569083,9238.416679,9219.196493,9199.920346,9180.599867,9161.246489,9141.871453,9122.485805,9103.100399,9083.725893,9064.372753,9045.051251,9025.771465,9006.543281,8987.376388,8968.280285,8949.264275,8930.337468,8911.508779,8892.786934,8874.180459,8855.69769,8837.346769,8819.135644,8801.07207,8783.163606,8765.41762,8747.841286,8730.441582,8713.225296,8696.199019,8679.36915,8662.741894,8646.323263,8630.119074,8614.134951,8598.376324,8582.848431,8567.556314,8552.504823,8537.698613,8523.142147,8508.839693,8494.795325,8481.012925,8467.496179,8454.248583,8441.273436,8428.573843,8416.152719,8404.012782,8392.156557,8380.586377,8369.304379,8358.312507,8347.612513,8337.205954,8327.094193,8317.278399,8307.75955,8298.538426,8289.615618,8280.99152,8272.666334,8264.640067,8256.912534,8249.483355,8242.351957,8235.517573,8228.979242,8222.73581,8216.78593,8211.128059,8205.760463,8200.681213,8195.888186,8191.379067,8187.151344,8183.202315,8179.529083,8176.128557,8172.997452,8170.132289,8167.529398,8165.184913,8163.094775,8161.25473,8159.660332,8158.306941,8157.189724,8156.303653,8155.643506,8155.203869,8154.979134,8154.963498,8155.150965,8155.535346,8156.110258,8156.869125,8157.805175,8158.911444,8160.180776,8161.605817,8163.179024,8164.892658,8166.738785,8168.70928,8170.795823
Canada,8411.762652,8402.836618,8393.048843,8382.434241,8371.027262,8358.861893,8345.971655,8332.389607,8318.148343,8303.279991,8287.816217,8271.788221,8255.22674,8238.162047,8220.623947,8202.641787,8184.244444,8165.460335,8146.31741,8126.843156,8107.064595,8087.008284,8066.700319,8046.166327,8025.431476,8004.520465,7983.457532,7962.266448,7940.970523,7919.592599,7898.155057,7876.679812,7855.188315,7833.701553,7812.240048,7790.823859,7769.47258,7748.20534,7727.040806,7705.997178,7685.092193,7664.343124,7643.76678,7623.379504,7603.197176,7583.235212,7563.508565,7544.031719,7524.818699,7505.883062,7487.237904,7468.895853,7450.869077,7433.169276,7415.807687,7398.795084,7382.141775,7365.857604,7349.951952,7334.433735,7319.311403,7304.592945,7290.285884,7276.397278,7262.933721,7249.901344,7237.305813,7225.152331,7213.445632,7202.189993,7191.389221,7181.04666,7171.165191,7161.747231,7152.794731,7144.309178,7136.291597,7128.742545,7121.662118,7115.049947,7108.905196,7103.226569,7098.012303,7093.260172,7088.967484,7085.131085,7081.747355,7078.81221,7076.321102,7074.26902,7072.650486,7071.459561,7070.689838,7070.33445,7070.386061,7070.836875,7071.678629,7072.902597,7074.499589,7076.459949,7078.773558,7081.429833,7084.417726,7087.725726,7091.341855,7095.253674,7099.448278,7103.912297,7108.631898,7113.592785,7118.780194,7124.1789,7129.773212,7135.546977,7141.483574,7147.565921,7153.776469,7160.097209,7166.509663,7172.994891,7179.533489,7186.105588,7192.690854,7199.268491,7205.817237,7212.315366,7218.740688,7225.070548,7231.281829
United States,4550.339207,4545.384251,4539.591786,4532.998841,4525.641881,4517.556808,4508.778958,4499.34311,4489.283474,4478.633703,4467.426881,4455.695534,4443.471622,4430.786544,4417.671135,4404.155667,4390.269849,4376.042828,4361.503189,4346.67895,4331.597569,4316.285943,4300.770401,4285.076715,4269.230087,4253.255163,4237.176023,4221.016182,4204.798596,4188.545656,4172.27919,4156.020464,4139.790179,4123.608477,4107.494932,4091.46856,4075.54781,4059.750571,4044.094167,4028.59536,4013.270351,3998.134773,3983.203701,3968.491646,3954.012553,3939.779808,3925.806232,3912.104084,3898.685059,3885.56029,3872.740346,3860.235235,3848.054401,3836.206723,3824.700521,3813.543548,3802.742999,3792.3055,3782.23712,3772.543361,3763.229164,3754.298906,3745.756401,3737.604902,3729.847097,3722.485112,3715.520508,3708.954288,3702.786888,3697.01818,3691.647478,3686.673528,3682.094515,3677.908064,3674.111232,3670.700517,3667.67185,3665.020605,3662.741587,3660.829042,3659.276651,3658.077534,3657.224245,3656.708779,3656.522566,3656.656472,3657.100801,3657.845296,3658.879134,3660.19093,3661.768738,3663.600046,3665.671782,3667.970309,3670.481427,3673.190376,3676.081829,3679.139898,3682.348133,3685.689519,3689.14648,3692.700877,3696.334005,3700.026601,3703.758835,3707.510315,3711.260088,3714.986635,3718.667878,3722.281172,3725.803311,3729.210526,3732.478486,3735.582295,3738.496495,3741.195066,3743.651424,3745.838423,3747.728352,3749.292939,3750.503349,3751.330183,3751.743481,3751.712717,3751.206805,3750.194094,3748.642372,3746.518863,3743.790227
China,4430.57869,4423.558762,4416.207589,4408.54092,4400.574262,4392.322878,4383.801788,4375.025771,4366.009361,4356.76685,4347.312286,4337.659475,4327.82198,4317.81312,4307.645972,4297.33337,4286.887905,4276.321925,4265.647533,4254.876593,4244.020722,4233.091297,4222.099451,4211.056073,4199.97181,4188.857066,4177.722002,4166.576536,4155.430343,4144.292855,4133.17326,4122.080505,4111.023292,4100.010082,4089.049092,4078.148296,4067.315424,4056.557965,4045.883164,4035.298022,4024.8093,4014.423513,4004.146933,3993.985593,3983.945278,3974.031532,3964.249657,3954.604711,3945.101509,3935.744624,3926.538385,3917.486877,3908.593944,3899.863187,3891.297963,3882.901386,3874.676327,3866.625415,3858.751035,3851.055329,3843.540197,3836.207295,3829.058036,3822.093592,3815.314889,3808.722612,3802.317202,3796.098858,3790.067535,3784.222945,3778.56456,3773.091603,3767.803061,3762.697672,3757.773934,3753.030103,3748.464189,3744.073961,3739.856945,3735.810424,3731.931437,3728.216781,3724.663009,3721.266433,3718.023119,3714.928893,3711.979337,3709.169788,3706.495344,3703.950856,3701.530934,3699.229946,3697.042015,3694.961022,3692.980605,3691.094158,3689.294834,3687.575541,3685.928946,3684.347471,3682.823296,3681.348358,3679.914352,3678.512728,3677.134693,3675.771214,3674.413011,3673.050565,3671.674111,3670.273643,3668.838909,3667.359418,3665.824434,3664.222977,3662.543826,3660.775516,3658.906338,3656.924344,3654.817337,3652.572883,3650.1783,3647.620666,3644.886815,3641.963339,3638.836586,3635.492661,3631.917427,3628.096502,3624.015264
Brazil,323.1285317,320.8960938,318.677173,316.4720161,314.2808627,312.1039445,309.9414859,307.7937041,305.6608083,303.5430006,301.4404756,299.3534201,297.2820138,295.2264288,293.1868296,291.1633733,289.1562096,287.1654805,285.1913208,283.2338577,281.2932107,279.3694923,277.462807,275.5732522,273.7009176,271.8458856,270.0082309,268.1880209,266.3853154,264.6001669,262.8326202,261.0827127,259.3504744,257.6359278,255.9390877,254.2599617,252.5985498,250.9548446,249.3288311,247.7204868,246.1297819,244.5566789,243.001133,241.4630919,239.9424957,238.4392771,236.9533613,235.484666,234.0331015,232.5985706,231.1809685,229.7801831,228.3960946,227.0285759,225.6774924,224.342702,223.024055,221.7213945,220.4345557,219.1633667,217.907648,216.6672126,215.4418659,214.2314061,213.0356237,211.8543018,210.6872159,209.5341341,208.3948172,207.2690183,206.1564831,205.0569496,203.9701488,202.8958037,201.8336302,200.7833365,199.7446234,198.7171843,197.7007049,196.6948636,195.6993313,194.7137714,193.7378398,192.7711848,191.8134476,190.8642614,189.9232524,188.990039,188.0642323,187.1454357,186.2332454,185.32725,184.4270305,183.5321606,182.6422064,181.7567266,180.8752723,179.9973874,179.1226079,178.2504626,177.3804729,176.5121524,175.6450075,174.778537,173.9122322,173.045577,172.1780477,171.3091134,170.4382353,169.5648674,168.6884562,167.8084406,166.9242522,166.035315,165.1410454,164.2408526,163.3341381,162.4202959,161.4987129,160.5687679,159.6298328,158.6812716,157.7224411,156.7526905,155.7713614,154.7777882,153.7712977,152.751209,151.716834
Australia,2136.875003,2131.051545,2125.235863,2119.425453,2113.617897,2107.810869,2102.00213,2096.189534,2090.371021,2084.544621,2078.708456,2072.860734,2066.999754,2061.123904,2055.231664,2049.321598,2043.392366,2037.442711,2031.47147,2025.477568,2019.460019,2013.417926,2007.350484,2001.256974,1995.136768,1988.989328,1982.814205,1976.611038,1970.379559,1964.119585,1957.831025,1951.513877,1945.168229,1938.794258,1932.392228,1925.962497,1919.50551,1913.0218,1906.511991,1899.976797,1893.417022,1886.833555,1880.227381,1873.599568,1866.951279,1860.283762,1853.598357,1846.896493,1840.179688,1833.449548,1826.707772,1819.956146,1813.196545,1806.430934,1799.661369,1792.889994,1786.119041,1779.350833,1772.587784,1765.832395,1759.087256,1752.355049,1745.638544,1738.9406,1732.264165,1725.612279,1718.988068,1712.394751,1705.835633,1699.31411,1692.833668,1686.397882,1680.010416,1673.675023,1667.395547,1661.17592,1655.020164,1648.932391,1642.9168,1636.977683,1631.119419,1625.346476,1619.663414,1614.074881,1608.585612,1603.200436,1597.924269,1592.762115,1587.71907,1582.800318,1578.011134,1573.35688,1568.843009,1564.475063,1560.258673,1556.199561,1552.303537,1548.576501,1545.024441,1541.653437,1538.469656,1535.479356,1532.688884,1530.104676,1527.733257,1525.581244,1523.65534,1521.96234,1520.509127,1519.302673,1518.350041,1517.658384,1517.23494,1517.087042,1517.222109,1517.647651,1518.371266,1519.400643,1520.743558,1522.40788,1524.401565,1526.732658,1529.409294,1532.4397,1535.832188,1539.595162,1543.737116,1548.266632,1553.192381
India,346.1317129,345.5587411,344.8741709,344.0829271,343.1898556,342.199723,341.1172174,339.9469473,338.6934424,337.3611536,335.9544525,334.4776318,332.934905,331.3304069,329.6681929,327.9522397,326.1864447,324.3746265,322.5205247,320.6277995,318.7000326,316.7407262,314.7533038,312.7411099,310.7074096,308.6553893,306.5881564,304.508739,302.4200865,300.3250691,298.2264779,296.1270251,294.029344,291.9359885,289.8494339,287.7720762,285.7062322,283.6541404,281.6179596,279.5997697,277.6015717,275.6252875,273.6727602,271.7457534,269.8459521,267.9749622,266.1343105,264.3254446,262.5497335,260.8084668,259.1028552,257.4340305,255.8030453,254.2108732,252.6584089,251.146468,249.675787,248.2470235,246.8607559,245.5174839,244.2176278,242.9615292,241.7494504,240.5815749,239.4580068,238.3787719,237.3438162,236.3530071,235.406133,234.5029029,233.6429472,232.8258171,232.0509847,231.3178433,230.6257069,229.9738106,229.3613106,228.7872839,228.2507286,227.7505637,227.285629,226.8546857,226.4564156,226.0894217,225.7522279,225.443279,225.1609408,224.9035003,224.6691652,224.4560642,224.2622471,224.0856847,223.9242686,223.7758115,223.638047,223.5086299,223.3851356,223.2650608,223.145823,223.0247608,222.8991336,222.766122,222.6228273,222.4662721,222.2933997,222.1010745,221.8860819,221.6451283,221.3748408,221.0717678,220.7323787,220.3530636,219.9301337,219.4598212,218.9382793,218.3615821,217.7257248,217.0266235,216.2601152,215.4219579,214.5078307,213.5133336,212.4339875,211.2652345,210.0024374,208.6408801,207.1757676,205.6022256,203.915301
Argentina,2150.867675,2144.306854,2137.609589,2130.787679,2123.852692,2116.815958,2109.688574,2102.4814,2095.205061,2087.869947,2080.486213,2073.063778,2065.612327,2058.141309,2050.659938,2043.177192,2035.701814,2028.242313,2020.806961,2013.403796,2006.040621,1998.725001,1991.46427,1984.265524,1977.135623,1970.081195,1963.10863,1956.224083,1949.433475,1942.74249,1936.15658,1929.680958,1923.320604,1917.080261,1910.96444,1904.977412,1899.123217,1893.405658,1887.828302,1882.394483,1877.107297,1871.969607,1866.984039,1862.152986,1857.478603,1852.962812,1848.607298,1844.413513,1840.382671,1836.515753,1832.813503,1829.276432,1825.904814,1822.698687,1819.657856,1816.781889,1814.07012,1811.521647,1809.135333,1806.909805,1804.843456,1802.934444,1801.180689,1799.579879,1798.129465,1796.826663,1795.668455,1794.651585,1793.772565,1793.02767,1792.412939,1791.924176,1791.556953,1791.306603,1791.168224,1791.136681,1791.206601,1791.372379,1791.628172,1791.967903,1792.385258,1792.873692,1793.42642,1794.036424,1794.696451,1795.399012,1796.136382,1796.900604,1797.683481,1798.476585,1799.27125,1800.058576,1800.829428,1801.574435,1802.283991,1802.948254,1803.557148,1804.100362,1804.567348,1804.947324,1805.229273,1805.401942,1805.453842,1805.373252,1805.148212,1804.766528,1804.215772,1803.48328,1802.556151,1801.421252,1800.065211,1798.474425,1796.635053,1794.533018,1792.15401,1789.483484,1786.506656,1783.208511,1779.573797,1775.587026,1771.232476,1766.49419,1761.355975,1755.801401,1749.813807,1743.376292,1736.471724,1729.082734,1721.191716
Kazakhstan,8691.95554,8674.652281,8657.435699,8640.303329,8623.252826,8606.281961,8589.388627,8572.570832,8555.826704,8539.15449,8522.552556,8506.019384,8489.553578,8473.153857,8456.819061,8440.548148,8424.340194,8408.194395,8392.110062,8376.086629,8360.123646,8344.220781,8328.377823,8312.594677,8296.871368,8281.208039,8265.604951,8250.062486,8234.581141,8219.161533,8203.804399,8188.510593,8173.281088,8158.116974,8143.019463,8127.989882,8113.029678,8098.140417,8083.323783,8068.581578,8053.915724,8039.328259,8024.821344,8010.397253,7996.058382,7981.807245,7967.646474,7953.57882,7939.607153,7925.734459,7911.963847,7898.29854,7884.741882,7871.297334,7857.968479,7844.759014,7831.672758,7818.713646,7805.885732,7793.193192,7780.640314,7768.231512,7755.971312,7743.864363,7731.915429,7720.129397,7708.511268,7697.066163,7685.799324,7674.716108,7663.821993,7653.122574,7642.623565,7632.330798,7622.250226,7612.387917,7602.750061,7593.342963,7584.173049,7575.246863,7566.571067,7558.152442,7549.997888,7542.114422,7534.509181,7527.18942,7520.162513,7513.435952,7507.017346,7500.914427,7495.13504,7489.687153,7484.578849,7479.818334,7475.413927,7471.37407,7467.707321,7464.422358,7461.527977,7459.033092,7456.946736,7455.278061,7454.036337,7453.230952,7452.871414,7452.967348,7453.528498,7454.564728,7456.086018,7458.102468,7460.624297,7463.661841,7467.225556,7471.326015,7475.973912,7481.180057,7486.955379,7493.310927,7500.257868,7507.807485,7515.971184,7524.760486,7534.187032,7544.262581,7554.999011,7566.408318,7578.502617,7591.294141,7604.795243
Sudan,17.11900764,16.97950144,16.84355658,16.71099699,16.58165024,16.45534748,16.33192348,16.21121662,16.09306889,15.97732589,15.86383683,15.75245454,15.64303545,15.53543959,15.42953062,15.32517581,15.22224602,15.12061574,15.02016305,14.92076967,14.82232091,14.72470568,14.62781653,14.5315496,14.43580463,14.34048501,14.24549769,14.15075327,14.05616593,13.96165349,13.86713737,13.77254257,13.67779775,13.58283515,13.48759062,13.39200363,13.29601726,13.19957819,13.10263673,13.00514677,12.90706583,12.80835505,12.70897917,12.60890652,12.50810907,12.40656239,12.30424565,12.20114165,12.09723678,11.99252105,11.88698809,11.78063512,11.67346298,11.56547613,11.45668262,11.34709413,11.23672593,11.12559691,11.01372958,10.90115006,10.78788805,10.6739769,10.55945354,10.44435853,10.32873604,10.21263383,10.09610328,9.979199389,9.861980765,9.74450962,9.626851775,9.509076665,9.391257335,9.273470438,9.155796239,9.038318618,8.921125055,8.804306645,8.687958097,8.572177723,8.457067457,8.342732823,8.229282979,8.116830674,8.005492281,7.895387773,7.786640738,7.679378373,7.573731487,7.469834498,7.367825435,7.267845935,7.170041247,7.07456023,6.981555353,6.891182696,6.803601949,6.718976409,6.637472986,6.559262206,6.484518192,6.41341869,6.346145047,6.282882225,6.223818796,6.169146942,6.119062452,6.073764733,6.033456792,5.998345252,5.968640348,5.944555922,5.926309425,5.914121922,5.908218088,5.9088262,5.916178158,5.930509466,5.952059236,5.98107019,6.017788669,6.06246461,6.115351577,6.176706729,6.246790842,6.325868305,6.41420711,6.512078866,6.61975879
