# File: population_weighted_CDD_no_GCM_constdd.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Constant Cooling Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: Fahrenheit Degree Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Description: Cooling Degree Days by Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Reference: Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
Russia,316.1285855,317.1542124,318.3995659,319.8581119,321.523465,323.3893878,325.4497913,327.6987344,330.1304247,332.7392176,335.5196169,338.4662748,341.5739913,344.837715,348.2525426,351.8137188,355.5166371,359.3568386,363.330013,367.4319981,371.6587801,376.0064929,380.4714194,385.0499901,389.738784,394.5345282,399.4340981,404.4345174,409.5329579,414.7267398,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129,369.7346129
Canada,269.3539917,270.3344132,271.3987338,272.5472838,273.7804237,275.0985443,276.5020669,277.9914427,279.5671535,281.2297113,282.9796584,284.8175672,286.7440407,288.759712,290.8652444,293.0613318,295.3486981,297.7280976,300.2003148,302.7661646,305.4264922,308.1821729,311.0341126,313.9832471,317.0305429,320.1769964,323.4236345,326.7715144,330.2217236,333.7753797,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551,304.5012551
United States,1271.357925,1272.792116,1274.699422,1277.065679,1279.87701,1283.119825,1286.780819,1290.846977,1295.305569,1300.144154,1305.350576,1310.912967,1316.819745,1323.059617,1329.621574,1336.494898,1343.669155,1351.134199,1358.880171,1366.897498,1375.176897,1383.709367,1392.4862,1401.49897,1410.739541,1420.200063,1429.872973,1439.750994,1449.827139,1460.094705,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543,1371.730543
China,1574.791781,1575.431325,1576.302075,1577.402479,1578.731022,1580.28623,1582.066667,1584.070939,1586.297691,1588.745609,1591.413417,1594.299881,1597.403806,1600.724036,1604.259457,1608.008993,1611.971609,1616.146309,1620.532137,1625.12818,1629.93356,1634.947442,1640.169031,1645.59757,1651.232344,1657.072677,1663.117932,1669.367514,1675.820866,1682.477472,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992,1628.969992
Brazil,2593.751699,2602.096516,2609.970145,2617.409738,2624.451785,2631.132116,2637.485897,2643.547631,2649.351159,2654.929661,2660.315654,2665.540991,2670.636864,2675.633804,2680.561677,2685.449688,2690.32638,2695.219633,2700.156665,2705.16403,2710.267623,2715.492674,2720.863751,2726.40476,2732.138945,2738.088886,2744.276504,2750.723055,2757.449132,2764.474667,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621,2706.862621
Australia,971.7227548,974.967726,978.0993652,981.1295149,984.0698138,986.9316961,989.7263924,992.4649294,995.1581302,997.8166131,1000.450794,1003.070882,1005.686887,1008.30861,1010.945651,1013.607406,1016.303066,1019.041619,1021.831848,1024.682333,1027.601449,1030.59737,1033.678063,1036.851291,1040.124616,1043.505394,1047.000777,1050.617713,1054.362947,1058.24302,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398,1025.920398
India,5002.995211,5003.124919,5003.513399,5004.169755,5005.10288,5006.321451,5007.833931,5009.648567,5011.773392,5014.216224,5016.984668,5020.086111,5023.52773,5027.316482,5031.459113,5035.962152,5040.831916,5046.074506,5051.695807,5057.70149,5064.097012,5070.887616,5078.078328,5085.673962,5093.679114,5102.098169,5110.935295,5120.194445,5129.879359,5139.99356,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289,5064.827289
Argentina,1240.450585,1241.655961,1242.734833,1243.706949,1244.59164,1245.407815,1246.173967,1246.908169,1247.628076,1248.350924,1249.09353,1249.872291,1250.703189,1251.601785,1252.583219,1253.662216,1254.853081,1256.169699,1257.625538,1259.233647,1261.006656,1262.956775,1265.095797,1267.435095,1269.985626,1272.757924,1275.762108,1279.007875,1282.504508,1286.260865,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535,1262.21535
Kazakhstan,681.8362747,684.3858758,687.2053921,690.2845273,693.6132445,697.1817643,700.9805652,705.0003843,709.2322167,713.6673154,718.2971917,723.1136153,728.1086136,733.2744724,738.6037354,744.0892045,749.7239401,755.5012603,761.4147413,767.4582177,773.6257821,779.9117853,786.3108365,792.8178019,799.4278073,806.136236,812.938729,819.8311861,826.8097651,833.8708815,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199,769.7587199
Sudan,6496.325095,6511.959417,6527.190293,6542.04429,6556.547567,6570.725877,6584.604567,6598.208578,6611.562445,6624.690297,6637.615856,6650.362439,6662.952956,6675.409912,6687.755404,6700.011125,6712.198361,6724.337992,6736.45049,6748.555925,6760.673956,6772.82384,6785.024426,6797.294157,6809.65107,6822.112795,6834.696559,6847.419178,6860.297066,6873.346229,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668,6748.746668
