Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZE,0,3.76073083,6.489031687,13.16510228,4.540180287,3.021605967,14.06073118,0.96980577,0.365589426,6.398438432,12.59055564,1.56270011,5.836802724,5.240240152,0.667486645,6.049526755,6.025591523,0.570256476,0
ALB,0,0.013208433,0.016887209,0.025562054,0.015330292,0.003876668,0,0,0.008274271,0.062988615,0,0,0.218015113,0,0,0,0.042676062,0.051780339,0.008314756
ARM,0,1.44600535,3.16532429,2.203912771,1.593453746,0.638849192,12.97138552,0,0,0,8.547390962,0,0.774850534,0,0,2.636035384,1.887971617,0,2.250226414
AGO,0,175.4766523,120.6146635,82.79352701,79.53933294,96.23327079,230.8177876,251.8185851,158.0721036,305.8687261,248.7166766,289.2059094,248.3815891,189.5958331,305.6459766,241.8249639,181.3504748,92.7625672,140.0154283
ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,4537.347241,5549.313606,5518.648488,5523.917411,4412.561071,3721.214998,3954.62588,5043.962783,4053.847512,3347.419539,2644.517408,4921.870754,5582.744175,5172.717593,5502.705777,4702.684204,4096.592634,4689.069287
AUS,0,13068.16302,38030.37239,23676.03874,26666.66658,23902.53122,28921.09674,55255.01879,90176.45735,7000.518746,4038.779683,59495.55131,21325.49129,4453.161395,20357.61714,5736.89852,7835.993268,9211.164135,22510.89312
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGD,0,115.8613916,57.99531971,140.1305084,176.0388575,122.2207436,169.7735305,39.17545464,62.94559408,75.59893333,54.98760911,172.3084743,155.3464039,44.6250014,252.0243547,87.99629391,29.21172098,62.76769165,54.89665884
BLZ,0,3.481400153,1.347204154,9.713028379,1.550491949,2.836867187,3.114673044,0,8.788701971,0,3.398526962,0,12.5649907,1.7485189,0,0,4.614420032,0,1.668152551
BIH,0,34.70683263,73.3884128,57.978822,24.50446464,145.8317923,16.70855693,43.10985425,102.8692045,18.53722685,50.99868122,15.0429624,41.02386772,31.73005078,23.93619029,4.457477319,36.3713071,164.3899302,12.01834878
BOL,0,2.394714124,66.74559083,59.13168484,153.386485,21.02404306,34.72841908,28.26158883,19.29257244,188.1929792,145.9880574,42.15035963,135.4609686,67.42187694,13.90893403,261.9319367,141.4985556,35.71678736,2.478611828
