Source_Category,HFC-23,HFC-32,HFC-41,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-152a,HFC-143,HFC-143a,HFC-227ea,HFC-236fa,HFC-245ca,Unspecified mix of listed HFCs (1),Total HFCs,CF4,C2F6,C 3F8,C4F10,c-C4F8,C5F12,C6F14,Unspecified mix of listed PFCs (1),Total PFCs,SF6
Total Actual Emissions of Halocarbons (by chemical) and SF6,1433.76,962.52,,,7065.42,,56943.24,,,5822.49,,163.23,,5702.36,,555.79,255.83,4.26,,12.79,,,,,704.37
C.   Metal Production ,,,,,,,,,,,,,,,,390.99,45.1,,,,,,,,111.28
Aluminium Production,,,,,,,,,,,,,,,,390.99,45.1,,,,,,,,
SF6 Used in Aluminium Foundries,,,,,,,,,,,,,,,,,,,,,,,,,
SF6 Used in Magnesium Foundries,,,,,,,,,,,,,,,,,,,,,,,,,111.28
E.   Production of Halocarbons and SF6,1413.26,,,,,,,,,,,,,,,,,,,,,,,,
1. By-product Emissions,1413.26,,,,,,,,,,,,,,,,,,,,,,,,
Production of HCFC-22,1413.26,,,,,,,,,,,,,,,,,,,,,,,,
Other ,,,,,,,,,,,,,,,,,,,,,,,,,
2. Fugitive Emissions,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Other (as specified in table 2(II).C,E)",,,,,,,,,,,,,,,,,,,,,,,,,
F(a).  Consumption of Halocarbons and SF6 (actual emissions - Tier 2),20.5,962.52,,,7065.42,,56943.24,,,5822.49,,163.23,,5702.36,,164.79,210.73,4.26,,12.79,,,,,593.09
1.  Refrigeration and Air Conditioning Equipment,,962.52,,,7059.08,,49553.3,,,5822.49,,137.67,,,,,,,,,,,,,
2.  Foam Blowing,,,,,,,,,,,,,,,,,,,,,,,,,
3.  Fire Extinguishers,2.93,,,,6.34,,,,,,,25.56,,,,1.7,,,,,,,,,
4.  Aerosols/Metered Dose Inhalers,,,,,,,7200.07,,,,,,,,,,,,,,,,,,
5.  Solvents,,,,,,,,,,,,,,,,,,,,,,,,,
6.  Other applications using ODS(3) substitutes,,,,,,,,,,,,,,,,,,,,,,,,,
7.  Semiconductor Manufacture,17.56,,,,,,,,,,,,,,,163.09,210.73,4.26,,12.79,,,,,39.94
8.  Electrical Equipment,,,,,,,,,,,,,,,,,,,,,,,,,553.15
9.  Other (as specified in table 2(II)F),,,,,,,189.86,,,,,,,5702.36,,,,,,,,,,,
Foam manufacturing,,,,,,,189.86,,,,,,,,,,,,,,,,,,
Other non-specified,,,,,,,,,,,,,,5702.36,,,,,,,,,,,
G.   Other (please specify),,,,,,,,,,,,,,,,,,,,,,,,,
Other non-specified,,,,,,,,,,,,,,,,,,,,,,,,,
Storage and Transport,,,,,,,,,,,,,,,,,,,,,,,,,
Other Industrial Processes,,,,,,,,,,,,,,,,,,,,,,,,,
