IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.19E-03,5.79E-03,1.73E-02,3.89E-02,6.77E-02,1.05E-01,1.60E-01,2.33E-01,3.21E-01,4.20E-01,5.19E-01,6.06E-01,7.05E-01,8.02E-01,9.12E-01,1.01E+00,1.11E+00
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.88E-02,9.13E-02,2.71E-01,6.06E-01,1.07E+00,1.66E+00,2.53E+00,3.64E+00,4.96E+00,6.46E+00,7.92E+00,9.25E+00,1.08E+01,1.22E+01,1.39E+01,1.54E+01,1.70E+01
Non-Annex_I,Mexico,MEX,Mexico,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,9.75E-05,4.61E-04,1.38E-03,2.64E-03,5.19E-03,8.94E-03,1.45E-02,2.17E-02,3.53E-02,4.70E-02,5.95E-02,7.19E-02,8.98E-02,1.08E-01,1.20E-01,1.35E-01,1.50E-01
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,3.94E-07,2.05E-06,6.56E-06,1.36E-05,2.62E-05,4.29E-05,6.85E-05,1.02E-04,1.42E-04,1.84E-04,2.29E-04,2.79E-04,3.45E-04,4.14E-04,4.62E-04,5.18E-04,5.75E-04
Non-Annex_I,Rest Central America,CRI,Costa Rica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.92E-06,1.50E-05,4.50E-05,1.02E-04,1.92E-04,3.31E-04,5.76E-04,9.29E-04,1.45E-03,1.90E-03,2.40E-03,3.04E-03,3.66E-03,4.44E-03,4.97E-03,5.59E-03,6.21E-03
Non-Annex_I,Rest Central America,CUB,Cuba,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,9.20E-06,3.16E-05,9.00E-05,2.02E-04,3.89E-04,5.96E-04,8.79E-04,1.34E-03,1.94E-03,3.09E-03,4.38E-03,5.87E-03,7.43E-03,9.10E-03,1.04E-02,1.19E-02,1.34E-02
Non-Annex_I,Rest Central America,GTM,Guatemala,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.69E-05,1.32E-04,3.94E-04,9.16E-04,1.65E-03,2.65E-03,4.24E-03,6.24E-03,9.08E-03,1.31E-02,1.75E-02,2.21E-02,2.78E-02,3.45E-02,3.87E-02,4.39E-02,4.90E-02
Non-Annex_I,Rest Central America,JAM,Jamaica,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,3.89E-06,2.12E-05,6.06E-05,1.36E-04,2.35E-04,3.48E-04,5.15E-04,7.31E-04,1.03E-03,1.46E-03,1.93E-03,2.47E-03,3.01E-03,3.63E-03,4.13E-03,4.66E-03,5.20E-03
Non-Annex_I,Rest Central America,KNA,Saint Kitts and Nevis,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,9.38E-08,4.93E-07,1.54E-06,3.57E-06,7.44E-06,1.32E-05,2.09E-05,3.29E-05,5.27E-05,7.83E-05,1.06E-04,1.36E-04,1.91E-04,2.57E-04,2.79E-04,3.19E-04,3.60E-04
Non-Annex_I,Rest Central America,SLV,El Salvador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,6.03E-08,3.26E-07,1.05E-06,2.57E-06,1.03E-04,2.89E-04,6.04E-04,1.06E-03,2.39E-03,3.08E-03,3.75E-03,4.33E-03,4.89E-03,5.51E-03,6.27E-03,6.93E-03,7.59E-03
Non-Annex_I,Rest Central America,VCT,Saint Vincent and the Grenadines,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.94E-08,1.37E-07,3.63E-07,7.93E-07,2.77E-06,6.04E-06,1.18E-05,1.95E-05,3.98E-05,5.28E-05,6.77E-05,8.25E-05,1.14E-04,1.36E-04,1.52E-04,1.72E-04,1.92E-04
Non-Annex_I,Brazil,BRA,Brazil,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.56E-06,7.73E-06,2.37E-05,5.40E-05,4.82E-04,1.21E-03,2.29E-03,3.74E-03,8.50E-03,2.19E-02,4.05E-02,6.17E-02,9.42E-02,1.29E-01,1.44E-01,1.68E-01,1.92E-01
Non-Annex_I,Rest South America,ECU,Ecuador,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,5.18E-06,2.36E-05,7.09E-05,1.54E-04,2.74E-04,4.37E-04,6.58E-04,7.88E-04,1.13E-03,1.64E-03,2.18E-03,2.71E-03,3.63E-03,4.49E-03,5.01E-03,5.69E-03,6.38E-03
Non-Annex_I,Rest South America,PER,Peru,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.86E-05,9.25E-05,3.22E-04,7.95E-04,1.38E-03,2.25E-03,3.18E-03,4.36E-03,5.94E-03,8.01E-03,1.11E-02,1.41E-02,1.83E-02,2.36E-02,2.61E-02,2.97E-02,3.33E-02
Non-Annex_I,Rest South America,URY,Uruguay,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.84E-06,1.38E-05,4.41E-05,9.29E-05,2.18E-04,4.09E-04,7.13E-04,1.01E-03,1.69E-03,2.06E-03,2.05E-03,2.46E-03,3.40E-03,4.23E-03,4.44E-03,4.95E-03,5.47E-03
Non-Annex_I,Rest South America,VEN,Venezuela,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,2.50E-05,1.14E-04,3.03E-04,6.85E-04,1.23E-03,2.11E-03,3.16E-03,3.95E-03,6.20E-03,9.22E-03,1.01E-02,1.07E-02,1.75E-02,2.42E-02,2.47E-02,2.81E-02,3.15E-02
Non-Annex_I,Northern_Africa,DZA,Algeria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,1.49E-05,6.43E-05,1.73E-04,3.87E-04,7.02E-04,1.05E-03,1.65E-03,2.37E-03,3.33E-03,4.48E-03,5.87E-03,7.60E-03,9.49E-03,1.16E-02,1.31E-02,1.48E-02,1.65E-02
