IPCC-Annex,World Region,ISO_A3,Name,IPCC,IPCC_description,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Annex_I,Canada,CAN,Canada,2E,Production of halocarbons and SF6,3.29E-02,3.51E-02,3.63E-02,4.21E-02,4.66E-02,4.14E-02,4.94E-02,5.44E-02,5.90E-02,6.13E-02,6.46E-02,6.60E-02,6.15E-02,7.06E-02,7.36E-02,7.29E-02,7.71E-02,7.95E-02,9.16E-02,9.68E-02,3.55E-02,4.26E-02,3.81E-02,1.68E-02,3.03E-02,2.33E-02,2.56E-02,2.63E-02,2.28E-02,3.14E-02,3.15E-02,4.26E-02,2.09E-02,2.95E-02,3.59E-02,3.66E-02,3.18E-02,3.33E-02,2.33E-02
Annex_I,Canada,CAN,Canada,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,6.96E-06,1.39E-05,2.78E-05,5.56E-05,8.50E-05,2.77E-03,4.01E-04,5.06E-04,5.80E-04,6.36E-04,6.99E-04,7.15E-04,7.35E-04,6.62E-04,7.43E-04,7.64E-04,7.84E-04
Annex_I,USA,USA,United States,2E,Production of halocarbons and SF6,8.77E-01,9.37E-01,9.67E-01,1.12E+00,1.24E+00,1.10E+00,1.32E+00,1.45E+00,1.57E+00,1.64E+00,1.72E+00,1.76E+00,1.64E+00,1.88E+00,1.96E+00,1.95E+00,2.06E+00,2.12E+00,2.44E+00,2.58E+00,2.46E+00,2.36E+00,2.25E+00,2.12E+00,2.35E+00,2.12E+00,2.02E+00,1.87E+00,2.05E+00,1.89E+00,1.84E+00,1.28E+00,1.26E+00,7.40E-01,8.31E-01,8.38E-01,8.25E-01,8.67E-01,6.73E-01
Annex_I,USA,USA,United States,2F7,Semiconductor/Electronics Manufacture,,1.60E-04,3.20E-04,8.00E-04,1.20E-03,1.53E-03,2.14E-03,2.29E-03,3.05E-03,4.12E-03,5.04E-03,5.19E-03,5.45E-03,6.90E-03,1.01E-02,8.37E-03,1.04E-02,1.28E-02,1.78E-02,1.91E-02,1.94E-02,1.94E-02,1.94E-02,2.43E-02,2.67E-02,3.39E-02,3.77E-02,3.98E-02,4.87E-02,4.95E-02,3.05E-02,2.07E-02,1.99E-02,2.18E-02,2.32E-02,2.37E-02,2.08E-02,2.01E-02,1.94E-02
Annex_I,USA,USA,United States,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.46E-02,1.46E-02,1.46E-02,1.82E-02,2.00E-02,2.55E-02,2.84E-02,3.00E-02,3.68E-02,3.75E-02,2.34E-02,1.61E-02,1.57E-02,1.72E-02,1.84E-02,1.89E-02,1.69E-02,1.65E-02,1.61E-02
Non-Annex_I,Mexico,MEX,Mexico,2E,Production of halocarbons and SF6,3.60E-02,3.95E-02,4.18E-02,4.99E-02,5.69E-02,5.20E-02,6.39E-02,7.26E-02,8.13E-02,8.74E-02,9.53E-02,1.00E-01,9.66E-02,1.15E-01,1.24E-01,1.27E-01,1.39E-01,1.49E-01,1.79E-01,1.97E-01,1.36E-01,1.58E-01,1.02E-01,1.56E-01,1.25E-01,1.16E-01,2.92E-01,2.99E-01,2.35E-01,3.24E-01,2.34E-01,1.74E-01,2.68E-01,2.77E-01,2.77E-01,4.76E-01,6.78E-01,5.85E-01,5.80E-01
Non-Annex_I,Brazil,BRA,Brazil,2E,Production of halocarbons and SF6,3.18E-02,3.48E-02,3.69E-02,4.41E-02,5.02E-02,4.59E-02,5.64E-02,6.41E-02,7.18E-02,7.71E-02,8.41E-02,8.86E-02,8.53E-02,1.01E-01,1.09E-01,1.12E-01,1.23E-01,1.32E-01,1.58E-01,1.74E-01,1.65E-01,1.91E-01,2.17E-01,2.32E-01,2.29E-01,2.07E-01,1.21E-01,1.29E-01,1.32E-01,1.76E-02,,,,,,,,,
Non-Annex_I,Rest South America,ARG,Argentina,2E,Production of halocarbons and SF6,4.61E-03,5.05E-03,5.36E-03,6.40E-03,7.29E-03,6.66E-03,8.19E-03,9.30E-03,1.04E-02,1.12E-02,1.22E-02,1.29E-02,1.24E-02,1.47E-02,1.58E-02,1.62E-02,1.78E-02,1.91E-02,2.29E-02,2.52E-02,1.76E-02,1.36E-02,9.61E-03,8.65E-03,1.01E-02,4.80E-03,4.80E-03,4.80E-03,4.80E-03,4.80E-03,5.38E-03,5.19E-03,9.61E-03,1.92E-02,2.98E-02,1.86E-02,1.08E-02,4.32E-02,2.91E-02
Non-Annex_I,Rest South America,VEN,Venezuela,2E,Production of halocarbons and SF6,1.39E-02,1.52E-02,1.61E-02,1.92E-02,2.19E-02,2.00E-02,2.46E-02,2.80E-02,3.13E-02,3.37E-02,3.67E-02,3.87E-02,3.72E-02,4.41E-02,4.76E-02,4.89E-02,5.36E-02,5.74E-02,6.88E-02,7.58E-02,8.46E-02,1.01E-01,1.11E-01,1.11E-01,8.30E-02,8.60E-02,8.47E-02,8.77E-02,6.55E-02,2.47E-02,3.09E-02,4.19E-02,2.67E-02,2.41E-02,5.39E-02,3.45E-02,5.44E-02,6.30E-02,7.54E-02
Annex_I,OECD_Europe,AUT,Austria,2F7,Semiconductor/Electronics Manufacture,,2.40E-05,4.40E-05,1.08E-04,1.60E-04,2.04E-04,2.84E-04,3.04E-04,4.04E-04,5.44E-04,6.64E-04,6.84E-04,7.20E-04,9.12E-04,1.33E-03,1.11E-03,1.37E-03,1.70E-03,2.36E-03,2.53E-03,2.57E-03,4.10E-03,5.93E-03,7.75E-03,9.57E-03,1.14E-02,1.30E-02,1.26E-02,3.95E-03,4.31E-03,5.04E-03,5.04E-03,5.57E-03,5.18E-03,5.41E-03,5.30E-03,5.46E-03,5.52E-03,5.58E-03
Annex_I,OECD_Europe,AUT,Austria,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,1.25E-05,2.50E-05,5.00E-05,1.00E-04,2.45E-04,3.83E-04,5.64E-04,7.35E-04,9.49E-04,1.15E-03,1.34E-03,1.53E-03,1.72E-03,1.90E-03,1.90E-03,1.90E-03,2.12E-03,2.24E-03,2.36E-03
Annex_I,OECD_Europe,CHE,Switzerland,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13E-07,1.78E-05,1.53E-04,1.57E-04,1.95E-04,2.57E-04,2.55E-04,2.79E-04,3.01E-04,3.38E-04,3.65E-04,3.93E-04
Annex_I,OECD_Europe,DEU,Germany,2E,Production of halocarbons and SF6,6.83E-02,7.30E-02,7.54E-02,8.75E-02,9.69E-02,8.60E-02,1.03E-01,1.13E-01,1.23E-01,1.27E-01,1.34E-01,1.37E-01,1.28E-01,1.47E-01,1.53E-01,1.52E-01,1.60E-01,1.65E-01,1.90E-01,2.01E-01,2.12E-01,2.20E-01,2.28E-01,1.84E-01,2.34E-01,2.46E-01,3.05E-01,3.09E-01,2.62E-01,2.03E-01,2.89E-01,7.19E-02,7.09E-02,1.68E-02,1.89E-02,2.81E-02,2.69E-02,2.13E-02,7.08E-02
Annex_I,OECD_Europe,DEU,Germany,2F7,Semiconductor/Electronics Manufacture,,4.00E-05,7.60E-05,1.88E-04,2.80E-04,3.56E-04,5.00E-04,5.36E-04,7.12E-04,9.60E-04,1.17E-03,1.21E-03,1.27E-03,1.61E-03,2.35E-03,1.95E-03,2.42E-03,3.00E-03,4.16E-03,4.46E-03,4.53E-03,3.87E-03,3.20E-03,2.53E-03,1.87E-03,1.41E-03,1.67E-03,1.77E-03,1.34E-03,1.40E-03,1.92E-03,1.63E-03,1.25E-03,1.78E-03,1.96E-03,1.80E-03,1.81E-03,1.84E-03,1.87E-03
Annex_I,OECD_Europe,DEU,Germany,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,3.40E-03,2.90E-03,2.40E-03,2.03E-03,1.83E-03,1.86E-03,2.51E-03,3.14E-03,3.51E-03,4.64E-03,6.41E-03,7.57E-03,8.70E-03,1.07E-02,1.19E-02,1.28E-02,1.43E-02,1.57E-02,1.70E-02
Annex_I,OECD_Europe,DNK,Denmark,2F9,Other F-gas use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-05,2.00E-05,4.00E-05,3.87E-05,4.64E-05,5.41E-05
