INPUT_TABLE,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,
2000,,,,,,,,,,,,,
,,,,,efficiency,,,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1975,1990,2005,2020,2035,2050,2065,2080,2095
ALL,building,biomass,biomass,delivered biomass,1,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.44
ALL,building,gas,gas,delivered gas,1,0.72,0.81,0.87,0.92,0.94,0.99,1.04,1.08
ALL,building,refined liquids,refined liquids,refined liquids enduse,1,0.82,0.86,0.92,0.97,1.00,1.05,1.10,1.14
ALL,building,electricity,electricity,elect_td_bld,1,0.93,1.10,1.30,1.52,1.65,1.83,2.03,2.26
ALL,building,coal,coal,delivered coal,1,0.4,0.4,0.41,0.41,0.42,0.42,0.43,0.44
