"Buildings, industrial energy use, and industrial feedstocks",,,,,,,,,,,,,,,
Transportation is calibrated in the transportation workbook (no need to be redundant),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Buildings sector final energy use,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
,,,,,calibrated-value,,subsector sharewt,,tech sharewt,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1990,2005,1990,2005,,,,,region ID
USA,building,biomass,biomass,delivered biomass,0.566783863,0.503839512,1,1,1,1,,,,,1
USA,building,coal,coal,delivered coal,0.399701236,0.079687364,1,1,1,1,,,,,1
USA,building,electricity,electricity,elect_td_bld,6.341281892,9.979454213,1,1,1,1,,,,,1
USA,building,gas,gas,delivered gas,6.858325904,7.678628881,1,1,1,1,,,,,1
USA,building,refined liquids,refined liquids,refined liquids enduse,2.018410225,1.924470994,1,1,1,1,,,,,1
Canada,building,biomass,biomass,delivered biomass,0.067281876,0.08542328,1,1,1,1,,,,,2
Canada,building,coal,coal,delivered coal,0.002152015,0.001042513,1,1,1,1,,,,,2
Canada,building,electricity,electricity,elect_td_bld,0.859898694,1.074519679,1,1,1,1,,,,,2
Canada,building,gas,gas,delivered gas,0.823761274,1.036019473,1,1,1,1,,,,,2
Canada,building,refined liquids,refined liquids,refined liquids enduse,0.37085837,0.465015316,1,1,1,1,,,,,2
Western Europe,building,biomass,biomass,delivered biomass,1.232755097,1.324916676,1,1,1,1,,,,,3
Western Europe,building,coal,coal,delivered coal,1.225596029,0.242991772,1,1,1,1,,,,,3
Western Europe,building,electricity,electricity,elect_td_bld,3.679380916,5.321941707,1,1,1,1,,,,,3
Western Europe,building,gas,gas,delivered gas,4.127747513,6.711080546,1,1,1,1,,,,,3
Western Europe,building,refined liquids,refined liquids,refined liquids enduse,3.977625369,3.455030936,1,1,1,1,,,,,3
Japan,building,biomass,biomass,delivered biomass,0.004333338,0.001201612,1,1,1,1,,,,,4
Japan,building,coal,coal,delivered coal,0.041386518,0.027490529,1,1,1,1,,,,,4
Japan,building,electricity,electricity,elect_td_bld,1.41851667,2.224051012,1,1,1,1,,,,,4
Japan,building,gas,gas,delivered gas,0.477973462,0.960728249,1,1,1,1,,,,,4
Japan,building,refined liquids,refined liquids,refined liquids enduse,1.510170386,1.623050701,1,1,1,1,,,,,4
Australia_NZ,building,biomass,biomass,delivered biomass,0.07673567,0.066963679,1,1,1,1,,,,,5
Australia_NZ,building,coal,coal,delivered coal,0.010667966,0.00846571,1,1,1,1,,,,,5
Australia_NZ,building,electricity,electricity,elect_td_bld,0.294188249,0.470586045,1,1,1,1,,,,,5
Australia_NZ,building,gas,gas,delivered gas,0.119943446,0.176963476,1,1,1,1,,,,,5
Australia_NZ,building,refined liquids,refined liquids,refined liquids enduse,0.033833531,0.046707941,1,1,1,1,,,,,5
Former Soviet Union,building,biomass,biomass,delivered biomass,0.545102088,0.28344613,1,1,1,1,,,,,6
Former Soviet Union,building,coal,coal,delivered coal,3.705370744,0.654843197,1,1,1,1,,,,,6
Former Soviet Union,building,electricity,electricity,elect_td_bld,0.912587409,1.250618282,1,1,1,1,,,,,6
Former Soviet Union,building,gas,gas,delivered gas,8.656331438,5.937285856,1,1,1,1,,,,,6
Former Soviet Union,building,refined liquids,refined liquids,refined liquids enduse,3.318419675,1.119700344,1,1,1,1,,,,,6
China,building,biomass,biomass,delivered biomass,0.040461235,0.06910382,1,1,1,1,,,,,7
China,building,coal,coal,delivered coal,4.359033397,3.254916933,1,1,1,1,,,,,7
China,building,electricity,electricity,elect_td_bld,0.373727178,2.046115993,1,1,1,1,,,,,7
China,building,gas,gas,delivered gas,0.126941856,0.776984957,1,1,1,1,,,,,7
China,building,refined liquids,refined liquids,refined liquids enduse,0.348756992,1.798845397,1,1,1,1,,,,,7
China,building,trad biomass,trad biomass,traditional biomass,9.183109406,10.26255856,1,1,1,1,,,,,7
Middle East,building,biomass,biomass,delivered biomass,0.028872173,0.03034174,1,1,1,1,,,,,8
Middle East,building,coal,coal,delivered coal,0,0.000770371,0,1,0,1,,,,,8
Middle East,building,electricity,electricity,elect_td_bld,0.54841063,1.35940952,1,1,1,1,,,,,8
Middle East,building,gas,gas,delivered gas,0.143586306,1.287549857,1,1,1,1,,,,,8
Middle East,building,refined liquids,refined liquids,refined liquids enduse,0.80020215,1.164951979,1,1,1,1,,,,,8
Africa,building,biomass,biomass,delivered biomass,0.049571712,1.438107185,1,1,1,1,,,,,9
Africa,building,coal,coal,delivered coal,0.116912203,0.215871408,1,1,1,1,,,,,9
Africa,building,electricity,electricity,elect_td_bld,0.360142532,0.813262576,1,1,1,1,,,,,9
Africa,building,gas,gas,delivered gas,0.054813586,0.195360275,1,1,1,1,,,,,9
Africa,building,refined liquids,refined liquids,refined liquids enduse,0.606478914,0.938931768,1,1,1,1,,,,,9
Africa,building,trad biomass,trad biomass,traditional biomass,7.825627429,8.020598332,1,1,1,1,,,,,9
Latin America,building,biomass,biomass,delivered biomass,0.083040991,0.101923459,1,1,1,1,,,,,10
Latin America,building,coal,coal,delivered coal,0.006229958,0.002754914,1,1,1,1,,,,,10
Latin America,building,electricity,electricity,elect_td_bld,0.828563883,1.529461519,1,1,1,1,,,,,10
Latin America,building,gas,gas,delivered gas,0.300306604,0.536324893,1,1,1,1,,,,,10
Latin America,building,refined liquids,refined liquids,refined liquids enduse,1.092704558,1.178065037,1,1,1,1,,,,,10
Latin America,building,trad biomass,trad biomass,traditional biomass,1.338092906,1.328894507,1,1,1,1,,,,,10
Southeast Asia,building,biomass,biomass,delivered biomass,0.354559158,0.297082768,1,1,1,1,,,,,11
Southeast Asia,building,coal,coal,delivered coal,0.005162324,0.002880518,1,1,1,1,,,,,11
Southeast Asia,building,electricity,electricity,elect_td_bld,0.484926813,1.483985691,1,1,1,1,,,,,11
Southeast Asia,building,gas,gas,delivered gas,0.134634928,0.369296694,1,1,1,1,,,,,11
Southeast Asia,building,refined liquids,refined liquids,refined liquids enduse,0.655761737,0.931140133,1,1,1,1,,,,,11
Southeast Asia,building,trad biomass,trad biomass,traditional biomass,3.511439852,4.446168073,1,1,1,1,,,,,11
Eastern Europe,building,biomass,biomass,delivered biomass,0.179138792,0.402112616,1,1,1,1,,,,,12
Eastern Europe,building,coal,coal,delivered coal,1.233865681,0.423807856,1,1,1,1,,,,,12
Eastern Europe,building,electricity,electricity,elect_td_bld,0.44722618,0.73084208,1,1,1,1,,,,,12
Eastern Europe,building,gas,gas,delivered gas,0.660240787,1.007821072,1,1,1,1,,,,,12
Eastern Europe,building,refined liquids,refined liquids,refined liquids enduse,0.315006061,0.24323057,1,1,1,1,,,,,12
Korea,building,biomass,biomass,delivered biomass,0.018350744,0.015341944,1,1,1,1,,,,,13
Korea,building,coal,coal,delivered coal,0.36278622,0.039921138,1,1,1,1,,,,,13
Korea,building,electricity,electricity,elect_td_bld,0.122842751,0.590550398,1,1,1,1,,,,,13
Korea,building,gas,gas,delivered gas,0.025372008,0.482928816,1,1,1,1,,,,,13
Korea,building,refined liquids,refined liquids,refined liquids enduse,0.418998197,0.441930442,1,1,1,1,,,,,13
India,building,biomass,biomass,delivered biomass,0,0.251182879,0,1,0,1,,,,,14
India,building,coal,coal,delivered coal,0.446844604,0.345197473,1,1,1,1,,,,,14
India,building,electricity,electricity,elect_td_bld,0.184955182,0.580318005,1,1,1,1,,,,,14
India,building,gas,gas,delivered gas,0.001733335,0.026531752,1,1,1,1,,,,,14
India,building,refined liquids,refined liquids,refined liquids enduse,0.459735761,0.895058291,1,1,1,1,,,,,14
India,building,trad biomass,trad biomass,traditional biomass,5.587644665,5.176299938,1,1,1,1,,,,,14
,,,,,,,,,,,,,,,
Industrial energy use - no cogen,,,,,,,,,,,,,,,
"This includes ""residual"" energy consumption from throughout the energy system",,,,,,,,,,,,,,,
See documentation files for all components that are captured in these estimates,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
,,,,,calibrated-value,,subsector sharewt,,tech sharewt,,,,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1990,2005,1990,2005,,,,,region ID
USA,industrial energy use,biomass,biomass,delivered biomass,0.501808043,0.989437712,1,1,1,1,,,,,1
USA,industrial energy use,coal,coal,delivered coal,2.15990975,1.37625773,1,1,1,1,,,,,1
USA,industrial energy use,electricity,electricity,elect_td_ind,3.28812532,3.468895,1,1,1,1,,,,,1
USA,industrial energy use,gas,gas,wholesale gas,5.483855682,5.293502646,1,1,1,1,,,,,1
USA,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.575959383,2.158706268,1,1,1,1,,,,,1
Canada,industrial energy use,biomass,biomass,delivered biomass,0.238166118,0.348706012,1,1,1,1,,,,,2
Canada,industrial energy use,coal,coal,delivered coal,0.132604998,0.15091552,1,1,1,1,,,,,2
Canada,industrial energy use,electricity,electricity,elect_td_ind,0.680721419,0.926603558,1,1,1,1,,,,,2
Canada,industrial energy use,gas,gas,wholesale gas,1.09381406,1.425366752,1,1,1,1,,,,,2
Canada,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.390414913,0.394203967,1,1,1,1,,,,,2
Western Europe,industrial energy use,biomass,biomass,delivered biomass,0.590479497,0.537060845,1,1,1,1,,,,,3
Western Europe,industrial energy use,coal,coal,delivered coal,3.229563696,2.103048482,1,1,1,1,,,,,3
Western Europe,industrial energy use,electricity,electricity,elect_td_ind,3.598469501,4.403118563,1,1,1,1,,,,,3
Western Europe,industrial energy use,gas,gas,wholesale gas,3.337072743,4.160248468,1,1,1,1,,,,,3
Western Europe,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.958576786,2.835705814,1,1,1,1,,,,,3
Japan,industrial energy use,biomass,biomass,delivered biomass,0.108145044,0.101630383,1,1,1,1,,,,,4
Japan,industrial energy use,coal,coal,delivered coal,1.81046097,1.718604675,1,1,1,1,,,,,4
Japan,industrial energy use,electricity,electricity,elect_td_ind,1.238788954,1.26947288,1,1,1,1,,,,,4
Japan,industrial energy use,gas,gas,wholesale gas,0.368610059,0.48190068,1,1,1,1,,,,,4
Japan,industrial energy use,refined liquids,refined liquids,refined liquids industrial,2.018188325,1.743404454,1,1,1,1,,,,,4
Australia_NZ,industrial energy use,biomass,biomass,delivered biomass,0.094319057,0.141745612,1,1,1,1,,,,,5
Australia_NZ,industrial energy use,coal,coal,delivered coal,0.249894855,0.206833731,1,1,1,1,,,,,5
Australia_NZ,industrial energy use,electricity,electricity,elect_td_ind,0.278749529,0.42643466,1,1,1,1,,,,,5
Australia_NZ,industrial energy use,gas,gas,wholesale gas,0.436789944,0.422920076,1,1,1,1,,,,,5
Australia_NZ,industrial energy use,refined liquids,refined liquids,refined liquids industrial,0.192601174,0.312109193,1,1,1,1,,,,,5
