"Base year electricity technology inputs, outputs, IO coefficients, and shareweights",,,,,,,,,,,,,,,,
Calibrate inputs to fossil/bio electric technologies,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,not read,,,
,,,,,calibrated-value,,efficiency,,subsector sharewt,,tech sharewt,,output,,,
region,supplysector,subsector,technology,minicam-energy-input,1990,2005,1990,2005,1990,2005,1990,2005,1990,2005,region ID,lookup
USA,electricity,biomass,Biomass (existing),regional biomass,0.393266124,0.497647235,0.201216416,0.222316517,1,1,1,1,0.0791316,0.1106352,1,1regional biomass
USA,electricity,coal,Coal (existing),regional coal,16.20149249,20.99668896,0.372116162,0.365795732,1,1,1,1,6.0288372,7.6804992,1,1regional coal
USA,electricity,gas,Gas (existing),wholesale gas,2.765544685,5.829683573,0.371084946,0.440761487,1,1,1,1,1.026252,2.5695,1,1wholesale gas
USA,electricity,oil,Oil (existing),refined liquids electricity,1.14121701,1.210558792,0.394972031,0.375800335,1,1,1,1,0.4507488,0.4549284,1,1refined liquids electricity
Canada,electricity,biomass,Biomass (existing),regional biomass,0.037111795,0.08007255,0.373272161,0.374240611,1,1,1,1,0.0138528,0.0299664,2,2regional biomass
Canada,electricity,coal,Coal (existing),regional coal,0.835915554,0.988139228,0.353981211,0.385939946,1,1,1,1,0.2958984,0.3813624,2,2regional coal
Canada,electricity,gas,Gas (existing),wholesale gas,0.078741148,0.345658021,0.443615582,0.388570181,1,1,1,1,0.0349308,0.1343124,2,2wholesale gas
Canada,electricity,oil,Oil (existing),refined liquids electricity,0.15898117,0.174978932,0.372904541,0.399997869,1,1,1,1,0.0592848,0.0699912,2,2refined liquids electricity
Western Europe,electricity,biomass,Biomass (existing),regional biomass,0.12686004,0.617389715,0.220040921,0.264051046,1,1,1,1,0.0279144,0.1630224,3,3regional biomass
Western Europe,electricity,coal,Coal (existing),regional coal,8.310714264,7.236812624,0.347387037,0.382527688,1,1,1,1,2.8870344,2.7682812,3,3regional coal
Western Europe,electricity,gas,Gas (existing),wholesale gas,1.393295864,4.570541154,0.379495851,0.481467014,1,1,1,1,0.52875,2.2005648,3,3wholesale gas
Western Europe,electricity,oil,Oil (existing),refined liquids electricity,1.68297637,1.024874212,0.379727257,0.382612808,1,1,1,1,0.639072,0.39213,3,3refined liquids electricity
Japan,electricity,biomass,Biomass (existing),regional biomass,0.095031986,0.155309346,0.403935574,0.452928313,1,1,1,1,0.0383868,0.070344,4,4regional biomass
Japan,electricity,coal,Coal (existing),regional coal,1.005807524,2.56578827,0.389869424,0.421020087,1,1,1,1,0.3921336,1.0802484,4,4regional coal
Japan,electricity,gas,Gas (existing),wholesale gas,1.460393521,1.91230834,0.429132553,0.453026106,1,1,1,1,0.6267024,0.8663256,4,4wholesale gas
Japan,electricity,oil,Oil (existing),refined liquids electricity,2.041479493,1.097385401,0.440415886,0.478917252,1,1,1,1,0.8991,0.5255568,4,4refined liquids electricity
Australia_NZ,electricity,biomass,Biomass (existing),regional biomass,0,0.005384225,1,0.112996768,0,1,0,1,0,0.0006084,5,5regional biomass
Australia_NZ,electricity,coal,Coal (existing),regional coal,1.210906296,2.103427386,0.355128387,0.353072326,1,1,1,1,0.4300272,0.742662,5,5regional coal
Australia_NZ,electricity,gas,Gas (existing),wholesale gas,0.197118731,0.356108274,0.40271972,0.345575795,1,1,1,1,0.0793836,0.1230624,5,5wholesale gas
Australia_NZ,electricity,oil,Oil (existing),refined liquids electricity,0.036617753,0.017739472,0.414290852,0.391668938,1,1,1,1,0.0151704,0.006948,5,5refined liquids electricity
Former Soviet Union,electricity,biomass,Biomass (existing),regional biomass,0.005200006,0.001276974,0.025615357,0.016914988,1,1,1,1,0.0001332,0.0000216,6,6regional biomass
Former Soviet Union,electricity,coal,Coal (existing),regional coal,5.367963269,3.596243486,0.237415186,0.262861289,1,1,1,1,1.274436,0.9453132,6,6regional coal
Former Soviet Union,electricity,gas,Gas (existing),wholesale gas,8.832297434,7.122207348,0.26810415,0.278946891,1,1,1,1,2.3679756,1.9867176,6,6wholesale gas
Former Soviet Union,electricity,oil,Oil (existing),refined liquids electricity,3.447733504,0.442105146,0.258976745,0.31682237,1,1,1,1,0.8928828,0.1400688,6,6refined liquids electricity
China,electricity,biomass,Biomass (existing),regional biomass,0,0.036048348,1,0.250064164,0,1,0,1,0,0.0090144,7,7regional biomass
