Outputs and IO coefficients for all refining technologies (inputs will be calculated by the model),,,,,,,,,,,,,,,,,,,,
"Changes tech attributes of the existing (2005) vintage only. This file is read in AFTER the ref liquids input file, so it over-writes whatever was set in that file.",,,,,,,,,,,,,,,,,,,,
"The output of refineries needs to be disaggregated to the different refining ""sectors""",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Assume that all biomass liquids are produced for enduse consumption. Tabulate biomass liquids outputs,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,
23,,,,CalDataOutput,,,,,,,,,,,,,,,,
,,,,calOutputValue,,subsector sharewt,,tech sharewt,,,,,,,,,,,,
region,supplysector,subsector,technology,1990,2005,1990,2005,1990,2005,,,,,,region ID,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0.007125934,0,1,0,1,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,1,0,0,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0.000456361,0,1,0,1,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,2.51208E-05,0,1,0,1,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,1,1,0,0,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,0,0,0,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0.001632852,0,1,0,1,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0,0,1,0,0,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-ethanol,0,0.004312404,0,1,0,1,,,,,,14,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,1,0,0,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0.104875153,0,1,0,1,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,1,0,0,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0.000217714,0,1,0,1,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-FT,0.225111676,0.12674281,1,1,1,1,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,0,0,0,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0.001105315,0,1,0,1,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0.000443801,0,1,0,1,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-FT,0,0,0,1,0,0,,,,,,14,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0.325515326,0,1,0,1,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0.023626112,0,1,0,1,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,0,0,0,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,0,0,0,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,0,0,0,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,0,0,0,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0.027465408,0.168062339,1,1,1,1,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,0,0,0,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-ethanol (conv),0,0,0,1,0,0,,,,,,14,,,,,
USA,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0.012401302,0,1,0,1,,,,,,1,,,,,
Canada,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,2,,,,,
Western Europe,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,3,,,,,
Japan,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,0,0,0,,,,,,4,,,,,
Australia_NZ,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,5,,,,,
Former Soviet Union,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,6,,,,,
China,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,0,0,0,,,,,,7,,,,,
Middle East,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,0,0,0,,,,,,8,,,,,
Africa,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,0,0,0,,,,,,9,,,,,
Latin America,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,1,1,0,0,,,,,,10,,,,,
Southeast Asia,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,0,0,0,,,,,,11,,,,,
Eastern Europe,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,12,,,,,
Korea,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,13,,,,,
India,refined liquids enduse,biomass liquids,biomass liquids-biodiesel (conv),0,0,0,1,0,0,,,,,,14,,,,,
,,,,,,,,,,,,,,,,,,,,
