Central Case(potential units: Ej, price units: $2007 /kWh)
region maxResource mid-price curve-exponent base_cost
1 2.133142 0.039745 4.569628 0.084000
2 18.338829 0.069636 3.536482 0.057700
4 3.519324 0.035565 2.276100 0.099300
5 2.697659 0.024669 2.825933 0.087400
6 5.247948 0.066781 3.024004 0.058400
8 4.350830 0.018672 2.168410 0.076900
9 0.117508 0.020393 2.413221 0.058900
10 0.102627 0.003900 0.988859 0.078200
11 0.000133 nan nan 0.113000
12 1.947663 0.073587 3.912349 0.068100
13 2.682967 0.012586 2.309999 0.109200
15 0.063481 0.041209 1.555354 0.090700
16 2.916774 0.035454 3.332757 0.097900
17 4.797552 0.022381 6.385100 0.068200
18 2.875249 0.014244 4.063657 0.080100
19 5.597551 0.004687 2.932831 0.078300
20 9.107443 0.005460 2.428037 0.074400
21 2.199534 0.005816 2.472147 0.099500
22 1.686164 0.054559 4.046113 0.063700
23 0.723219 0.026950 3.187683 0.063600
24 0.472123 0.020344 1.906103 0.070700
25 0.207187 0.019805 2.228154 0.058400
26 3.338878 0.020204 2.814435 0.058200
27 5.834680 0.022824 4.549940 0.057900
28 2.155524 0.026228 4.859410 0.097600
29 5.395404 0.008109 2.763293 0.084400
30 10.655218 0.023072 3.079691 0.071800
31 8.701496 0.006138 2.281420 0.072600
32 4.229856 0.032988 2.437621 0.105500
33 0.207304 0.018863 3.413099 0.068600
34 0.211019 0.020917 3.016222 0.078100
35 5.468071 0.025456 2.041536 0.073300
36 2.335501 0.013709 3.381429 0.067900
37 2.110889 0.045253 4.579638 0.074600
38 6.972243 0.004549 2.856284 0.075900
39 2.874893 0.018394 4.106877 0.076700
40 7.423615 0.010812 3.033486 0.072300
41 4.108006 0.057762 4.244022 0.064800
42 2.092167 0.016262 3.605313 0.076400
44 0.016565 0.005385 1.081601 0.076600
45 1.242667 0.023977 3.931401 0.102700
46 7.914671 0.008373 2.734424 0.072700
47 2.150819 0.007877 1.873774 0.101000
48 22.579180 0.024632 3.522502 0.067400
49 2.340026 0.049487 2.649950 0.102000
50 0.291006 0.014280 2.002082 0.079800
51 1.449786 0.043613 4.591162 0.073000
53 2.148674 0.075436 5.442119 0.059500
54 0.522611 0.014901 1.653921 0.088200
55 3.614632 0.022426 2.479009 0.058300
56 4.148326 0.018314 1.966960 0.074800

