This is for a hydrogen-only scenario,,,,,,,,,,,
Transportation technology shareweights,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
3000,,,,,,,,,,,
,,,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt
supplysector,tranSubsector,tranTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
passenger,auto,fuel cell auto,0,0,0,0.0067,0.0474,0.2689,0.731,0.953,1
passenger,light truck,fuel cell light truck,0,0,0,0.0067,0.0474,0.2689,0.731,0.953,1
freight,truck,fuel cell freight truck,0,0,0,0,0.0067,0.0474,0.2689,0.731,0.953
freight,rail,fuel cell freight rail,0,0,0,0,0.0067,0.0474,0.2689,0.731,0.953
freight,domestic ship,fuel cell domestic ship,0,0,0,0,0.1,0.5,1,1,1
freight,international ship,fuel cell international ship,0,0,0,0,0.1,0.5,1,1,1


Transportation technology intensity,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
3002,,,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,minicam-energy-input,,,,,,,,,,,
,,,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,coefficient,,,,,,,,,,,
supplysector,tranSubsector,tranTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095,minicam-energy-input,,,,,,,,,,
passenger,auto,fuel cell auto,2242,2242,1966,1628,1348,1116,924,765,634,H2 Enduse,,,,,,,,,,
passenger,light truck,fuel cell light truck,2815,2815,2781,2303,1907,1579,1307,1083,896,H2 Enduse,,,,,,,,,,
freight,truck,fuel cell freight truck,8483,8483,7605,6641,5798,5063,4421,3860,3371,H2 Enduse,,,,,,,,,,
freight,rail,fuel cell freight rail,6069,6069,5534,5330,5134,4944,4762,4587,4418,H2 Enduse,,,,,,,,,,
freight,domestic ship,fuel cell domestic ship,141541,141541,186267,179402,172791,166424,160291,154384,148695,H2 Enduse,,,,,,,,,,
freight,international ship,fuel cell international ship,1430469,1430469,1275157,1228166,1182907,1139316,1097331,1056894,1017946,H2 Enduse,,,,,,,,,,


Transportation technology non-energy costs,,,,,,,,,,,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,,,,,,,,,,,
3004,,,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input,minicam-non-energy-input
,,,input-cost,input-cost,input-cost,input-cost,input-cost,input-cost,input-cost,input-cost,input-cost
supplysector,tranSubsector,tranTechnology,1975,1990,2005,2020,2035,2050,2065,2080,2095
passenger,auto,fuel cell auto,0.4467,0.4467,0.4773,0.4428,0.4264,0.4151,0.4151,0.4151,0.4151
passenger,light truck,fuel cell light truck,0.5077,0.5077,0.5388,0.4998,0.4814,0.4685,0.4685,0.4685,0.4685
freight,truck,fuel cell freight truck,1.068,1.068,1.019,0.945,0.896,0.866,0.859,0.853,0.847
freight,rail,fuel cell freight rail,0.7501,0.7501,0.8089,0.7390,0.6855,0.6573,0.6475,0.6378,0.6283
freight,domestic ship,fuel cell domestic ship,5.334,5.334,4.138,3.838,3.697,3.598,3.598,3.598,3.598
freight,international ship,fuel cell international ship,112.86,112.86,97.67,90.60,87.26,84.93,84.93,84.93,84.93

INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
4000,,,,,,,,,,,
,,,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt,sharewt
supplysector,subsector,technology,1975,1990,2005,2020,2035,2050,2065,2080,2095
military,military,fuel cell,0,0,0,0,0.1,0.5,1,1,1
