SO2 History from MAGICC,
141,
 YEAR,SO4DIR
1850,0
1851,0
1852,0
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,-0.0000918
1861,-0.00154144
1862,-0.00299108
1863,-0.00444072
1864,-0.00589036
1865,-0.00734
1866,-0.008812
1867,-0.010284
1868,-0.011756
1869,-0.013228
1870,-0.0147
1871,-0.01616
1872,-0.01762
1873,-0.01908
1874,-0.02054
1875,-0.022
1876,-0.02348
1877,-0.02496
1878,-0.02644
1879,-0.02792
1880,-0.0294
1881,-0.03086
1882,-0.03232
1883,-0.03378
1884,-0.03524
1885,-0.0367
1886,-0.03818
1887,-0.03966
1888,-0.04114
1889,-0.04262
1890,-0.0441
1891,-0.04556
1892,-0.04702
1893,-0.04848
1894,-0.04994
1895,-0.0514
1896,-0.05286
1897,-0.05432
1898,-0.05578
1899,-0.05724
1900,-0.0587
1901,-0.06018
1902,-0.06166
1903,-0.06314
1904,-0.06462
1905,-0.0661
1906,-0.06756
1907,-0.06902
1908,-0.07048
1909,-0.07194
1910,-0.0734
1911,-0.07488
1912,-0.07636
1913,-0.07784
1914,-0.07932
1915,-0.0808
1916,-0.08226
1917,-0.08372
1918,-0.08518
1919,-0.08664
1920,-0.0881
1921,-0.08956
1922,-0.09102
1923,-0.09248
1924,-0.09394
1925,-0.0954
1926,-0.09692
1927,-0.09844
1928,-0.09996
1929,-0.10148
1930,-0.103
1931,-0.1044
1932,-0.1058
1933,-0.1072
1934,-0.1086
1935,-0.11
1936,-0.1114
1937,-0.1128
1938,-0.1142
1939,-0.1156
1940,-0.117
1941,-0.1186
1942,-0.1202
1943,-0.1218
1944,-0.1234
1945,-0.125
1946,-0.1266
1947,-0.1282
1948,-0.1298
1949,-0.1314
1950,-0.133
1951,-0.1396
1952,-0.1462
1953,-0.1528
1954,-0.1594
1955,-0.166
1956,-0.177
1957,-0.188
1958,-0.199
1959,-0.21
1960,-0.221
1961,-0.2334
1962,-0.2458
1963,-0.2582
1964,-0.2706
1965,-0.283
1966,-0.2964
1967,-0.3098
1968,-0.3232
1969,-0.3366
1970,-0.35
1971,-0.3564
1972,-0.3628
1973,-0.3692
1974,-0.3756
1975,-0.382
1976,-0.3832
1977,-0.3844
1978,-0.3856
1979,-0.3868
1980,-0.388
1981,-0.3892
1982,-0.3904
1983,-0.3916
1984,-0.3928
1985,-0.394
1986,-0.395
1987,-0.396
1988,-0.397
1989,-0.398
1990,-0.399
