# File: xanthos_basin_runoff.csv
# Title: Maximum runoff by basin
# Source: /pic/projects/GCAM/gcam_hydrology/runs/xanthos/pm_abcd_mrtm/pm_abcd_mrtm_watch+wfdei_1970_2010
# Comments: computed with Xanthos forced Watch Forcing Data Era Iterim (WFDEI) 1970 - 2010 annual
# Units: km^3/yr
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
id,name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,Arctic Ocean Islands,185.079277163,212.275968643,278.927112586,376.194919592,290.864691144,314.78205518,428.580231996,457.908220555,618.58452752,564.505586722,446.843584175,339.569753835,299.691092934,524.867641531,438.740111676,353.230133317,359.837024843,399.923421607,323.330967129,505.354206706,552.905344094,337.69761542,538.404264665,414.557009561,417.202408707,293.567008408,361.856286099,520.494333161,430.159861226,393.049372211,445.394516097,390.765089613,1358.55602447,705.923952497,714.016927281,490.106270546,691.28540992,515.277106089,489.324474115,520.973015465,177.804898726
2,Northwest Territories,411.921143196,446.619718716,559.120943464,487.925256791,530.202649027,496.388686193,583.841133695,522.765761176,536.726411126,593.081643377,591.128532024,541.039841096,578.256345609,599.807327189,575.68247611,547.456900016,636.703839093,624.538664197,607.669281127,594.963132943,625.654945285,602.154996717,655.943623343,628.961720178,615.883598586,686.185427006,675.154773008,731.477798715,652.184156852,687.18844925,686.082255799,689.461754043,793.122420259,705.273866892,674.743766592,778.254045897,852.515368038,697.164451185,742.544128742,704.043514659,494.916569237
3,Siberia North Coast,154.85868095,227.3430368,219.716100858,245.9078165,237.01971755,216.513140476,224.77973199,218.615125294,195.764700574,159.079283718,210.87174109,217.215943287,218.440504632,212.459341675,192.271568143,215.265674595,240.792909536,209.892251487,237.213473272,283.859121801,243.254742626,219.127336602,207.89270543,248.646809422,222.577801819,238.046683489,239.688079339,202.447128184,203.96365512,225.168088843,209.436464766,179.861367005,237.046151157,232.723523677,232.359182084,238.842625177,214.676403762,272.726633857,274.890493057,253.007081071,59.5959391188
4,Siberia West Coast,561.850743559,713.447576781,787.945677718,769.356524478,780.836565533,734.385100813,772.274513694,735.840666918,837.689371351,844.165453302,808.317206834,776.121923106,831.640027023,715.172373703,799.225423359,836.653324092,885.915930717,878.178940511,713.242534599,807.866520903,911.783910041,762.082049701,780.169045219,710.799332738,810.331015869,747.572828986,910.566026399,853.230287851,773.348479182,876.952116167,869.449666359,827.507145797,842.211402988,752.962505454,886.219853793,850.885295921,858.902519292,896.248214146,792.823611816,908.686069985,430.50279665
5,Kara Sea Coast,163.443496897,216.023630115,244.66705616,205.068771952,215.427086631,219.212113306,200.287325503,194.497316659,236.563693126,208.90054776,208.951939195,206.368364185,200.038189709,200.888038752,191.46629679,192.399573896,231.527759352,199.637546872,206.171514989,248.414614858,217.581203844,222.486731334,236.826383146,234.280169482,200.766303299,222.458580074,230.514779748,214.394015325,233.549863927,240.943769461,203.528306928,217.125420451,274.289898251,252.797368279,248.600708393,224.118190253,211.264649391,246.872181834,245.74703862,228.770192322,95.0004798759
6,Lena,359.191457764,411.77701893,400.188552319,402.02048215,427.685350477,429.052522646,402.735467828,433.69433252,423.442645678,437.352779284,419.464522661,452.322842229,461.851484723,421.078762682,439.184892043,414.071313845,398.423535759,438.903302634,461.538234712,477.088317709,446.647932078,452.411047136,443.699822746,460.367310178,469.6245352,456.441040601,476.852023038,504.636605306,482.335293905,496.711057405,497.290108105,469.211603299,527.5322226,484.209908851,514.701148933,534.993668842,524.140474366,558.737858363,573.539602599,531.731630976,259.671711978
7,Pacific and Arctic Coast,936.879755304,1345.79680922,1351.01440228,1416.06928837,1330.76311509,1518.94583961,1507.25417857,1590.70698895,1404.18443622,1437.26055028,1598.52250847,1617.41974536,1532.83288315,1449.11626303,1455.13207848,1513.2631976,1482.70832291,1637.837588,1698.07435236,1491.34255818,1656.2623758,1661.03865477,1762.97999939,1528.83263218,1684.22337907,1490.85810473,1431.36229567,1353.21372085,1471.58392517,1502.51329091,1525.40164855,1664.85762846,1427.90583959,1494.65629276,1405.03337558,1558.31519065,1524.11313764,1514.37923184,1513.67112899,1463.32435111,564.598015245
8,Scandinavia North Coast,320.129621943,404.122486861,362.001599982,423.701628038,397.423389677,400.361698362,417.957124958,371.690650798,384.193599473,401.465807642,353.327042417,422.452110574,405.403640138,450.925361516,405.316135439,385.188958627,397.514420401,383.726442513,395.397863715,457.156353114,439.187897929,390.905632309,443.171505975,437.971539239,394.926530772,447.466601698,385.714325991,440.390380296,434.461952942,430.523240504,455.213081044,391.709031141,429.14483411,396.16712093,423.577832637,452.296507344,399.361200722,470.407463453,436.831992134,429.886998843,266.996716758
9,Russia Barents Sea Coast,139.871365494,224.773869835,204.817970551,223.758337529,208.93780643,226.321992683,228.013531712,195.673841585,220.44410581,227.718486852,185.411584636,222.173303704,241.310013247,237.95649519,235.218380392,179.023279968,210.873888983,219.1199581,178.629104387,195.318964614,220.098645624,224.011449945,220.918931252,230.124879674,221.068444531,235.714649592,222.595040645,208.611236913,232.722092967,208.173907982,216.911353215,204.054729092,219.839584987,235.536671795,228.689500277,199.338133864,238.427695077,256.607068228,228.657791063,235.008814521,110.874720364
10,Mackenzie,274.339728002,317.550454599,341.048421232,333.904673063,356.51151157,336.098262592,356.741501669,343.604364917,332.162542161,339.220447129,345.591285127,343.302029088,362.822200053,357.329113202,371.172332176,373.405862675,380.434070665,373.627865285,402.720182476,383.525932904,383.0959229,406.554898223,405.886796764,389.806158969,407.952381092,376.303093128,411.152620807,427.149331484,391.2898423,399.150588747,411.771380832,410.280595222,415.498961518,411.841670165,414.208962401,450.194662153,428.846191107,457.367897315,450.64015272,451.780279871,290.710975463
11,Iceland,113.4635366,133.875330911,146.125268932,143.364558452,149.185840154,144.908024072,152.332765942,131.497739227,133.848518,132.029672543,133.325700525,130.115216106,131.38446284,141.921461818,142.20941166,125.608076985,132.554113455,127.77576307,127.863837542,144.13929831,133.359410909,135.197593046,149.971742745,142.87216776,136.870490423,136.969198431,135.402857691,132.11691668,132.521819739,137.472144819,137.716523111,129.238440188,136.453349907,143.056805402,138.026714675,137.227255468,142.377677204,139.645481553,148.122743555,148.184083427,98.3487942321
