# File: basin_ID.csv
# Title: GCAM basin IDs and Names
# Source: NA
# Units: NA
# Column types: ic
# ----------
basin_id,basin_name
1,Arctic Ocean Islands
2,Northwest Territories
3,Siberia-North Coast
4,Siberia-West Coast
5,Kara Sea Coast
6,Lena
7,Pacific and Arctic Coast
8,Scandinavia-North Coast
9,Russia-Barents Sea Coast
10,Mackenzie
11,Iceland
12,Sweden
13,Finland
14,Northern Dvina
15,Hudson Bay Coast
16,Scotland
17,Neva
18,Volga
19,Atlantic Ocean Seaboard
20,Baltic Sea Coast
21,Denmark-Germany Coast
22,Narva
23,Saskatchewan-Nelson
24,Ireland
25,Daugava
26,England and Wales
27,Fraser
28,Ems-Weser
29,Oder
30,Wisla
31,Elbe
32,Rhine
33,Poland Coast
34,Churchill
35,Neman
36,Scheldt
37,Russia-South East Coast
38,Ural
39,Dnieper
40,St Lawrence
41,France-West Coast
42,Gobi Interior
43,Amur
44,Loire
45,Caspian Sea Coast
46,Seine
47,Black Sea-North Coast
48,Yenisey
49,Dniester
50,Italy-East Coast
51,Japan
52,Caspian Sea-East Coast
53,Don
54,Danube
55,Adriatic Sea-Greece-Black Sea Coast
56,Ob
57,Po
58,Amu Darya
59,Italy-West Coast
60,Spain-Portugal-Atlantic Coast
61,France-South Coast
62,Rhone
63,Mediterranean Sea Islands
64,Gironde
65,North and South Korea
66,Bo Hai-Korean Bay-North Coast
67,Spain-South and East Coast
68,Lake Balkash
69,Tiber
70,Black Sea-South Coast
71,Tagus
72,Caspian Sea-South West Coast
73,Ebro
74,Douro
75,Mediterranean Sea-East Coast
76,Syr Darya
77,Ziya He-Interior
78,China Coast
79,Huang He
80,Mediterranean South Coast
81,Guadiana
82,Central Iran
83,Guadalquivir
84,Tigris-Euphrates
85,Tarim Interior
86,Africa-North West Coast
87,Nile
88,Persian Gulf Coast
89,Indus
90,Farahrud
91,Baja California
92,Plateau of Tibet Interior
93,Red Sea-East Coast
94,Arabian Peninsula
95,Dead Sea
96,Mexico-Northwest Coast
97,Helmand
98,Sinai Peninsula
99,Eastern Jordan-Syria
100,Africa-Red Sea-Gulf of Aden Coast
101,Caribbean
102,Hamun-i-Mashkel
103,Taiwan
104,Arabian Sea Coast
105,North Gulf
106,Yangtze
107,Sabarmati
108,Xun Jiang
109,Hong-Red River
110,Ganges-Bramaputra
111,Yucatan Peninsula
112,South China Sea Coast
113,Mahi
114,Mexico-Interior
115,Pacific Central Coast
116,Bay of Bengal-North East Coast
117,Tapti
118,Yasai
119,Philippines
120,Brahamani
121,North Marina Islands and Guam
122,Mahandi
123,Godavari
124,Hainan
125,Mekong
126,Viet Nam-Coast
127,Salween
128,India North East Coast
129,India West Coast
130,Papaloapan
131,Rio Lerma
132,Rio Verde
133,Grijalva-Usumacinta
134,Rio Balsas
135,Southern Central America
136,Isthmus of Tehuantepec
137,Irrawaddy
138,Sittang
139,Peninsula Malaysia
140,Krishna
141,Andaman-Nicobar Islands
142,Africa-West Coast
143,Caribbean Coast
144,Africa-North Interior
145,India East Coast
146,Chao Phraya
147,Pennar
148,Gulf of Thailand Coast
149,Niger
150,Micronesia
151,Lake Chad
152,Senegal
153,Cauvery
154,Sri Lanka
155,India South Coast
156,Orinoco
157,Colombia-Ecuador-Pacific Coast
158,Palau and East Indonesia
159,North Borneo Coast
160,Volta
161,Northeast South America-South Atlantic Coast
162,Gulf of Guinea
163,Sumatra
164,Sulawesi
165,Kalimantan
166,Magdalena
167,Irian Jaya Coast
168,Amazon
169,South Chile-Pacific Coast
170,Shebelli-Juba
171,Africa-East Central Coast
172,North Brazil-South Atlantic Coast
173,Papua New Guinea Coast
174,Tocantins
175,Java-Timor
176,Solomon Islands
177,Madasgacar
178,Sepik
179,Rift Valley
180,Peru-Pacific Coast
181,Fly
182,Angola-Coast
183,Congo
184,Australia-North Coast
185,South Pacific Islands
186,East Brazil-South Atlantic Coast
187,Parnaiba
188,Zambezi
189,Australia-East Coast
190,Africa-Indian Ocean Coast
191,Australia-West Coast
192,Sao Francisco
193,Australia-Interior
194,Orange
195,Uruguay-Brazil-South Atlantic Coast
196,Namibia-Coast
197,Africa-South Interior
198,South Africa-South Coast
199,Limpopo
200,La Puna Region
201,New Zealand
202,Australia-South Coast
203,Mar Chiquita
204,South Africa-West Coast
205,Salinas Grandes
206,La Plata
207,North Chile-Pacific Coast
208,Murray-Darling
209,Pampas Region
210,North Argentina-South Atlantic Coast
211,Tasmania
212,South America-Colorado
213,Negro
214,Central Patagonia Highlands
215,South Argentina-South Atlantic Coast
216,Antarctica
217,California River
218,Upper Mississippi
219,Lower Mississippi River
220,Upper Colorado River
221,Lower Colorado River
222,Great
223,Missouri River
224,Arkansas White Red
225,Texas Gulf Coast
226,South Atlantic Gulf
227,Great Lakes
228,Ohio River
229,Pacific Northwest
230,Tennessee River
231,Rio Grande River
232,New England
233,Mid Atlantic
234,Hawaii
235,Narmada
