# File: xanthos_accessible_water.csv
# Title: Accessible runoff from xanthos simulation
# Source: /pic/projects/GCAM/gcam_hydrology/runs/xanthos/pm_abcd_mrtm/pm_abcd_mrtm_watch+wfdei_1970_2010
# Comments: computed with Xanthos forced Watch Forcing Data Era Iterim (WFDEI) 1970 - 2010 annual
# Units: km^3/yr
# see Turner et al. (in review) "Modeling global groundwater withdrawals..."
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
id,name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,Arctic Ocean Islands,110.197618429,61.4030552325,88.9232797132,118.326728777,158.047611325,182.411537688,197.47371964,201.367737553,196.455232668,211.481156037,219.440817464,214.602396381,208.304995989,194.264211392,178.77777694,182.534892519,196.233712239,198.674207513,199.543428442,197.990570076,202.098392247,197.843026291,195.398638902,208.058999057,203.230579282,192.965821595,199.881312935,190.40102678,251.017599502,269.557142636,296.555299075,304.790556089,315.757484615,321.223078944,327.405147594,332.258234865,318.583520492,231.347189995,186.018021291,140.169182136,231.712223706
2,Northwest Territories,225.548873192,130.284644035,168.583449663,202.875833534,238.084008,249.967772921,259.447260804,258.261176807,264.186714788,268.752641863,273.954155207,271.567422561,279.041531609,284.801839025,285.75875876,286.010300878,291.560881749,293.128585257,296.811013526,300.306024916,304.794678896,308.040571671,311.360886738,319.482476802,323.236061033,327.272535292,332.777994906,334.976716953,345.745329135,351.60915118,350.85860124,357.621706449,365.561527872,368.51214483,372.143366214,373.321588717,360.55981537,308.53257772,262.268028712,218.006192958,350.166018693
3,Siberia North Coast,66.6495065737,37.1002406991,47.297434306,57.2149688554,66.0958876797,66.2873564709,65.5401316663,65.4267113388,64.180649274,63.0664611502,61.9667356357,61.5351278373,62.5412290444,63.1821292296,66.7267079652,70.0378003193,71.2190575252,71.2502158441,71.0430491503,73.6005272862,73.9322439242,73.8076606335,75.1593564585,73.5821717687,69.9576922178,69.1371862554,68.6975572219,67.425907939,66.8996409253,67.3599043537,67.1018893073,67.0635350496,67.6183194585,70.7377706695,72.9934410446,74.9700338899,69.5141600818,58.760497037,48.2029311622,37.6618937427,65.8371124009
4,Siberia West Coast,357.299348234,212.446037221,264.323406147,313.753339509,370.024936969,388.989364891,395.362211218,394.567953129,398.751833578,394.340856077,398.696490342,403.021122631,413.102395144,415.822272959,407.027554974,406.997280247,416.110344087,411.43780241,415.803939383,409.863936386,408.095741177,398.802574046,400.978169347,410.381815579,408.063073793,405.723255776,412.935651578,416.11557797,424.943154601,421.089437656,430.403020752,426.393980938,426.775011825,435.030774224,429.37946063,432.015157329,405.346478354,348.771114423,298.19102536,238.659403521,390.39683306
5,Kara Sea Coast,73.6170331589,42.3702086879,52.5217495268,62.3798244109,74.3700289121,76.6740144844,76.3155866158,74.3744216685,74.1194471664,73.3825371402,71.9762435129,71.5764536991,73.4533375725,71.5817399525,71.4434192297,73.443580561,74.0119020932,75.1497039311,76.9712349236,79.1412513039,79.5653180541,79.1056477101,80.6706568276,81.0874133435,80.3339950942,81.5181241367,80.5572185022,79.558677397,81.5865660542,84.2237548014,85.5487656706,85.2245552427,85.0659436781,85.7411838809,85.9846370445,87.2640192011,81.0741301575,67.1717771413,54.3587706186,41.7584713361,72.0683107888
6,Lena,204.588496658,123.21395893,151.185413464,181.307074637,210.716718579,216.145308872,216.679234186,220.300151727,224.455634176,223.996782436,224.700512633,225.487828692,223.038142566,224.111941865,225.791710401,229.793894196,229.399750884,228.744077888,230.315193431,231.786390018,235.644764881,239.674293265,242.309971004,245.303310826,245.667732557,249.144800125,252.261815421,254.033702098,258.69855147,259.711559135,263.757937221,267.79608765,269.150702851,274.457141019,279.793165111,282.185255125,267.631941569,230.992894953,197.362741831,161.614860315,260.465717444
7,Pacific and Arctic Coast,666.938273883,412.649698209,519.547040227,632.363014776,731.95045402,767.438414671,785.362203434,804.256178637,812.537275551,820.931106608,816.405312919,816.831484013,809.172012568,825.743139877,844.240552324,836.639145762,839.393939221,848.486537146,870.746352146,875.973336027,888.09815827,888.676156345,874.032534681,849.574360739,848.173040788,837.268862351,827.649227089,820.690201336,813.532280648,800.087821215,794.000967679,803.004709203,815.125221899,818.160346696,818.951681861,814.549041491,736.516530548,635.246724119,529.242848199,429.595200555,692.414309027
8,Scandinavia North Coast,195.849904562,118.262166176,147.073502164,172.695518356,199.179409209,204.786214391,201.284695864,205.451773938,204.190425714,207.87851522,208.220042958,205.961211625,207.741339915,207.709137052,207.290851155,214.448190932,215.601850874,214.602449381,214.067947338,216.319005532,216.990252523,220.433641791,220.570673978,223.672175148,222.107765908,221.51047891,225.943430047,222.395930639,221.787473092,221.872991576,220.226250055,224.816006954,221.987713315,224.465570776,224.900456442,223.154635591,214.557752857,184.975206551,157.665936421,128.467144191,207.774758511
9,Russia Barents Sea Coast,93.4441558972,56.7882253387,71.313718006,83.7790262259,97.8223122468,103.418570976,100.911015478,102.016628651,103.134749734,104.983371382,105.550111494,102.429211006,103.397522734,103.313168539,100.185952976,100.817097865,100.684932767,99.5829360898,98.4975662514,98.1730872314,100.851554272,102.434023012,102.655401478,104.565398849,106.9481472,106.188487509,105.736179252,104.661853343,104.006633578,104.928325056,104.480791289,102.999221198,104.898664363,106.420245255,107.725161201,108.878051293,102.942063532,88.9372882206,73.932537523,59.3639826026,101.174707781
10,Mackenzie,198.399077437,120.494474093,149.3665101,177.175322782,204.058118399,209.309087098,211.578505892,211.760896354,214.101268518,214.167439187,217.006076674,218.354767614,221.335493393,224.691391982,229.830594,232.900745669,236.121371051,239.660774317,243.590676449,245.098761479,247.894702851,247.560371881,250.597349882,252.574465711,253.202819493,254.502166186,254.92434996,255.279951724,257.359338386,257.674108867,260.741931415,263.901707382,264.039038733,269.386911001,273.554097992,276.792124317,267.115037825,233.487604735,200.156165936,166.633135896,264.827245009
11,Iceland,83.0885598662,51.452244396,63.383921639,73.6836662338,84.1675388685,85.6217574691,85.5787068994,84.3246970888,83.3863393212,82.8173467139,82.6059741171,80.5127254252,80.5954674162,80.119810381,79.79351552,80.6405057116,80.8946118133,81.1932805771,81.8238301055,81.8757414053,82.7578857114,83.1037034257,83.7011062941,84.0342346743,83.1242793943,83.4464150379,83.6437137632,82.0197488023,81.5169859041,82.0015376891,82.08436913,82.2272676411,83.0309560798,83.5889268684,84.4231499312,85.2430362533,82.8235614712,72.1356617292,60.9305370871,50.1194013461,81.7723349012
12,Sweden,92.5793354228,56.3310095675,68.2759004977,82.9144598827,95.5527092391,98.3150952454,98.8598168361,102.034829401,102.008559702,103.08874513,104.712575944,107.570644505,107.892437938,110.521932386,112.682669446,113.977153753,113.443002517,114.077982134,114.47060158,116.191503007,115.637489824,116.59996736,113.961477944,113.391442745,116.424031892,117.502776263,120.446182079,122.110268333,121.349280129,120.255891456,119.304615339,122.07502617,121.393454226,120.720206223,121.124721324,119.214349692,112.50291301,97.2760408743,84.1204832388,69.1489290021,110.689823587
13,Finland,34.1524652593,21.1232710507,25.299205251,30.3526545943,34.7472425505,35.4420150231,35.8505897607,37.5386629344,38.1665380966,38.7599739537,39.7027822751,40.5792095511,40.6913826444,42.0032278388,42.978702515,43.5196055973,42.9229424932,42.8635226858,42.7813979731,42.7820541593,43.2602045017,43.7113893002,43.0030356525,43.1671523452,44.4854485236,44.2900126785,45.1073139638,45.3646127218,45.400881878,44.9910662515,46.073660618,46.8660065623,46.4970408549,46.075461884,47.5434138919,47.5526192551,45.2120103251,39.3613112797,34.2406150875,27.5412134858,44.0497335246
14,Northern Dvina,31.291993101,18.5515283976,23.4809075688,27.7158259037,33.1361918379,34.2776142597,34.1074211862,34.3038468665,34.6813015461,35.2059721755,36.1680707767,35.9418708183,36.7663640781,36.5077547213,36.0393876716,36.1409259342,37.2787176983,37.1755573916,37.1764760414,37.6218779997,38.1692884357,38.2983284854,37.6673483835,38.6657197494,39.8935770192,39.0149648769,39.3662690868,39.2397417463,38.8309370765,38.8207110462,39.1259095197,39.5214064925,39.4079310868,39.3797035531,40.2378474598,40.76486565,38.9109886797,33.5464571627,28.3060935442,22.8124434263,37.9528520748
15,Hudson Bay Coast,358.71749872,222.57449909,272.595697993,326.015559107,380.049487395,403.70388613,409.449424119,409.884185265,416.625592844,417.636959727,419.513968007,423.390042666,425.344083864,424.033637945,419.82324887,414.953811032,416.559197907,413.101075119,415.868398467,414.005538741,406.524848152,401.628712433,400.486375368,395.011575167,391.443223432,394.078855524,395.525026854,387.959081667,391.003788538,394.574671942,401.942829575,403.221038994,413.06190633,425.368815057,426.040768968,430.962794966,413.815174022,358.993753585,309.006287207,251.16036298,408.197832243
16,Scotland,26.5978399947,15.0747688877,17.7644012148,21.18811256,24.2450452046,25.1660374386,26.2057196467,27.4530188707,29.1289140762,29.6186263881,28.5983241985,30.080085134,31.4771011078,33.8679232704,35.9037751123,37.2878961882,37.6629276719,37.4132774705,38.936860309,39.655777585,39.3919745027,39.0183167611,38.0393307073,37.395718666,37.0892223709,38.4207714037,38.3278864703,37.4919904284,40.1435053781,40.9484288948,42.9902539833,45.2374059048,45.968381561,46.6565971799,46.4271548823,45.940147458,41.7869840676,35.1121231058,30.3996094088,23.9107147429,38.1984009854
17,Neva,21.0572202647,12.8078269692,16.1013780957,19.2657795575,22.6280728965,22.9884324653,23.1594571012,24.2842256149,24.5639065226,25.1085317716,25.7127334628,25.5771970517,25.8488295244,26.3020615396,26.5800765157,27.075602957,27.3291806397,27.6106618513,27.6914656003,27.8352202779,28.3561205691,28.7651515866,28.078918961,28.5283316544,29.2916670858,28.7240989769,29.1406628525,29.2309275723,29.2297950239,29.6717247514,30.294537241,31.0854235359,31.104105857,30.9330979346,31.7754304526,32.1929466812,31.3122267622,27.497239536,23.376394802,18.9085173603,30.5048348569
