# File: L133.water_demand_livestock_R_C_W_km3_Mt.csv
# Title: Livestock water coefficients by GCAM_region_ID, GCAM_commodity and water type
# Unit: m^3 / Mt
# Comments: written by L133.water.demand.livestock.R
GCAM_region_ID,GCAM_commodity,water_type,coefficient
1,Beef,water consumption,0.091778589
1,Dairy,water consumption,0.002974772
1,OtherMeat_Fish,water consumption,0.007584441
1,Pork,water consumption,0.113920429
1,Poultry,water consumption,0.009895495
1,SheepGoat,water consumption,0.228718326
10,Beef,water consumption,0.126091932
10,Dairy,water consumption,0.025847493
10,OtherMeat_Fish,water consumption,0.164263714
10,Pork,water consumption,0.126374092
10,Poultry,water consumption,0.018920883
10,SheepGoat,water consumption,0.339540812
11,Beef,water consumption,0.263141103
11,Dairy,water consumption,0.085171553
11,OtherMeat_Fish,water consumption,0.009279409
11,Pork,water consumption,0.156843451
11,Poultry,water consumption,0.012720842
11,SheepGoat,water consumption,0.213667852
12,Beef,water consumption,0.104287743
12,Dairy,water consumption,0.013320485
12,OtherMeat_Fish,water consumption,0.016067733
12,Pork,water consumption,0.15098515
12,Poultry,water consumption,0.007093405
12,SheepGoat,water consumption,0.121417647
13,Beef,water consumption,0.105838386
13,Dairy,water consumption,0.008709357
13,OtherMeat_Fish,water consumption,0.003383985
13,Pork,water consumption,0.112524599
13,Poultry,water consumption,0.007737615
13,SheepGoat,water consumption,0.238046647
14,Beef,water consumption,0.10284127
14,Dairy,water consumption,0.011420735
14,OtherMeat_Fish,water consumption,0.018454988
14,Pork,water consumption,0.219612867
14,Poultry,water consumption,0.015849598
14,SheepGoat,water consumption,0.162848825
15,Beef,water consumption,0.147861067
15,Dairy,water consumption,0.051818104
15,OtherMeat_Fish,water consumption,0.023645239
15,Pork,water consumption,0.13912961
15,Poultry,water consumption,0.016054928
15,SheepGoat,water consumption,0.137771036
16,Beef,water consumption,0.087389452
16,Dairy,water consumption,0.004561358
16,OtherMeat_Fish,water consumption,0.000517938
16,Pork,water consumption,0.109467862
16,Poultry,water consumption,0.005736752
16,SheepGoat,water consumption,0.245909825
17,Beef,water consumption,1.236931787
17,Dairy,water consumption,0.026718399
17,OtherMeat_Fish,water consumption,0.007047282
17,Pork,water consumption,0.472788935
17,Poultry,water consumption,0.014110727
17,SheepGoat,water consumption,0.522066298
18,Beef,water consumption,0.443089481
18,Dairy,water consumption,0.261518601
18,OtherMeat_Fish,water consumption,0.001606708
18,Pork,water consumption,0.209603579
18,Poultry,water consumption,0.056214331
18,SheepGoat,water consumption,0.305020605
19,Beef,water consumption,0.080521601
19,Dairy,water consumption,0.003471896
19,OtherMeat_Fish,water consumption,6.93E-05
19,Pork,water consumption,0.127786612
19,Poultry,water consumption,0.007768366
19,SheepGoat,water consumption,0.36653108
2,Beef,water consumption,1.301433048
2,Dairy,water consumption,0.194878794
2,OtherMeat_Fish,water consumption,0.216701729
2,Pork,water consumption,0.3931853
2,Poultry,water consumption,0.043880914
2,SheepGoat,water consumption,0.668005419
20,Beef,water consumption,0.252125626
20,Dairy,water consumption,0.007024659
20,OtherMeat_Fish,water consumption,0.114432906
20,Pork,water consumption,0.255608554
20,Poultry,water consumption,0.009983799
20,SheepGoat,water consumption,0.461280754
21,Beef,water consumption,0.197030642
21,Dairy,water consumption,0.132557015
21,OtherMeat_Fish,water consumption,0.053392069
21,Pork,water consumption,0.186432876
21,Poultry,water consumption,0.018582616
21,SheepGoat,water consumption,0.244790549
22,Beef,water consumption,0.408459149
22,Dairy,water consumption,0.020651573
22,OtherMeat_Fish,water consumption,0.090922973
22,Poultry,water consumption,0.023413518
22,SheepGoat,water consumption,0.317801699
23,Beef,water consumption,0.099466768
23,Dairy,water consumption,0.009874155
23,OtherMeat_Fish,water consumption,0.006383805
23,Pork,water consumption,0.182046217
23,Poultry,water consumption,0.012684036
23,SheepGoat,water consumption,0.284056212
24,Beef,water consumption,0.291111135
24,Dairy,water consumption,0.007517944
24,OtherMeat_Fish,water consumption,0.008824665
24,Pork,water consumption,0.230991354
24,Poultry,water consumption,0.011324114
24,SheepGoat,water consumption,0.665313662
25,Beef,water consumption,0.416446158
25,Dairy,water consumption,0.022624877
25,OtherMeat_Fish,water consumption,0.020984173
25,Pork,water consumption,0.378871609
25,Poultry,water consumption,0.015274877
25,SheepGoat,water consumption,0.493627555
26,Beef,water consumption,0.340163702
26,Dairy,water consumption,0.019442286
26,OtherMeat_Fish,water consumption,0.006068379
26,Pork,water consumption,0.219750829
26,Poultry,water consumption,0.019528225
26,SheepGoat,water consumption,0.901057878
27,Beef,water consumption,1.01177021
27,Dairy,water consumption,0.243320765
27,OtherMeat_Fish,water consumption,0.010961028
27,Pork,water consumption,0.989370104
27,Poultry,water consumption,0.042812971
27,SheepGoat,water consumption,0.458059723
28,Beef,water consumption,0.085708187
28,Dairy,water consumption,0.003598535
28,OtherMeat_Fish,water consumption,7.73E-05
28,Pork,water consumption,0.141936647
28,Poultry,water consumption,0.01092919
28,SheepGoat,water consumption,0.266863549
29,Beef,water consumption,0.544601132
29,Dairy,water consumption,0.041948878
29,OtherMeat_Fish,water consumption,0.001034787
29,Pork,water consumption,0.225621638
29,Poultry,water consumption,0.016579773
29,SheepGoat,water consumption,0.381595402
3,Beef,water consumption,0.095302008
3,Dairy,water consumption,0.064228875
3,OtherMeat_Fish,water consumption,0.049408486
3,Pork,water consumption,0.207742533
3,Poultry,water consumption,0.02212645
3,SheepGoat,water consumption,0.27302361
31,Beef,water consumption,0.227177348
31,Dairy,water consumption,0.005728179
31,OtherMeat_Fish,water consumption,0.039398006
31,Pork,water consumption,0.173144419
31,Poultry,water consumption,0.008646687
31,SheepGoat,water consumption,0.800707406
32,Beef,water consumption,0.323348632
32,Dairy,water consumption,0.023225839
32,OtherMeat_Fish,water consumption,0.183382303
32,Pork,water consumption,0.371968731
32,Poultry,water consumption,0.011283716
32,SheepGoat,water consumption,0.659775705
4,Beef,water consumption,0.602873523
4,Dairy,water consumption,0.110602371
4,OtherMeat_Fish,water consumption,0.013787166
4,Pork,water consumption,0.331856917
4,Poultry,water consumption,0.041935431
4,SheepGoat,water consumption,0.598321211
5,Beef,water consumption,0.66879079
5,Dairy,water consumption,0.240145572
5,OtherMeat_Fish,water consumption,0.056944429
5,Pork,water consumption,0.721284437
5,Poultry,water consumption,0.0353053
5,SheepGoat,water consumption,0.539354514
6,Beef,water consumption,0.14719221
6,Dairy,water consumption,0.005784269
6,OtherMeat_Fish,water consumption,0.001898468
6,Pork,water consumption,0.119962428
6,Poultry,water consumption,0.0108504
6,SheepGoat,water consumption,0.377608281
7,Beef,water consumption,0.294764337
7,Dairy,water consumption,0.025306619
7,OtherMeat_Fish,water consumption,0.052320743
7,Pork,water consumption,0.201084407
7,Poultry,water consumption,0.011070429
7,SheepGoat,water consumption,0.510306103
8,Beef,water consumption,0.122278368
8,Dairy,water consumption,0.003235614
8,OtherMeat_Fish,water consumption,0.003563821
8,Pork,water consumption,0.131019411
8,Poultry,water consumption,0.011178872
8,SheepGoat,water consumption,0.196576801
9,Beef,water consumption,0.372232558
9,Dairy,water consumption,0.02652119
9,OtherMeat_Fish,water consumption,0.067533119
9,Pork,water consumption,0.368243091
9,Poultry,water consumption,0.017437515
9,SheepGoat,water consumption,0.698155295
1,Beef,water withdrawals,0.091778589
1,Dairy,water withdrawals,0.002974772
1,OtherMeat_Fish,water withdrawals,0.007584441
1,Pork,water withdrawals,0.113920429
1,Poultry,water withdrawals,0.009895495
1,SheepGoat,water withdrawals,0.228718326
10,Beef,water withdrawals,0.126091932
10,Dairy,water withdrawals,0.025847493
10,OtherMeat_Fish,water withdrawals,0.164263714
10,Pork,water withdrawals,0.126374092
10,Poultry,water withdrawals,0.018920883
10,SheepGoat,water withdrawals,0.339540812
11,Beef,water withdrawals,0.263141103
11,Dairy,water withdrawals,0.085171553
11,OtherMeat_Fish,water withdrawals,0.009279409
11,Pork,water withdrawals,0.156843451
11,Poultry,water withdrawals,0.012720842
11,SheepGoat,water withdrawals,0.213667852
12,Beef,water withdrawals,0.104287743
12,Dairy,water withdrawals,0.013320485
12,OtherMeat_Fish,water withdrawals,0.016067733
12,Pork,water withdrawals,0.15098515
12,Poultry,water withdrawals,0.007093405
12,SheepGoat,water withdrawals,0.121417647
13,Beef,water withdrawals,0.105838386
13,Dairy,water withdrawals,0.008709357
13,OtherMeat_Fish,water withdrawals,0.003383985
13,Pork,water withdrawals,0.112524599
13,Poultry,water withdrawals,0.007737615
13,SheepGoat,water withdrawals,0.238046647
14,Beef,water withdrawals,0.10284127
14,Dairy,water withdrawals,0.011420735
14,OtherMeat_Fish,water withdrawals,0.018454988
14,Pork,water withdrawals,0.219612867
14,Poultry,water withdrawals,0.015849598
14,SheepGoat,water withdrawals,0.162848825
15,Beef,water withdrawals,0.147861067
15,Dairy,water withdrawals,0.051818104
15,OtherMeat_Fish,water withdrawals,0.023645239
15,Pork,water withdrawals,0.13912961
15,Poultry,water withdrawals,0.016054928
15,SheepGoat,water withdrawals,0.137771036
16,Beef,water withdrawals,0.087389452
16,Dairy,water withdrawals,0.004561358
16,OtherMeat_Fish,water withdrawals,0.000517938
16,Pork,water withdrawals,0.109467862
16,Poultry,water withdrawals,0.005736752
16,SheepGoat,water withdrawals,0.245909825
17,Beef,water withdrawals,1.236931787
17,Dairy,water withdrawals,0.026718399
17,OtherMeat_Fish,water withdrawals,0.007047282
17,Pork,water withdrawals,0.472788935
17,Poultry,water withdrawals,0.014110727
17,SheepGoat,water withdrawals,0.522066298
18,Beef,water withdrawals,0.443089481
18,Dairy,water withdrawals,0.261518601
18,OtherMeat_Fish,water withdrawals,0.001606708
18,Pork,water withdrawals,0.209603579
18,Poultry,water withdrawals,0.056214331
18,SheepGoat,water withdrawals,0.305020605
19,Beef,water withdrawals,0.080521601
19,Dairy,water withdrawals,0.003471896
19,OtherMeat_Fish,water withdrawals,6.93E-05
19,Pork,water withdrawals,0.127786612
19,Poultry,water withdrawals,0.007768366
19,SheepGoat,water withdrawals,0.36653108
2,Beef,water withdrawals,1.301433048
2,Dairy,water withdrawals,0.194878794
2,OtherMeat_Fish,water withdrawals,0.216701729
2,Pork,water withdrawals,0.3931853
2,Poultry,water withdrawals,0.043880914
2,SheepGoat,water withdrawals,0.668005419
20,Beef,water withdrawals,0.252125626
20,Dairy,water withdrawals,0.007024659
20,OtherMeat_Fish,water withdrawals,0.114432906
20,Pork,water withdrawals,0.255608554
20,Poultry,water withdrawals,0.009983799
20,SheepGoat,water withdrawals,0.461280754
21,Beef,water withdrawals,0.197030642
21,Dairy,water withdrawals,0.132557015
21,OtherMeat_Fish,water withdrawals,0.053392069
21,Pork,water withdrawals,0.186432876
21,Poultry,water withdrawals,0.018582616
21,SheepGoat,water withdrawals,0.244790549
22,Beef,water withdrawals,0.408459149
22,Dairy,water withdrawals,0.020651573
22,OtherMeat_Fish,water withdrawals,0.090922973
22,Poultry,water withdrawals,0.023413518
22,SheepGoat,water withdrawals,0.317801699
23,Beef,water withdrawals,0.099466768
23,Dairy,water withdrawals,0.009874155
23,OtherMeat_Fish,water withdrawals,0.006383805
23,Pork,water withdrawals,0.182046217
23,Poultry,water withdrawals,0.012684036
23,SheepGoat,water withdrawals,0.284056212
24,Beef,water withdrawals,0.291111135
24,Dairy,water withdrawals,0.007517944
24,OtherMeat_Fish,water withdrawals,0.008824665
24,Pork,water withdrawals,0.230991354
24,Poultry,water withdrawals,0.011324114
24,SheepGoat,water withdrawals,0.665313662
25,Beef,water withdrawals,0.416446158
25,Dairy,water withdrawals,0.022624877
25,OtherMeat_Fish,water withdrawals,0.020984173
25,Pork,water withdrawals,0.378871609
25,Poultry,water withdrawals,0.015274877
25,SheepGoat,water withdrawals,0.493627555
26,Beef,water withdrawals,0.340163702
26,Dairy,water withdrawals,0.019442286
26,OtherMeat_Fish,water withdrawals,0.006068379
26,Pork,water withdrawals,0.219750829
26,Poultry,water withdrawals,0.019528225
26,SheepGoat,water withdrawals,0.901057878
27,Beef,water withdrawals,1.01177021
27,Dairy,water withdrawals,0.243320765
27,OtherMeat_Fish,water withdrawals,0.010961028
27,Pork,water withdrawals,0.989370104
27,Poultry,water withdrawals,0.042812971
27,SheepGoat,water withdrawals,0.458059723
28,Beef,water withdrawals,0.085708187
28,Dairy,water withdrawals,0.003598535
28,OtherMeat_Fish,water withdrawals,7.73E-05
28,Pork,water withdrawals,0.141936647
28,Poultry,water withdrawals,0.01092919
28,SheepGoat,water withdrawals,0.266863549
29,Beef,water withdrawals,0.544601132
29,Dairy,water withdrawals,0.041948878
29,OtherMeat_Fish,water withdrawals,0.001034787
29,Pork,water withdrawals,0.225621638
29,Poultry,water withdrawals,0.016579773
29,SheepGoat,water withdrawals,0.381595402
3,Beef,water withdrawals,0.095302008
3,Dairy,water withdrawals,0.064228875
3,OtherMeat_Fish,water withdrawals,0.049408486
3,Pork,water withdrawals,0.207742533
3,Poultry,water withdrawals,0.02212645
3,SheepGoat,water withdrawals,0.27302361
31,Beef,water withdrawals,0.227177348
31,Dairy,water withdrawals,0.005728179
31,OtherMeat_Fish,water withdrawals,0.039398006
31,Pork,water withdrawals,0.173144419
31,Poultry,water withdrawals,0.008646687
31,SheepGoat,water withdrawals,0.800707406
32,Beef,water withdrawals,0.323348632
32,Dairy,water withdrawals,0.023225839
32,OtherMeat_Fish,water withdrawals,0.183382303
32,Pork,water withdrawals,0.371968731
32,Poultry,water withdrawals,0.011283716
32,SheepGoat,water withdrawals,0.659775705
4,Beef,water withdrawals,0.602873523
4,Dairy,water withdrawals,0.110602371
4,OtherMeat_Fish,water withdrawals,0.013787166
4,Pork,water withdrawals,0.331856917
4,Poultry,water withdrawals,0.041935431
4,SheepGoat,water withdrawals,0.598321211
5,Beef,water withdrawals,0.66879079
5,Dairy,water withdrawals,0.240145572
5,OtherMeat_Fish,water withdrawals,0.056944429
5,Pork,water withdrawals,0.721284437
5,Poultry,water withdrawals,0.0353053
5,SheepGoat,water withdrawals,0.539354514
6,Beef,water withdrawals,0.14719221
6,Dairy,water withdrawals,0.005784269
6,OtherMeat_Fish,water withdrawals,0.001898468
6,Pork,water withdrawals,0.119962428
6,Poultry,water withdrawals,0.0108504
6,SheepGoat,water withdrawals,0.377608281
7,Beef,water withdrawals,0.294764337
7,Dairy,water withdrawals,0.025306619
7,OtherMeat_Fish,water withdrawals,0.052320743
7,Pork,water withdrawals,0.201084407
7,Poultry,water withdrawals,0.011070429
7,SheepGoat,water withdrawals,0.510306103
8,Beef,water withdrawals,0.122278368
8,Dairy,water withdrawals,0.003235614
8,OtherMeat_Fish,water withdrawals,0.003563821
8,Pork,water withdrawals,0.131019411
8,Poultry,water withdrawals,0.011178872
8,SheepGoat,water withdrawals,0.196576801
9,Beef,water withdrawals,0.372232558
9,Dairy,water withdrawals,0.02652119
9,OtherMeat_Fish,water withdrawals,0.067533119
9,Pork,water withdrawals,0.368243091
9,Poultry,water withdrawals,0.017437515
9,SheepGoat,water withdrawals,0.698155295
