#GCAM 3.0 traditional biomass curves,,,,
resource,subresource,grade,available,extractioncost
traditional biomass,traditional biomass,grade 1,0,0.2
traditional biomass,traditional biomass,grade 2,1,0.25
traditional biomass,traditional biomass,grade 3,5,1.5
