# Electricity technology capital costs,,,,,,,,,,,,,,,
supplysector,subsector,technology,input-capital,fixed.charge.rate,capacity.factor,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
electricity,coal,coal (conv pul),capital,0.15,0.8,496,496,496,504.6052632,513.2105263,521.8157895,530.4210526,539.0263158,547.6315789,550.5
electricity,coal,coal (IGCC),capital,0.15,0.8,575,575,575,579.4210526,583.8421053,588.2631579,592.6842105,597.1052632,601.5263158,603
electricity,coal,coal (IGCC CCS),capital,0.15,0.8,758,758,758,759.5789474,761.1578947,762.7368421,764.3157895,765.8947368,767.4736842,768
electricity,gas,gas (steam/CT),capital,0.15,0.8,158,158,158,161.7105263,165.4210526,169.1315789,172.8421053,176.5526316,180.2631579,181.5
electricity,gas,gas (CC),capital,0.15,0.8,233,233,233,234.8157895,236.6315789,238.4473684,240.2631579,242.0789474,243.8947368,244.5
electricity,gas,gas (CC CCS),capital,0.15,0.8,362,362,362,364.0526316,366.1052632,368.1578947,370.2105263,372.2631579,374.3157895,375
electricity,refined liquids,refined liquids (steam/CT),capital,0.15,0.8,158,158,158,161.7105263,165.4210526,169.1315789,172.8421053,176.5526316,180.2631579,181.5
electricity,refined liquids,refined liquids (IGCC),capital,0.15,0.8,517,517,517,521.1052632,525.2105263,529.3157895,533.4210526,537.5263158,541.6315789,543
electricity,refined liquids,refined liquids (IGCC CCS),capital,0.15,0.8,741,741,741,745.5,750,754.5,759,763.5,768,769.5
electricity,biomass,biomass (conv),capital,0.15,0.8,511,511,511,519.8421053,528.6842105,537.5263158,546.3684211,555.2105263,564.0526316,567
electricity,biomass,biomass (IGCC),capital,0.15,0.8,592,592,592,596.8157895,601.6315789,606.4473684,611.2631579,616.0789474,620.8947368,622.5
electricity,biomass,biomass (IGCC CCS),capital,0.15,0.8,763,763,763,1037.263158,1311.526316,1585.789474,1860.052632,2134.315789,2408.578947,2500
electricity,nuclear,Gen_II_LWR,capital,0.15,0.9,620,620,620,620,620,620,620,620,620,620
electricity,nuclear,Gen_III,capital,0.15,0.9,815,815,815,2500,2500,2500,2500,2500,2500,2500
electricity,wind,wind,capital,0.125,0.45,642.2,494,380,394.8947368,408.7368421,420.5263158,430.2631579,439.3421053,446.5263158,454.5
electricity,wind,wind_storage,capital,0.125,0.45,1548.04,1190.8,916,892.2894737,884.6315789,891.7631579,914.4736842,933.0789474,950.5263158,967.5
electricity,solar,PV,capital,0.125,0.25,5097.04,3920.8,3016,2059.710526,1511.052632,1191.078947,1009.210526,919.1315789,898.9473684,915
electricity,solar,PV_storage,capital,0.125,0.25,6002.88,4617.6,3552,2557.105263,1986.947368,1663.552632,1493.421053,1412.868421,1401.473684,1426.5
electricity,solar,CSP,capital,0.125,0.31,1813.37,1394.9,1073,1073.552632,1068.736842,1058.736842,1044.736842,1027.921053,1006.526316,1024.5
electricity,solar,CSP_storage,capital,0.125,0.73,3626.74,2789.8,2146,2148.184211,2137.473684,2118.710526,2090.789474,2055.842105,2014.526316,2050.5
electricity,geothermal,geothermal,capital,0.125,0.9,521,521,521,523.2894737,518.7368421,520.7105263,534.2105263,545.3421053,554.1052632,564
elect_td_bld,rooftop_pv,rooftop_pv,capital,0.1,0.25,4403,4403,4403,3018.894737,2253.263158,1826.815789,1568.421053,1521.657895,1509.052632,1536
