# electricity technology share weight interpolation,,,,,,
supplysector,subsector,technology,apply.to,from.year,to.year,interpolation.function
electricity,gas,gas (CC),share-weight,final-calibration-year,end-year,s-curve
electricity,refined liquids,refined liquids (CC),share-weight,final-calibration-year,end-year,s-curve
