Input: Aggregate AEEIs,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer
,,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,industry,0,0,0,9.34E-05,0.001698087,0.001598647,0.000889492,0.001067145,0.000762435
Australia_NZ,industry,0,0,0,0.000769341,0.002415388,0.002359912,0.001698457,0.001929307,0.001682846
Canada,industry,0,0,0,0.002346286,0.004032434,0.004016215,0.00339497,0.003669657,0.003468508
China,industry,0,0,0,0.001080381,0.002740496,0.002699466,0.002053232,0.002300699,0.002071866
Eastern Europe,industry,0,0,0,0.000873477,0.002524579,0.002474331,0.001818417,0.002055337,0.001815354
Former Soviet Union,industry,0,0,0,0.001174686,0.002838457,0.002801122,0.002158732,0.002410366,0.002185897
India,industry,0,0,0,0.000567489,0.002202743,0.002135983,0.001462463,0.001680013,0.001419223
Japan,industry,0,0,0,0.000717223,0.002360609,0.002302366,0.001637965,0.001865578,0.001615646
Korea,industry,0,0,0,0.000924308,0.002577751,0.002529911,0.001876536,0.002116231,0.001879195
Latin America,industry,0,0,0,0.000783536,0.002430293,0.002375553,0.00171488,0.001946589,0.001701047
Middle East,industry,0,0,0,0.000768809,0.00241483,0.002359326,0.001697841,0.001928659,0.001682164
Southeast Asia,industry,0,0,0,0.000441085,0.002068907,0.001994294,0.001312298,0.00152044,0.001249412
USA,industry,0,0,0,0.002331344,0.00401747,0.004001256,0.003380022,0.003654709,0.003453567
Western Europe,industry,0,0,0,0.000712564,0.002355708,0.002297213,0.001632542,0.00185986,0.00160961
