Input: Aggregate AEEIs,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer
,,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,transportation,0,0,0,0.003399119,0.003236886,0.003085119,0.002957206,0.00347589,0.003574051
Australia_NZ,transportation,0,0,0,0.003342318,0.003277464,0.003102978,0.0028828,0.003269828,0.00336757
Canada,transportation,0,0,0,0.003569237,0.003315003,0.003100847,0.002887847,0.003361715,0.003443772
China,transportation,0,0,0,0.003736046,0.003663016,0.003527862,0.003326008,0.003899823,0.003864888
Eastern Europe,transportation,0,0,0,0.003712266,0.003510081,0.00350789,0.003348481,0.003936971,0.004014739
Former Soviet Union,transportation,0,0,0,0.003534505,0.003381865,0.003261286,0.00310242,0.003615583,0.003720827
India,transportation,0,0,0,0.003478962,0.003373921,0.003271632,0.003136442,0.003658252,0.003793012
Japan,transportation,0,0,0,3.01E-03,0.003263109,0.003097661,0.002976056,0.003356444,0.003317841
Korea,transportation,0,0,0,0.003382716,0.003386304,0.003293365,0.003108889,0.003564362,0.003624029
Latin America,transportation,0,0,0,0.003389102,0.003225914,0.003167996,0.003102157,0.003665603,0.003756927
Middle East,transportation,0,0,0,0.003457487,0.003319698,0.003116359,0.0029769,0.003470029,0.003541681
Southeast Asia,transportation,0,0,0,0.003568577,0.003478412,0.003364958,0.003282509,0.003795143,0.003901602
USA,transportation,0,0,0,0.002678715,0.002915411,0.004104348,0.002892334,0.003394911,0.003477282
Western Europe,transportation,0,0,0,3.26E-03,0.00328144,0.003029542,0.002929972,0.00338243,0.003411363
