Input: Aggregate AEEIs,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer
,,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,industry,0,0,0,0.002440678,0.003252472,0.002212176,0.001583486,0.002045764,0.002265314
Australia_NZ,industry,0,0,0,0.003118194,0.003970886,0.002973907,0.002393012,0.002908769,0.003187107
Canada,industry,0,0,0,0.00469884,0.005590441,0.004631225,0.004090701,0.004650821,0.004975451
China,industry,0,0,0,0.003429964,0.004296498,0.003313669,0.002748034,0.003280524,0.003576711
Eastern Europe,industry,0,0,0,0.003222575,0.004080246,0.003088397,0.002513056,0.003034922,0.003319814
Former Soviet Union,industry,0,0,0,0.00352449,0.004394612,0.003415387,0.002853607,0.003390298,0.003690913
India,industry,0,0,0,0.002915868,0.003757911,0.002749841,0.002156855,0.002659232,0.002923088
Japan,industry,0,0,0,0.003065953,0.003916022,0.002916326,0.002332478,0.002844978,0.003119806
Korea,industry,0,0,0,0.003273525,0.004133501,0.00314401,0.002571215,0.003095876,0.003383751
Latin America,industry,0,0,0,0.003132423,0.003985814,0.002989558,0.002409447,0.002926068,0.003205335
Middle East,industry,0,0,0,0.003117661,0.003970327,0.002973321,0.002392396,0.002908121,0.003186424
Southeast Asia,industry,0,0,0,0.002789168,0.003623867,0.002608065,0.002006586,0.002499503,0.002753022
USA,industry,0,0,0,0.004683863,0.005575454,0.004616256,0.004075744,0.004635858,0.004960486
Western Europe,industry,0,0,0,0.003061284,0.003911113,0.002911169,0.002327052,0.002839254,0.003113761
