INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
80,,,,,,,,,,
,,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,building,0.000,0.000,0.000,1.677,1.447,1.081,0.737,0.621,0.555
Australia_NZ,building,0.000,0.000,0.000,0.828,0.793,0.699,0.649,0.566,0.443
Canada,building,0.000,0.000,0.000,0.451,0.352,0.244,0.173,0.134,0.093
China,building,0.000,0.000,0.000,0.922,0.810,0.722,0.621,0.554,0.516
Eastern Europe,building,0.000,0.000,0.000,0.871,0.721,0.706,0.688,0.564,0.456
Former Soviet Union,building,0.000,0.000,0.000,0.883,0.627,0.494,0.429,0.378,0.322
India,building,0.000,0.000,0.000,1.001,0.963,0.815,0.755,0.735,0.694
Japan,building,0.000,0.000,0.000,1.398,0.822,0.609,0.368,0.254,0.133
Korea,building,0.000,0.000,0.000,1.028,0.788,0.624,0.505,0.448,0.391
Latin America,building,0.000,0.000,0.000,1.410,1.135,1.002,0.942,0.854,0.829
Middle East,building,0.000,0.000,0.000,0.892,0.688,0.589,0.550,0.543,0.510
Southeast Asia,building,0.000,0.000,0.000,1.137,1.002,0.841,0.709,0.609,0.517
USA,building,0.000,0.000,0.000,0.287,0.319,0.152,0.203,0.124,0.077
Western Europe,building,0.000,0.000,0.000,1.036,0.871,0.786,0.718,0.635,0.519
,,,,,,,,,,
,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
80,,,,,,,,,,
,,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity,income-elasticity
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,industry,0.000,0.000,0.000,1.612,1.316,1.024,0.811,0.591,0.407
Australia_NZ,industry,0.000,0.000,0.000,0.310,0.243,0.196,0.183,0.161,0.124
Canada,industry,0.000,0.000,0.000,0.372,0.255,0.169,0.136,0.094,0.030
China,industry,0.000,0.000,0.000,0.427,0.395,0.398,0.388,0.321,0.256
Eastern Europe,industry,0.000,0.000,0.000,0.455,0.437,0.423,0.409,0.356,0.258
Former Soviet Union,industry,0.000,0.000,0.000,0.387,0.319,0.281,0.253,0.225,0.200
India,industry,0.000,0.000,0.000,0.636,0.612,0.573,0.564,0.544,0.525
Japan,industry,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
Korea,industry,0.000,0.000,0.000,0.790,0.512,0.329,0.199,0.143,0.078
Latin America,industry,0.000,0.000,0.000,0.639,0.630,0.624,0.582,0.562,0.538
Middle East,industry,0.000,0.000,0.000,1.289,0.700,0.603,0.543,0.507,0.454
Southeast Asia,industry,0.000,0.000,0.000,0.805,0.732,0.646,0.559,0.455,0.361
USA,industry,0.000,0.000,0.000,-0.155,-0.180,-0.070,-0.068,-0.029,-0.011
Western Europe,industry,0.000,0.000,0.000,0.294,0.254,0.204,0.174,0.124,0.084
