Input: Aggregate AEEIs,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,
Variable ID,,,,,,,,,,
10,,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer,final-energy-consumer
,,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI,AEEI
region,energy-final-demand,1975,1990,2005,2020,2035,2050,2065,2080,2095
Africa,building,0,0,0,0.004384289,0.001815553,0.002054826,0.001407783,0.001610601,0.001493979
Australia_NZ,building,0,0,0,0.004229906,0.001921109,0.002100469,0.001189305,0.001036068,0.000913658
Canada,building,0,0,0,0.004828136,0.002015975,0.002093366,0.001203056,0.00128375,0.001120208
China,building,0,0,0,0.005382962,0.003061212,0.003333248,0.002451367,0.002791154,0.002284931
Eastern Europe,building,0,0,0,0.005297532,0.00260312,0.003262675,0.002502208,0.002879283,0.002682217
Former Soviet Union,building,0,0,0,0.004785465,0.002242126,0.002570926,0.001826757,0.002008928,0.001907691
India,building,0,0,0,0.004622927,0.002222669,0.002606379,0.001931801,0.002137887,0.002120181
Japan,building,0,0,0,0.003418957,0.001876524,0.002082929,0.001423356,0.001274473,0.000809902
Korea,building,0,0,0,0.004337073,0.002228911,0.002629515,0.001810065,0.001833541,0.001607039
Latin America,building,0,0,0,0.004354512,0.001782947,0.002296716,0.001825159,0.002152135,0.002008898
Middle East,building,0,0,0,0.004554723,0.002056253,0.002145252,0.001460223,0.001587711,0.001393585
Southeast Asia,building,0,0,0,0.004886682,0.002525355,0.002871231,0.002342076,0.002513477,0.002405633
USA,building,0,0,0,0.004362496,0.001787824,0.002035131,0.001214746,0.001370233,0.001207556
Western Europe,building,0,0,0,0.004012684,0.001933228,0.001902896,0.001316338,0.001336568,0.001029626
