Nuclear reference scenario,,,,,,,,,,,,
,,,,,,,,,,,,
Nuclear interpolation rules,,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,,
Variable ID,,,,,,,,,,,,
11,,,,,,,,,,,,
,,,,,,,,,,,,
region,supplysector,subsector,apply-to,from-year,to-year,function,,,,,,
USA,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Canada,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Canada,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Western Europe,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Western Europe,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Japan,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Japan,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Australia_NZ,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Former Soviet Union,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Former Soviet Union,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
China,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
China,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Middle East,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Middle East,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Africa,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Africa,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Latin America,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Latin America,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Southeast Asia,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Southeast Asia,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Eastern Europe,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Eastern Europe,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
Korea,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
Korea,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
India,electricity,nuclear,share-weight,2005,2020,linear,,,,,,
India,electricity,nuclear,share-weight,2065,9999,fixed,,,,,,
,,,,,,,,,,,,
