Nuclear reference scenario,,,,,,,,,,,
,,,,,,,,,,,
Costs,,,,,,,,,,,
INPUT_TABLE,,,,,,,,,,,
Variable ID,,,,,,,,,,,
1105,,,,minicam-non-energy-input{non-energy},,,,,,,
,,,,input-cost,,,,,,,
region,supplysector,subsector,technology,1990,2005,2020,2035,2050,2065,2080,2095
USA,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Canada,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Western Europe,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Japan,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Australia_NZ,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Former Soviet Union,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
China,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Middle East,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Africa,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Latin America,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Southeast Asia,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Eastern Europe,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
Korea,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
India,electricity,nuclear,Gen_III,5.8,5.8,4.81,4.6,4.41,4.22,4.04,3.87
