# File: SO2_MAGICC_R.csv,,
# Description: Naming of SO2 for MAGICC regions,,
# ----------,,
region,SO2,SO2_AWB
USA,SO2_1,SO2_1_AWB
Canada,SO2_1,SO2_1_AWB
Western Europe,SO2_1,SO2_1_AWB
Japan,SO2_2,SO2_2_AWB
Australia_NZ,SO2_3,SO2_3_AWB
Former Soviet Union,SO2_4,SO2_4_AWB
China,SO2_2,SO2_2_AWB
Middle East,SO2_3,SO2_3_AWB
Africa,SO2_3,SO2_3_AWB
Latin America,SO2_3,SO2_3_AWB
Southeast Asia,SO2_2,SO2_2_AWB
Eastern Europe,SO2_1,SO2_1_AWB
Korea,SO2_2,SO2_2_AWB
India,SO2_2,SO2_2_AWB
Brazil,SO2_3,SO2_3_AWB
Other Asia,SO2_2,SO2_2_AWB
