# File: pwt1001_na.csv
# Title: Penn World Table version 10.01 supplemental National Accounts
# Units: million constant 2017 local currency; xr provides local currency to USD exchange rates
# Description: PWT used to provide macro-economic data for GCAM macroeconomic module.
# Source: DOI: 10.1257/aer.20130954 ; https://www.rug.nl/ggdc/productivity/pwt/?lang=en; https://www.rug.nl/ggdc/productivity/pwt/
# Column types: cinnnnnnnnnnnnnnnnnnn
# ----------
countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
ABW,1970,190,105,46,329,304,354,273,119,69,446,391,469,0,2,2,104,112,,
ABW,1971,200,110,49,347,320,373,298,130,75,486,427,511,0,2,2,109,122,,
ABW,1972,211,116,51,365,337,392,325,142,82,530,466,558,0,2,2,115,133,,
ABW,1973,222,123,54,385,355,413,355,155,90,579,508,608,0,2,2,121,145,,
ABW,1974,234,129,57,405,374,435,387,169,98,631,554,664,0,2,2,128,158,,
ABW,1975,246,136,60,427,394,459,422,185,107,689,604,724,0,2,2,134,172,,
ABW,1976,260,143,63,449,415,483,460,201,116,751,659,790,0,2,2,142,188,,
ABW,1977,273,151,67,473,437,509,502,220,127,819,719,861,0,2,2,149,205,,
ABW,1978,288,159,70,499,460,536,548,240,139,894,785,940,0,2,2,157,224,,
ABW,1979,303,167,74,525,485,565,598,261,151,975,856,"1,025",0,2,2,166,244,,
ABW,1980,320,176,78,553,511,595,652,285,165,"1,064",934,"1,118",0,2,2,174,266,,
ABW,1981,337,186,82,583,538,626,711,311,180,"1,161","1,018","1,220",0,2,2,184,290,,
ABW,1982,355,195,87,614,567,660,776,339,196,"1,266","1,111","1,331",0,2,2,193,317,,
ABW,1983,373,206,91,646,597,695,846,370,214,"1,381","1,212","1,452",0,2,2,204,346,,
ABW,1984,393,217,96,681,629,732,923,404,234,"1,507","1,322","1,584",0,2,2,215,377,,
ABW,1985,414,228,101,717,662,771,"1,007",440,255,"1,644","1,442","1,728",0,2,2,226,411,,
ABW,1986,436,241,106,755,697,812,"1,099",480,278,"1,793","1,573","1,885",0,2,2,238,449,,
ABW,1987,525,289,128,909,840,977,"1,276",558,323,"2,081","1,826","2,188",0,2,2,286,521,,
ABW,1988,641,354,156,"1,110","1,024","1,194","1,514",661,383,"2,469","2,168","2,596",0,2,2,350,617,,
ABW,1989,748,413,183,"1,295","1,196","1,393","1,695",743,429,"2,768","2,429","2,910",0,2,2,409,693,,
ABW,1990,826,454,202,"1,429","1,325","1,532","1,766",770,445,"2,880","2,526","3,026",0,2,2,447,719,,
ABW,1991,934,516,225,"1,616","1,481","1,747","1,905",832,484,"3,108","2,731","3,267",0,2,2,514,777,0,
ABW,1992,"1,030",573,254,"1,789","1,659","1,920","2,009",887,508,"3,285","2,879","3,459",0,2,2,564,828,0,
