# File: A32.inc_elas_output.csv
# Title: industrial demand income elasticity as a function of per-capita industrial output
# Units: GJ per person per year for pc.output_GJ; Unitless for inc_elas
# Description: inc_elas: income elasticity (unitless); pc.output_GJ: per-capita output in GJ per person per year
# Column types: nn 
# ----------
pc.output_GJ,inc_elas
0,1.5
7.5,1.12
12.5,0.9
17.5,0.78
25,0.6
35,0.35
45,0.26
65,0.22
95,0.1
105,0
115,-0.05
