# File: L100.Pop_thous_ctry_Yh.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Population by country over the historical time period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: thous persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: Written by L100.Population_downscale_ctry.R; Tue Mar 28 06:33:18 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso,X1700,X1750,X1800,X1850,X1900,X1950,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010
abw,5.988043947,6.470807708,6.953571469,3.014651441,7.428479613,38.066,59.439,59.849,60.238,60.524,60.654,60.589,60.366,60.108,59.98,60.099,60.57,61.347,62.208,62.833,63.03,62.645,61.83,61.069,61.026,62.147,64.642,68.286,72.573,76.762,80.323,83.069,85.161,86.827,88.442,90.271,92.363,94.596,96.875,99.046,100.996,102.711,104.225,105.526,106.612,107.488
afg,2824.937327,3052.687388,3280.437448,3836.711627,5270.260931,8151.455,12273.101,12593.688,12915.499,13223.928,13505.544,13766.792,14003.408,14179.656,14249.493,14185.729,13984.092,13672.87,13300.056,12931.791,12625.292,12372.113,12183.387,12156.685,12414.686,13032.161,14069.854,15472.076,17053.213,18553.819,19789.88,20684.982,21299.35,21752.257,22227.543,22856.302,23677.385,24639.841,25678.639,26693.486,27614.718,28420.974,29145.841,29839.994,30577.756,31411.743
ago,652.4317281,705.0316084,757.6314888,328.4635628,809.3754546,4147.509,6047.736,6179.685,6322.194,6474.796,6637.419,6808.85,6989.988,7185.188,7400.231,7638.42,7903.368,8191.774,8491.682,8786.652,9065.562,9322.55,9562.796,9799.68,10052.567,10335.052,10653.515,11002.91,11371.75,11742.96,12105.105,12452.725,12792.237,13138.265,13511.575,13926.373,14388.244,14890.474,15419.943,15957.46,16489.021,17010.366,17525.367,18037.964,18555.115,19081.912
aia,0.805568567,0.870514535,0.935460503,0.405559555,0.999349659,5.121,6.454,6.506,6.554,6.596,6.63,6.662,6.691,6.713,6.716,6.698,6.651,6.586,6.536,6.551,6.661,6.881,7.197,7.575,7.964,8.332,8.669,8.985,9.277,9.549,9.805,10.036,10.244,10.461,10.727,11.068,11.498,12.003,12.548,13.083,13.574,14.008,14.393,14.737,15.055,15.358
alb,297.0287396,353.5467081,410.0646766,495.0478994,792.076639,1215.002,2188.65,2241.623,2294.578,2347.607,2400.801,2454.255,2508.026,2562.121,2616.53,2671.3,2725.029,2777.592,2831.682,2891.004,2957.39,3033.393,3116.009,3194.854,3255.859,3289.483,3291.695,3266.983,3224.901,3179.442,3141.102,3112.597,3091.902,3079.037,3072.725,3071.856,3077.378,3089.778,3106.701,3124.861,3141.8,3156.607,3169.665,3181.397,3192.723,3204.284
and,0.974830777,1.05342288,1.132014984,0.490773787,1.209328224,6.197,25.656,26.997,28.357,29.688,30.967,32.156,33.279,34.432,35.753,37.328,39.226,41.39,43.636,45.702,47.414,48.653,49.504,50.236,51.241,52.773,54.996,57.767,60.67,63.111,64.699,65.227,64.905,64.246,63.985,64.634,66.39,69.043,72.203,75.292,77.888,79.874,81.39,82.577,83.677,84.864
ant,17.57133655,18.98796017,20.40458379,8.846203452,21.79815587,111.701,160.998,162.504,163.794,165.01,166.261,167.573,168.928,170.335,171.792,173.297,174.837,176.415,178.058,179.8,181.65,183.619,185.649,187.596,189.274,190.539,191.402,191.888,191.899,191.325,190.124,188.225,185.762,183.172,181.033,179.769,179.516,180.17,181.607,183.603,185.967,188.7,191.788,194.999,198.037,200.689
are,10.94682893,11.82937628,12.71192363,5.511127492,13.58011001,69.589,272.529,322.868,383.152,453.53,533.554,624.39,724.684,828.378,927.412,1016.228,1092.153,1157.336,1217.021,1279.01,1349,1428.788,1516.782,1611.257,1709.232,1808.642,1909.812,2014.095,2121.704,2232.98,2348.539,2473.983,2611.61,2755.497,2897.038,3033.491,3149.44,3254.691,3400.959,3658.042,4069.349,4662.728,5405.541,6206.623,6938.815,7511.69
arg,459.8522206,496.9260947,533.9999689,1099.999936,4692.999726,17150.335,24376.109,24791.983,25222.223,25654.154,26078.731,26492.716,26899.177,27303.001,27711.808,28131.04,28561.561,29001.06,29447.973,29899.743,30354.24,30810.984,31269.799,31729.13,32187.173,32642.442,33093.579,33540.023,33982.035,34420.352,34855.16,35287.113,35714.929,36134.642,36541.029,36930.709,37302.116,37657.34,38001.251,38340.778,38681.174,39023.85,39368.066,39714.298,40062.47,40412.376
arm,200.1192671,288.7314003,377.3435334,555.8868532,938.4123826,1353.506,2580.894,2643.464,2705.584,2766.495,2825.65,2882.831,2938.181,2991.954,3044.564,3096.298,3145.885,3192.877,3239.212,3287.588,3339.147,3396.511,3457.054,3510.439,3542.72,3544.695,3512.051,3449.94,3370.373,3290.54,3223.173,3172.185,3134.836,3109.101,3090.624,3076.098,3065.81,3061.067,3060.554,3062.612,3065.954,3069.844,3074.181,3079.087,3084.979,3092.072
asm,2.978920512,3.219084894,3.459249275,1.499722964,3.69550566,18.937,27.907,28.47,28.983,29.453,29.897,30.305,30.696,31.139,31.727,32.526,33.557,34.797,36.203,37.706,39.253,40.834,42.446,44.048,45.595,47.052,48.402,49.648,50.801,51.885,52.919,53.901,54.834,55.745,56.667,57.625,58.633,59.687,60.774,61.871,62.962,64.045,65.13,66.217,67.312,68.42
atg,7.283466159,7.870668515,8.457870872,3.666825418,9.035518168,46.301,66.554,67.419,68.182,68.848,69.42,69.91,70.301,70.533,70.525,70.228,69.639,68.803,67.792,66.701,65.614,64.539,63.51,62.669,62.192,62.202,62.754,63.802,65.238,66.895,68.642,70.45,72.322,74.19,75.985,77.656,79.165,80.507,81.716,82.838,83.916,84.952,85.935,86.881,87.802,88.71
aus,445.1015847,397.2943775,349.4871702,598.4143528,3700.277841,8177.344,12987.847,13236.895,13472.175,13690.285,13889.696,14067.994,14227.905,14379.565,14536.839,14709.918,14901.61,15109.659,15332.79,15567.927,15812.088,16066.496,16330.369,16596.096,16853.69,17096.153,17320.633,17529.469,17727.413,17921.818,18118.416,18319.637,18525.153,18734.878,18947.894,19164.351,19382.188,19604.051,19840.12,20103.822,20403.52,20744.295,21119.988,21513.817,21902.3,22268.384
aut,2500.484852,2862.638409,3224.791965,3950.766067,5974.158409,6936.445,7497.731,7526.469,7550.638,7568.347,7578.498,7580.564,7575.669,7566.45,7556.551,7548.798,7544.359,7543.194,7545.472,7550.96,7559.621,7570.906,7585.345,7605.095,7632.984,7670.513,7719.577,7778.255,7839.625,7894.229,7935.624,7960.464,7971.553,7976.117,7984.694,8004.712,8038.48,8083.059,8134.235,8185.553,8232.196,8273.208,8309.783,8341.806,8369.639,8393.644
aze,428.180442,617.7772902,807.3741384,1189.390117,2007.85179,2895.997,5281.238,5387.375,5490.572,5591.016,5688.997,5784.587,5878.259,5971.198,6064.905,6160.502,6258.49,6358.78,6461.139,6565.062,6670.151,6775.858,6882.16,6989.708,7099.449,7211.692,7327.57,7445.925,7562.075,7669.735,7764.798,7845.31,7913.692,7975.648,8039.312,8110.723,8191.464,8280.252,8376.733,8479.668,8587.902,8701.719,8821.012,8943.6,9066.604,9187.783
bdi,386.3929057,417.5443959,448.6958861,194.5276187,479.3404738,2456.3,3549.864,3577.187,3602.204,3634.284,3680.401,3742.452,3819.115,3910.124,4014.19,4129.997,4257.303,4395.56,4542.467,4695.065,4850.597,5008.201,5166.403,5321.108,5467.413,5601.72,5724.03,5835.071,5933.293,6017.127,6086.751,6140.258,6181.493,6223.515,6283.662,6374.347,6499.653,6656.071,6838.764,7039.534,7251.424,7474.363,7707.781,7943.385,8170.853,8382.849
bel,1997.481298,2594.228835,3190.976373,4443.397146,6710.538419,8628.489,9660.688,9696.539,9730.978,9761.867,9787.677,9808.403,9824.685,9836.487,9843.898,9847.297,9846.32,9841.8,9836.784,9835.279,9840.123,9852.488,9871.551,9895.654,9922.158,9949.019,9976.325,10004.469,10032.084,10057.529,10079.873,10098.192,10113.392,10128.653,10148.371,10175.684,10211.264,10254.025,10303.108,10356.993,10414.209,10474.993,10538.758,10602.167,10660.938,10712.066
ben,354.7619515,383.3633137,411.964676,178.6031695,440.1006318,2255.222,2908.713,2971.515,3037.99,3108.179,3182.13,3259.918,3341.618,3427.274,3516.917,3610.578,3708.675,3811.326,3917.941,4027.682,4140.176,4254.522,4371.47,4494.242,4627.194,4773.137,4934.077,5108.335,5290.562,5473.217,5651.141,5821.985,5988.093,6154.708,6329.476,6517.81,6721.337,6937.985,7164.976,7397.985,7633.757,7871.707,8112.573,8355.98,8601.771,8849.892
bfa,673.9749062,728.3116251,782.648344,339.3093705,836.1008863,4284.459,5923.949,6044.303,6169.133,6299.238,6435.274,6577.502,6726.016,6881.106,7043.049,7212.088,7388.473,7572.382,7763.888,7963.009,8169.792,8384.383,8606.963,8837.666,9076.631,9323.996,9580.035,9844.931,10118.634,10401.025,10692.138,10992.17,11301.608,11621.159,11951.701,12294.012,12648.474,13015.435,13395.599,13789.736,14198.463,14622.202,15061.127,15515.258,15984.479,16468.714
