# File: L100.Pop_thous_ctry_Yh.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Title: Population by country over the historical time period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Units: thous persons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Comments: Written by L100.Population_downscale_ctry.R; Tue Mar 28 06:33:18 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iso,X1700,X1750,X1800,X1850,X1900,X1950,X1971,X1972,X1973,X1974,X1975,X1976,X1977,X1978,X1979,X1980,X1981,X1982,X1983,X1984,X1985,X1986,X1987,X1988,X1989,X1990,X1991,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010
bgd,5961.093817,6441.684824,6922.275831,3001.08353,7395.046577,37894.678,67849.312,68461.849,68933.357,69567.5,70582.168,72053.923,73915.723,76066.342,78342.736,80624.423,82883.616,85156.396,87459.802,89828.434,92283.598,94825.499,97429.29,100062.322,102681.627,105256.026,107768.749,110225.555,112645.46,115059.015,117486.952,119928.682,122370.403,124803.351,127214.841,129592.275,131944.584,134266.428,136514.768,138633.401,140587.922,142353.501,143956.805,145478.3,147030.145,148692.131
bgr,1250.086029,1640.529565,2030.973101,2500.172057,4000.275291,7250.999,8541.136,8590.839,8637.941,8681.449,8720.706,8754.869,8784.175,8810.299,8835.614,8861.536,8888.449,8914.88,8938.068,8954.236,8960.417,8956.687,8943.245,8917.563,8876.627,8818.915,8743.034,8651.284,8550.495,8449.971,8356.624,8273.011,8198.008,8130.284,8067.041,8006.158,7947.761,7892.666,7840.117,7789.18,7739.115,7689.52,7640.283,7591.322,7542.674,7494.332
bhr,18.18656378,19.65278781,21.11901184,9.155936594,22.56137722,115.612,219.532,228.255,238.468,250.683,265.16,282.245,301.559,321.751,340.98,357.957,372.074,383.785,394.164,404.829,416.929,430.845,446.142,462.184,477.995,492.891,506.685,519.696,532.362,545.329,559.069,574.914,592.986,611.237,626.765,638.193,642.51,642.07,647.164,671.76,724.807,811.41,925.733,1052.359,1169.578,1261.835
bhs,12.44108705,13.4441034,14.44711975,6.263404433,15.43381484,79.088,173.875,177.849,181.49,185.091,188.87,192.885,197.09,201.474,205.99,210.6,215.33,220.188,225.083,229.899,234.553,238.989,243.236,247.409,251.671,256.128,260.845,265.761,270.701,275.426,279.774,283.677,287.217,290.571,293.988,297.651,301.606,305.801,310.201,314.739,319.358,324.066,328.861,333.661,338.358,342.877
bih,449.0591704,616.7759666,784.4927628,979.7654626,1824.64988,2661.293,3599.885,3636.93,3674.638,3711.662,3747.109,3780.559,3812.557,3844.329,3877.598,3913.536,3949.509,3984.259,4021.59,4066.739,4121.595,4194.37,4279.632,4349.682,4367.069,4308.197,4157.485,3931.372,3677.379,3462.032,3332.098,3305.672,3365.616,3480.285,3601.438,3693.698,3748.37,3775.883,3782.717,3781.358,3781.001,3781.588,3779.034,3774.164,3767.683,3760.149
blr,1145.118178,1652.172625,2159.227073,3180.883827,5369.763207,7745.003,9113.454,9181.971,9246.05,9307.285,9367.004,9425.089,9481.56,9538.046,9596.589,9658.5,9724.106,9792.555,9862.43,9931.687,9998.503,10062.44,10122.88,10177.584,10223.861,10259.7,10284.522,10298.479,10301.336,10293.127,10274.231,10244.354,10204.382,10157.409,10107.518,10057.81,10009.81,9963.383,9917.927,9872.11,9825.102,9776.823,9728.228,9680.69,9636.016,9595.421
blz,10.84127601,11.71531355,12.58935109,5.457987391,13.44916613,68.918,124.973,127.389,129.6,131.642,133.562,135.334,137.009,138.806,141.014,143.829,147.358,151.535,156.171,160.991,165.792,170.504,175.192,179.952,184.935,190.241,195.895,201.832,207.962,214.153,220.311,226.403,232.446,238.457,244.471,250.512,256.582,262.667,268.76,274.855,280.947,287.035,293.124,299.237,305.398,311.627
bmu,5.861254596,6.333796438,6.806338279,2.950819962,7.271190837,37.26,52.301,52.831,53.347,53.832,54.278,54.682,55.051,55.396,55.73,56.064,56.4,56.739,57.084,57.441,57.812,58.201,58.606,59.016,59.416,59.795,60.15,60.483,60.799,61.104,61.405,61.701,61.99,62.275,62.555,62.834,63.112,63.388,63.655,63.905,64.13,64.328,64.502,64.657,64.802,64.941
bol,929.3168277,1004.239539,1079.16225,1347.971756,1663.871978,2713.63,4319.564,4426.012,4535.5,4647.442,4761.344,4877.275,4995.172,5114.274,5233.624,5352.649,5471.025,5589.245,5708.585,5830.816,5957.291,6088.253,6223.523,6363.47,6508.417,6658.462,6813.834,6974.168,7138.204,7304.23,7470.925,7637.622,7804.333,7971.237,8138.802,8307.248,8476.709,8646.659,8815.911,8982.917,9146.655,9306.66,9463.497,9618.466,9773.441,9929.849
bra,1262.43496,2633.018515,4003.60207,7305.963601,18162.90426,53974.725,98445.131,100828.667,103242.395,105703.409,108224.08,110804.816,113442.106,116138.507,118895.875,121711.864,124588.432,127514.673,130459.023,133380.123,136246.764,139049.44,141791.325,144470.377,147088.677,149650.206,152146.887,154582.103,156985.824,159398.558,161848.162,164342.524,166869.168,169409.713,171936.271,174425.387,176877.135,179289.227,181633.074,183873.377,185986.964,187958.211,189798.07,191543.237,193246.61,194946.47
brb,33.19096655,35.86686472,38.54276289,16.70982979,41.17511837,210.995,239.841,241.345,242.949,244.433,245.646,246.523,247.128,247.589,248.101,248.796,249.716,250.809,252.017,253.244,254.419,255.532,256.602,257.621,258.588,259.501,260.351,261.136,261.885,262.637,263.416,264.237,265.088,265.941,266.758,267.511,268.192,268.813,269.389,269.947,270.503,271.062,271.618,272.18,272.75,273.331
brn,7.550887866,8.159650102,8.768412339,3.801457569,9.367268689,48.001,131.01,137.181,143.548,150.039,156.595,163.208,169.865,176.488,182.986,189.3,195.394,201.301,207.122,213.002,219.05,225.288,231.7,238.305,245.112,252.125,259.357,266.794,274.371,282,289.614,297.188,304.726,312.216,319.654,327.036,334.348,341.585,348.771,355.943,363.123,370.317,377.513,384.695,391.837,398.92
btn,26.48686165,28.62226631,30.75767097,13.33468097,32.85832795,168.377,312.929,324.815,337.37,350.365,363.603,377.068,390.732,404.375,417.734,430.633,442.648,453.793,464.831,476.846,490.438,506.423,524.133,540.918,553.157,558.5,555.747,546.356,533.895,523.417,518.584,520.529,528.222,540.507,555.377,571.262,588.05,606.024,624.431,642.4,659.293,674.681,688.581,701.363,713.665,725.94
bwa,64.89428187,70.12614187,75.35800186,32.67070885,80.50472811,412.533,715.745,739.683,765.101,792.432,821.942,853.774,887.716,923.234,959.584,996.211,1032.889,1069.707,1106.802,1144.442,1182.803,1221.79,1261.235,1301.146,1341.54,1382.371,1423.57,1464.924,1506.037,1546.414,1585.637,1623.704,1660.538,1695.587,1728.179,1757.925,1784.449,1808.103,1830.127,1852.243,1875.673,1900.905,1927.54,1954.822,1981.576,2006.945
caf,208.6916531,225.5166411,242.341629,105.0647922,258.8928378,1326.653,1864.764,1900.723,1937.41,1975.985,2017.362,2061.466,2108.232,2158.547,2213.492,2273.63,2339.759,2411.176,2485.12,2557.808,2626.638,2690.25,2749.702,2807.768,2868.515,2934.777,3007.347,3084.958,3165.869,3247.456,3327.71,3406.451,3484.027,3559.604,3632.287,3701.607,3767.068,3829.238,3890.075,3952.281,4017.88,4087.534,4160.94,4237.961,4318.128,4401.051
can,196.0828387,447.7224817,699.3621247,2436.329271,5350.120254,13736.997,22048.431,22344.104,22614.673,22876.657,23142.272,23416.09,23695.198,23975.639,24250.641,24516.277,24769.849,25016.047,25266.95,25538.86,25842.588,26183.106,26554.54,26943.398,27330.298,27700.854,28051.725,28386.162,28704.519,29009.032,29302.092,29582.222,29850.242,30113.972,30383.823,30667.365,30967.236,31281.727,31608.562,31943.605,32283.413,32627.978,32977.334,33327.954,33675.448,34016.593
che,1193.375714,1519.067836,1844.759957,2365.867352,3281.783213,4668.088,6221.393,6269.871,6311.231,6340.818,6355.947,6355.012,6340.979,6321.339,6306.326,6303.346,6315.53,6341.096,6376.512,6415.987,6455.375,6493.102,6530.777,6571.061,6617.925,6673.738,6740.104,6814.701,6891.266,6961.228,7018.702,7060.963,7090.483,7112.948,7136.74,7167.908,7207.987,7254.975,7307.078,7361.231,7415.007,7468.35,7521.613,7573.204,7621.211,7664.318
chi,16.08226956,17.3788427,18.67541583,8.096539959,19.95089091,102.235,122.338,123.534,124.649,125.599,126.335,126.821,127.101,127.299,127.585,128.085,128.828,129.777,130.905,132.156,133.482,134.898,136.394,137.856,139.136,140.137,140.804,141.179,141.384,141.594,141.934,142.448,143.102,143.847,144.607,145.33,145.995,146.626,147.262,147.963,148.763,149.682,150.689,151.705,152.618,153.352
chl,663.357964,716.8387314,770.3194989,1407.824396,2954.661322,6081.931,9752.949,9925.95,10095.485,10260.027,10418.88,10571.597,10719.748,10867.152,11018.91,11178.817,11348.442,11527.274,11714.442,11908.189,12107.225,12310.666,12518.93,12733.409,12956.088,13187.821,13429.315,13678.373,13929.39,14174.89,14409.416,14630.769,14840.038,15039.162,15231.557,15419.82,15604.2,15783.991,15959.793,16132.209,16301.726,16468.677,16633.254,16795.593,16955.737,17113.688
chn,138998.4872,240981.0728,342963.6585,414980.9906,402894.1657,550771.433,836431.505,857804.035,878305.091,897479.153,915040.954,930744.699,944726.607,957584.105,970179.212,983170.638,996667.562,1010574.797,1025090.475,1040397.958,1056579.219,1073792.041,1091904.967,1110339.206,1128297.564,1145195.229,1160799.514,1175230.312,1188687.527,1201522.57,1213986.61,1226134.423,1237849.861,1249020.152,1259476.966,1269116.737,1277903.627,1285933.789,1293396.654,1300552.134,1307593.489,1314581.402,1321481.935,1328275.524,1334908.82,1341335.152
civ,413.7378764,447.0939531,480.4500298,208.2943105,513.2633306,2630.132,5655.462,5909.848,6180.001,6466.158,6768.313,7086.257,7419.474,7767.109,8128.032,8500.985,8885.888,9281.593,9684.478,10089.976,10494.827,10896.269,11294.791,11694.318,12100.741,12517.73,12945.88,13381.799,13820.229,14253.952,14677.2,15089.912,15492.127,15878.555,16242.889,16581.653,16892.864,17180.649,17455.501,17731.84,18020.946,18325.979,18646.754,18987.007,19350.026,19737.8
cmr,702.6107373,759.2561135,815.9014897,353.7259396,871.6251224,4466.497,7022.124,7210.272,7407.756,7616.558,7837.926,8072.879,8320.635,8578.425,8842.355,9109.727,9379.109,9651.552,9929.831,10218.016,10518.855,10832.919,11158.6,11493.77,11835.344,12180.819,12529.904,12882.506,13236.573,13589.699,13940.337,14287.475,14631.908,14976.2,15324.051,15678.269,16039.737,16408.085,16783.366,17165.267,17553.589,17948.395,18350.022,18758.778,19175.028,19598.889
cod,1916.57378,2071.090409,2225.607038,964.8896966,2377.609346,12183.661,20845.085,21431.338,22032.669,22658.905,23316.776,24011.465,24740.389,25493.382,26255.837,27018.69,27781.042,28551.259,29341.286,30167.58,31044.153,31963.766,32927.332,33965.482,35117.79,36406.226,37856.212,39443.819,41081.774,42650.247,44067.369,45295.039,46369.335,47373.59,48429.878,49626.2,50989.424,52491.329,54098.245,55754.885,57420.522,59088.415,60772.175,62474.901,64204.304,65965.795
cog,127.0608623,137.3046715,147.5484808,63.96816975,157.6256009,807.726,1375.987,1418.826,1463.231,1508.675,1554.793,1601.41,1648.671,1696.922,1746.676,1798.285,1851.889,1907.33,1964.298,2022.343,2081.152,2140.687,2201.097,2262.489,2325.035,2388.902,2453.938,2520.196,2588.27,2658.948,2732.706,2810.118,2890.841,2973.329,3055.437,3135.773,3213.33,3288.923,3365.171,3445.765,3533.177,3628.561,3730.612,3836.339,3941.454,4042.899
cok,2.372030544,2.56326668,2.754502816,1.194187177,2.942627124,15.079,21.507,21.423,21.177,20.808,20.356,19.812,19.185,18.552,18.01,17.627,17.441,17.429,17.531,17.652,17.725,17.726,17.678,17.613,17.58,17.614,17.73,17.909,18.105,18.252,18.307,18.246,18.095,17.919,17.808,17.83,18.007,18.311,18.693,19.075,19.402,19.659,19.861,20.019,20.156,20.288
col,1075.091861,1161.767142,1248.442423,2137.672971,4138.700503,11999.6,21861.689,22381.887,22898.136,23421.644,23960.605,24517.307,25089.511,25675.364,26271.401,26874.906,27485.678,28104.254,28729.367,29359.535,29993.539,30630.754,31270.841,31913.25,32557.521,33203.321,33849.971,34497.319,35146.22,35797.965,36453.337,37112.621,37775.054,38439.099,39102.653,39764.166,40422.597,41078.136,41731.914,42385.712,43040.558,43696.54,44352.327,45005.782,45654.044,46294.841
com,24.59241482,26.57508675,28.55775868,12.38093097,30.50816823,156.334,243.481,249,254.997,262.03,270.467,280.464,291.816,304.071,316.582,328.861,340.778,352.416,363.759,374.852,385.74,396.391,406.798,417.077,427.392,437.876,448.576,459.515,470.765,482.401,494.486,507.062,520.151,533.754,547.864,562.469,577.569,593.17,609.271,625.876,642.974,660.559,678.602,697.034,715.774,734.75
cpv,28.01069346,30.26895139,32.52720932,14.10184664,34.74872048,178.064,282.888,292.15,300.922,307.657,311.349,311.403,308.423,304.077,300.726,300.047,302.737,308.23,315.41,322.56,328.481,332.775,335.966,338.857,342.646,348.165,355.655,364.727,374.82,385.101,394.946,404.166,412.893,421.203,429.278,437.238,445.096,452.74,460.031,466.784,472.883,478.267,483.023,487.371,491.621,495.999
cri,60.44931654,65.32281775,70.19631895,112.5369558,330.9255036,966.015,1865.039,1908.913,1953.184,1999.429,2048.812,2101.762,2158.073,2217.457,2279.362,2343.345,2409.385,2477.549,2547.555,2619.058,2691.778,2765.657,2840.66,2916.566,2993.136,3070.24,3147.451,3224.849,3303.412,3384.498,3468.918,3557.095,3648.263,3740.578,3831.504,3919.18,4002.946,4083.197,4160.438,4235.605,4309.413,4381.82,4452.608,4522.124,4590.79,4658.887
cub,533.1701098,576.1549659,619.139822,1213.718725,1696.750124,5919.997,8855.989,9010.586,9160.532,9298.895,9420.828,9525.242,9614.061,9689.324,9754.343,9812.223,9862.283,9905.577,9949.046,10001.593,10069.187,10155.111,10256.694,10366.5,10473.701,10570.328,10654.121,10727.088,10790.686,10847.842,10900.795,10949.206,10992.29,11031.429,11068.382,11104.313,11140.168,11175.434,11208.029,11234.97,11254.242,11265.124,11268.687,11266.905,11262.628,11257.979
cym,1.008809064,1.090140541,1.171472018,0.50787999,1.251480055,6.413,10.004,10.581,11.253,11.99,12.764,13.578,14.432,15.29,16.11,16.861,17.524,18.116,18.702,19.366,20.172,21.141,22.253,23.475,24.752,26.048,27.363,28.71,30.074,31.437,32.792,34.096,35.361,36.704,38.284,40.195,42.501,45.117,47.815,50.273,52.268,53.712,54.679,55.295,55.763,56.23
cyp,77.7118043,83.97702935,90.2422544,39.12362783,96.4055306,494.014,620.987,628.14,635.261,642.496,649.918,657.685,665.676,673.386,680.13,685.51,689.265,691.792,694.146,697.782,703.752,712.396,723.434,736.531,751.1,766.663,783.189,800.707,818.858,837.205,855.424,873.277,890.758,908.059,925.504,943.294,961.482,979.874,998.134,1015.806,1032.562,1048.272,1063.027,1077.001,1090.473,1103.647
cze,3224.195888,4166.676112,5109.156335,6627.513769,8699.596993,8876.26,9819.749,9855.516,9896.416,9942.472,9993.206,10049.465,10110.02,10169.747,10221.861,10261.606,10286.947,10299.49,10302.679,10301.798,10300.844,10300.475,10299.854,10299.711,10300.582,10302.718,10307.13,10313.662,10319.923,10322.561,10319.337,10310.016,10295.984,10278.707,10260.335,10242.89,10225.701,10209.5,10199.327,10201.665,10220.638,10258.796,10313.525,10377.359,10439.735,10492.96
deu,15000.31371,19127.48336,23254.65301,33746.70577,54389.13748,68376.002,78398.25,78549.958,78635.758,78672.415,78673.559,78648.816,78600.404,78526.576,78422.458,78288.577,78124.452,77944.929,77784.306,77686.865,77684.875,77783.439,77974.722,78260.173,78637.382,79098.094,79651.903,80282.985,80926.118,81495.194,81929.441,82200.333,82326.019,82350.467,82341.545,82349.027,82384.256,82432.026,82484.111,82524.343,82540.739,82536.138,82516.297,82475.271,82405.365,82302.465
dji,9.753184279,10.53949847,11.32581266,4.910192928,12.09933181,62.001,171.519,181.622,192.922,206.763,223.963,245.326,270.222,296.307,320.332,340.133,354.304,363.94,372.386,384.409,403.221,430.367,464.202,500.876,534.862,562.29,581.641,594.437,603.534,613.219,626.537,644.434,665.755,688.94,711.573,731.93,749.604,765.283,779.64,793.738,808.367,823.682,839.453,855.636,872.09,888.716
dma,8.038539214,8.686616526,9.334693838,4.046963256,9.972225522,51.101,71.567,71.737,71.745,71.811,72.092,72.648,73.412,74.24,74.922,75.312,75.374,75.166,74.747,74.212,73.637,73.022,72.365,71.74,71.24,70.926,70.842,70.962,71.181,71.35,71.364,71.184,70.846,70.419,70.003,69.672,69.447,69.301,69.2,69.087,68.925,68.7,68.434,68.159,67.922,67.757
dnk,699.5525638,889.0147165,1078.476869,1498.041847,2559.363023,4268.27,4959.083,4987.806,5014.503,5038.752,5060.227,5079.015,5095.133,5108.145,5117.514,5123.026,5124.545,5122.696,5118.998,5115.476,5113.701,5114.172,5116.854,5122.098,5130.127,5141.034,5155.038,5172.04,5191.37,5212.071,5233.364,5255.213,5277.572,5299.649,5320.488,5339.501,5356.055,5370.507,5384.487,5400.28,5419.444,5442.644,5469.13,5497.312,5524.874,5550.142
dom,77.52631936,83.77659038,90.02686139,147.6845142,520.9419508,2380.116,4637.627,4764.319,4891.5,5019.002,5146.742,5274.591,5402.683,5531.528,5661.827,5794.074,5928.429,6064.722,6202.698,6341.95,6482.152,6623.094,6764.75,6907.171,7050.48,7194.666,7339.826,7485.619,7631.076,7774.932,7916.309,8054.768,8190.62,8324.68,8458.164,8591.967,8726.256,8860.76,8995.398,9129.965,9264.267,9398.285,9531.954,9664.948,9796.852,9927.32
dza,1722.504273,2107.607014,2492.709754,3288.703586,4898.504576,8752.997,14165.889,14600.659,15052.371,15524.137,16018.195,16533.323,17068.212,17624.756,18205.468,18811.199,19442.423,20095.648,20762.767,21433.07,22098.298,22753.511,23398.47,24035.237,24668.1,25299.182,25930.56,26557.969,27169.903,27751.086,28291.591,28786.855,29242.917,29673.694,30099.01,30533.827,30982.214,31441.848,31913.462,32396.048,32888.449,33391.954,33906.605,34428.028,34950.168,35468.208
