# File: A321.inc_elas_output.csv
# Title: cement demand income elasticity as a function of per-capita cement output
# Units: tonnes per-capita for pc.output_t; Unitless for inc_elas
pc.output_t,inc_elas
0,1.264
0.1,1.1
0.2,1.109
0.3,0.6
0.4,0.336
0.5,0.18
0.6,-0.027
0.7,-0.041
0.8,-0.252
