# File: GCAMFAOSTAT_NFertilizer.csv
# Title: FAO fertilizer production and consumption by country_year
# Units: tonnes N
# Description:  Data is preprocessed and generated by gcamfaostat
# Data source: FAOSTAT (main domain:RFN FAO.udpate:2024-07-17T00:00:00)
# Date of CSV last update: 2024-10-15
# Column types: iciciccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,area,item_code,item,element_code,element,unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Armenia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,,,,,,,,,,,,,,,,,,,,,,,15000,15000,7000,7000,8000,8000,9620,6158,7000,5000,15700,10450,13187,10251,57900,26808,24331,39541.9,29587.4,35946.9,57446.8,58593.9,48635.7,63282,146292.2,90106.3,90106.3,24613.36,26163.08,18433.39,16775.89
1,Armenia,3102,Nutrient nitrogen N (total),5510,Production,t,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2727.272727272727,2454.5454545454545,2181.818181818182,1909.090909090909,1636.3636363636365,1363.6363636363637,1090.909090909091,818.181818181818,545.4545454545455,272.727272727273,0,0,0,0,0,0,0,0,0,0
2,Afghanistan,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,16000,14800,16000,17700,24200,27668,30646,37014,35497,33227,37846,28740,38843,36800,52820,53182,50720,52800,49830,50000,44100,42800,38900,40000,28333.333333333336,16666.666666666668,5000,5000,6000,5000,5000,18400,24523.53,20407.02,22339.69,20466.15,20463.22,16377.29,14432.03,14155.88,12929.01,22970.63,17065.25,34903.79,73872.84,92515.97,96670.85,140775.85,120610,59692.01,43141.63,33341.66,26035.56
2,Afghanistan,3102,Nutrient nitrogen N (total),5510,Production,t,19117,19117,19117,19117,19117,14774,26203,37689,48300,48300,48900,48300,48300,48300,48760,55200,56100,56700,55200,55200,57500,48800,42000,40000,14000,10000,5000,5000,5000,5000,5000,18400,23414,16206,19458,15631,17636,16973,15324,13606,12022,17555,15776,15694,14416,14416,14416,14416,14416,14416,14416,14416,14416
3,Albania,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,22500,31000,32600,36100,36300,36000,45300,50000,71900,70900,68800,72500,70800,73000,75000,75000,75000,66100,69300,79900,73500,22300,14800,15220,12680,10000,5500,4200,18000,5800,12100,10700,38216.98,37378.31,36119.72,37210.64,30333.88,31483.82,28744.8,33940.18,31292.44,36892.7,34944.13,30711.91,30711.76,36803.92,42896.08,39184.92,24769.07,38329.56,32578.7,24522.535,16466.37
3,Albania,3102,Nutrient nitrogen N (total),5510,Production,t,22900,36000,36000,36000,36000,36000,45000,50000,71900,72700,73000,73000,70800,73000,75000,75000,75000,66100,69300,79900,72400,22300,5700,9200,3650,3193.75,2737.5,2281.25,1825,1368.75,912.5,456.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Algeria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,43000,68000,81000,76000,66000,40000,51000,52138,57616,60269,84000,57700,48738,59300,87724,98173,112680,80000,52600,46300,63000,41000,46700,73800,58200,18400,14000,36000,44000,47000,44300,45300,28036,17076,104717,4086,43847,36626,23102,37100,60100,56300,72600,64000,76500,74400,70200,70200,70200,70200,70200,70200,70200
4,Algeria,3102,Nutrient nitrogen N (total),5510,Production,t,22300,39000,50000,52000,78700,31000,33003,41831,42200,20700,23800,23700,50990,47000,101788,105828,112490,117000,105500,88000,80000,87900,64500,104500,82900,12000,8300,28400,40700,54400,90700,118200,72600,99660,153790,83100,27440,137780,11040,13400,20800,19500,24500,68000,438300,777600,1043200,1043200,1043200,1043200,1043200,1043200,1043200
7,Angola,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,5500,11200,11200,9100,6500,2100,1000,13100,10000,9400,9200,4600,2800,3800,3715,12794,5000,4000,5221,9176,2500,2300,3100,2000,2000,2000,2000,2000,2300,2300,1400,2078.5,2757,1787,7187,3682,6641,5584,8172,10468,17369,16381,19423.09,20439.57,27612.52,25494.28,20776.77,26714.79,21644.96,16827.74,23881.08,17203.77,30632.71
7,Angola,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,33,0,17,9,2,9,23,4,4,26.7,32.41,20.62,7.68,61.16,8.98,9.02,27.02,2.28,4.54,15.81
8,Antigua and Barbuda,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Argentina,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,41003,45000,49000,43843,42000,28000,39200,41700,47718,58915,62652,51173,53300,62200,103800,104600,93000,94500,99100,99400,101400,95700,146600,167700,281800,318800,510300,476400,422700,457300,498223,496500,534592,740659,796423,640406,787677,981351,761959,477061,771245,857190,734890,788154,784091.52,603481.31,923361.84,975843.08,1160519.5,1278498.82,1400381.43,1658017.07,1767478.42
9,Argentina,3102,Nutrient nitrogen N (total),5510,Production,t,34209,39450,38000,28577,25000,18000,20700,27160,27943,25360,30437,25124,46900,50100,49300,52000,35983,43800,51100,49500,52500,42130,32688,47838,58186,58300,80700,97100,98600,119600,147000,433300,523700,607492,627693,574741,659115,468938,405948,514223,433113,533256,542503,630491.64,470858.26,431740,542945.76,617126.54,436101.01,510238.18,559953.7,400776.83,510238.18
10,Australia,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,123381,124239,166556,172259,177594,167000,207800,177000,215000,245000,248000,250000,258000,305000,344000,340000,332500,363100,392600,440300,439400,462300,488200,565400,583200,671300,824600,839400,979000,1082000,951000,1034000,972266,932911,1056527,952174,858103,848006,835018,849785,981787,1098921,1124607,1222075,1404588,1302762,1474114,1493809,1411216,1337593,1805533.41,2061884.85,1922418.08
10,Australia,3102,Nutrient nitrogen N (total),5510,Production,t,145000,176000,182000,197200,198000,180000,220000,215000,206000,209966,214000,206000,212000,232200,235000,215700,226200,249700,235900,230000,224500,229500,224100,232300,228900,281000,278700,250800,299000,316000,383000,379500,354464,314751,326123,338588,337240,392912,330489,543309,285633,317961,237495,716831.6,342300,413300,423400,423400,346800,340744.66,375055.49,419195.67,353218.08
11,Austria,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,125822,139379,135983,132103,125553,121444,143269,134519,154000,158000,159700,161544,149673,154126,161100,165083,136800,131500,141800,125100,135700,132000,124000,120000,121000,125000,125309,131819,127537,119492,121644,117093,127585,94435,100789,99702,103692,103262,134382,86254,90639,116751,97721,112005,111615,130252.24,122622.76,117703.82,113135.88,98234.09,115676.48,106482.81,97561.48
11,Austria,3102,Nutrient nitrogen N (total),5510,Production,t,218900,231600,229700,230450,226190,256000,239000,285000,295000,275000,300000,238100,254800,209000,253000,222000,193000,247000,234500,230000,229500,265000,184000,220000,223000,222000,240000,227000,254000,236000,186000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000
12,Bahamas,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,500,500,600,786,524,463,529,600,400,400,500,500,400,300,300,200,200,200,200,200,200,200,200,100,100,100,200,100,100,100,100,400,426.96363636363634,453.92727272727274,480.8909090909091,507.8545454545455,534.8181818181818,561.7818181818182,588.7454545454545,615.709090909091,642.6727272727273,669.6363636363636,696.6,489.05,555.72,662.04,1279.47,1628.05,1989.14,632.84,452.11,452.11,452.11
12,Bahamas,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Bahrain,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,6,6,6,16,20,23,23,23,23,13,156.5,300,62,190,280,190,940,160,195,232,270,300,300,200,200,200,200,200,675,143,114,100,1778.79,1778.79,1778.79,1778.79,1778.79,1065.32,2281.84,1222.73,2545.27,1778.79,1778.79,1778.79,1778.79,1778.79,138.08,110.27,123.92,150.92,154.93,154.93,63.41
13,Bahrain,3102,Nutrient nitrogen N (total),5510,Production,t,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,214300,223376,246974,281800,290260,260820,234600,258086.68,287353.72,268990.98,304060,300840,289340,310040,288420,316480,319240,320840.96,373899.26,307988.97,355656.96,389526.98,339239.52,339239.52,308374.8
14,Barbados,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,2500,1600,2160,2190,1500,1200,1917,1470,1900,1700,1800,2000,2000,1595,1633,1261,1400,1500,1500,1500,1500,1500,1500,1500,1500,2000,2000,2000,1800,1800,1800,1800,587,673,2756,1232,1200,1127,1523,423,435,791,1178.18,1220.1,670.35,406.84,281.15,541.96,230.18,147.72,175.18,107.82,184.4
14,Barbados,3102,Nutrient nitrogen N (total),5510,Production,t,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Belgium-Luxembourg,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,177725,179427,179843,179225,185100,182485,189039,191795,196657,197758,194279,195420,197500,204700,199100,199100,199500,198900,196000,190000,186000,182000,173000,169000,168000,167000,172000,171000,171000,171000,,,,,,,,,,,,,,,,,,,,,,,
15,Belgium-Luxembourg,3102,Nutrient nitrogen N (total),5510,Production,t,595678,611929,640532,653812,641386,609956,645234,608961,752900,756100,743000,739000,731000,757000,730000,723000,665000,728000,666000,678000,770000,762000,606000,588000,612000,699000,660000,835000,899000,930000,,,,,,,,,,,,,,,,,,,,,,,
16,Bangladesh,3102,Nutrient nitrogen N (total),5157,Agricultural Use,t,97700,78100,129291,126953,82811,146618,167750,225191,227785,260215,267908,251628,304879,344928,384651,367785,422956,474614,528608,629795,609163,705600,713300,733562,803540,943000,996070,876600,882500,1014700,995852,1054245,1079064,951340,954039,993327,1098892,1048507,1287000,1156139,1166810,1274820,1129780,1111740,1230260,1320940,1172300,1240440,1330580,1327760,1361860,1528280,1509460
