# File: FAO_Paper_Prod_t_FORESTAT.csv
# Title: FAO paper and paperboard production by country and year
# Units: tonnes
# Source: FAOSTAT 
# Date of last update: 2022-06-29
# Column types: cicicicnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
countries,country.codes,item,item.codes,element,element.codes,unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Armenia,1,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200,1100,2000,2000,2000,3618,19999,26357,5900,7000,10000,11000,11500,7400,9800,9200,9000,10300,12500,12658,11630
Albania,3,Paper and paperboard,1876,Production,5510,tonnes,,,,,,6500,8000,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,26000,26000,43500,43500,43500,43500,43500,43500,43500,43500,43500,1000,2800,2800,2800,2800,2800,2800,2800,0,0,0,0,0,0,0,0,0,0,0,0,5123,9019
Algeria,4,Paper and paperboard,1876,Production,5510,tonnes,39700,25500,26500,31300,26100,23300,33900,31500,32000,36000,32000,33000,33000,30000,30000,30000,30000,30000,117000,134400,156600,156600,165100,182100,181100,195100,187100,189100,198100,169000,152500,150500,165100,155800,128100,90300,97000,94000,60800,56500,61900,48700,44900,48200,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500,46500
Angola,7,Paper and paperboard,1876,Production,5510,tonnes,1300,3000,2400,3400,2700,3800,4800,4800,5800,8900,10200,10900,14600,13000,13000,13000,13000,13000,13000,13000,13000,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,9,Paper and paperboard,1876,Production,5510,tonnes,373000,365000,341300,407600,523400,526000,472300,527800,581900,643500,716900,747800,772000,781000,650000,529000,539000,645000,789000,713000,669000,730000,899000,942000,864000,998000,1027000,974000,917000,891000,965000,977000,850000,961000,1025000,991000,1133000,978000,1012000,1082000,953000,1072000,1212000,1345000,1770000,1544000,1531000,1733000,1469000,1284000,1237000,1186000,1215000,1222440,1274000,1648000,1739000,1709000,1678000,1618000
Australia,10,Paper and paperboard,1876,Production,5510,tonnes,526000,528000,655100,658300,744700,776000,830900,818700,922400,1052400,1071600,1092200,1151900,1185400,1142000,1126000,1249000,1226000,1311000,1430000,1427000,1465000,1430000,1520000,1546000,1596000,1526000,1792000,1870000,2011000,2018000,1990000,2039000,2197000,2252000,2320000,2418000,2541000,2564000,2836000,2672000,2645000,3090000,3097000,3244000,3221000,3192000,3281000,3278000,3203000,3155000,3191000,3059000,3077000,3176000,3224000,3235038,3225000,3213000,3061000
Austria,11,Paper and paperboard,1876,Production,5510,tonnes,362000,357000,378000,415000,452000,738000,761000,841000,943000,1017000,1074000,1193000,1327000,1414000,1254000,1396000,1425000,1434000,1565000,1616000,1671000,1708000,1789000,1922000,2127000,2183000,2396000,2650000,2754000,2932000,3090000,3252000,3301000,3603000,3599000,3653000,3816000,4009000,4142000,4386000,4250000,4419000,4565000,4851962,4950000,5213000,5199000,5152635,4605542,5008934,4901164,5003847,4836772,4864920,4964513,4995014,4860416,5055119,4984712,4718542
Bahrain,13,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,15000,15000,15000,15000,15000,15000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Barbados,14,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
Bangladesh,16,Paper and paperboard,1876,Production,5510,tonnes,65000,61000,60000,73000,68000,76000,71000,78000,84000,79000,63000,48000,54000,60000,49000,45000,62000,58200,71000,74000,79000,94000,148000,149000,104000,113000,114000,116000,117000,112000,111000,97000,150000,160000,120000,90000,70000,46000,46000,46000,46000,46000,83000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000,58000
Bhutan,18,Paper and paperboard,1876,Production,5510,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
Bolivia (Plurinational State of),19,Paper and paperboard,1876,Production,5510,tonnes,500,400,500,500,500,500,500,500,500,500,500,600,600,500,500,500,500,500,500,500,500,500,500,500,500,500,2000,2000,2000,5000,5000,5000,5000,5000,2000,2000,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
