# File: GCAMFAOSTAT_CapitalStock.csv
# Title: FAO macroeconomic metrics of capital shocks by country_year
# Units: 2015 USD
# Description:  Data is preprocessed and generated by gcamfaostat
# Data source: FAOSTAT (main domain:CS FAO.udpate:2025-07-10T00:00:00)
# Date of CSV last update: 2025-08-26
# Column types: iicicccnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
area_code,item_code,item,element_code,element,unit,area,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Armenia,,,,,,110.718396,72.700406,74.797645,65.613138,83.980728,108.817629,153.182558,149.203377,111.177672,109.605183,114.201696,122.638297,131.166183,110.312181,102.39244,107.48224,106.274706,109.577684,144.632556,124.065735,148.688088,155.626938,174.962297,218.75
1,22031,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Armenia,,,,,,139.264102,166.869039,168.132675,177.206122,205.640092,185.352626,180.05395,187.772472,173.372865,139.4816,170.438939,201.396278,189.06782,189.65034,190.87455,212.881571,214.191755,211.305049,218.796232,184.92335,322.022211,321.963203,242.307409,248.76
1,22034,"Net Capital Stocks (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Armenia,,,,,,306.271759,302.193726,300.580706,292.066996,299.701494,325.342444,380.746665,421.940555,424.989784,426.192459,430.769596,441.066397,456.01072,444.373217,479.980577,484.961544,106.646085,105.883332,110.885709,202.220783,189.394085,187.951139,200.664547,170.654547
2,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Afghanistan,609.034306,559.52236,509.700098,474.487196,435.025036,398.348048,356.423418,463.725604,479.585329,350.632036,333.631688,296.470698,391.192804,312.393915,545.510782,433.260923,424.025192,435.198683,408.407634,294.401408,264.006307,316.348115,347.050929,349.243969,399.256678,468.080993,441.784,468.892522,509.37
2,22031,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Afghanistan,695.258146,688.599357,679.36007,668.124085,655.322006,641.003879,625.18679,612.280053,603.842579,592.518544,577.495343,561.748694,548.673678,536.860858,530.386348,527.926318,521.969323,516.42788,510.750396,501.189644,487.870497,476.008899,467.350337,460.198163,455.041293,453.758946,453.829359,453.919893,459.15
2,22034,"Net Capital Stocks (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Afghanistan,11196.89478,11067.817771,10898.157814,10704.520937,10484.223942,10241.568125,9972.804746,9824.2503,9699.993062,9458.10654,9214.242891,8948.96489,8791.48402,8567.017074,8582.141512,8487.476115,8389.531983,8308.302789,8205.960026,7999.17179,7775.307599,7615.646813,7495.347406,7384.393211,7328.608597,7342.930645,7330.885285,7345.857917,7396.077917
3,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Albania,252.36587,197.372796,144.934553,161.927552,194.252107,192.463927,190.489919,203.618994,220.366162,219.405405,211.155773,207.653923,217.13661,228.166667,241.916569,264.509618,274.122091,281.650185,293.166997,307.981707,311.77671,316.617437,311.908236,322.022411,334.705319,336.062465,358.951928,396.911336,443.31
3,22031,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Albania,153.06464,157.372922,158.199767,157.913644,159.124215,161.178243,162.996164,165.039662,167.856837,170.978573,173.636694,175.782784,177.979532,180.659859,183.922764,188.080184,192.954324,198.050233,203.411735,209.241492,215.279755,221.214794,226.797676,232.207735,237.977103,243.82151,250.042651,257.71599,272.15
3,22034,"Net Capital Stocks (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Albania,2524.195626,2564.195504,2550.930287,2554.944195,2590.072091,2621.357773,2648.851529,2687.430861,2739.940187,2788.367019,2825.886097,2857.757236,2896.914313,2944.421122,3002.414926,3078.84436,3160.012125,3243.6120770000002,3333.36734,3432.107555,3528.604511,3624.007154,3709.117713,3798.932389,3895.660605,3987.901561,4096.810837,4236.006183,4407.166183
4,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Algeria,820.236966,1135.029089,1111.019495,1417.117437,1568.275124,1305.571506,1295.019029,1232.679054,1477.93099,1577.772032,1452.036778,1391.023616,1419.627211,1115.376916,1275.892584,1288.38702,1447.805997,1635.566995,1817.226905,1917.136678,2091.851206,2159.560329,2064.417198,2211.564127,2401.655402,2478.270486,2437.829819,2927.815736,3293.2
4,22031,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Algeria,631.418446,652.191321,680.441299,715.458929,762.09317,802.582979,832.445716,858.329916,888.148422,926.530607,961.833035,989.414865,1014.369498,1029.557452,1039.52209,1054.079152,1072.920194,1101.046172,1138.567219,1182.284093,1231.616684,1285.262029,1334.865633,1383.053135,1438.466533,1498.556317,1556.125947,1623.727757,1727.27
4,22034,"Net Capital Stocks (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Algeria,10302.340803,10785.178571,11215.756767,11917.415276,12723.597229,13226.585756,13689.159068,14063.508207,14653.290775,15304.5322,15794.735942,16196.344692,16601.602405,16687.42187,16923.792364,17158.100232,17532.986035,18067.506859,18746.166545,19481.01913,20341.253652,21215.551952,21945.103517,22773.614509,23736.803379,24716.517548,25598.221419,26902.309398,28468.239398
7,22030,"Gross Fixed Capital Formation (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Angola,457.841711,592.910027,673.359668,1151.621288,510.513031,417.059047,497.033902,247.865652,298.121903,350.959384,338.212927,394.490303,422.090463,458.066392,588.518859,591.579007,631.896319,703.196057,782.342683,889.380427,1014.808462,1036.453907,891.948339,858.660163,858.451367,1284.886164,2147.047199,2736.022307,3300.69
7,22031,"Consumption of Fixed Capital (Agriculture, Forestry and Fishing)",6184,"Value US$, 2015 prices",million USD,Angola,526.989557,526.892736,533.267262,556.020655,572.523445,565.999201,559.462037,548.241302,531.72645,519.295302,508.812753,500.265085,494.746603,491.466512,493.376079,499.17645,505.930123,515.627087,529.255624,547.65198,571.918528,599.141287,621.044877,636.30044,649.635759,674.95774,737.418276,839.665265,836.96
