# File: FAO_USA_For_Exp_t_USD_FORESTAT.csv
# Title: FAO USA historical forests export qunatity and export value
# Units: Export Quantity in m3; Export Value in 1000 US$
# Column types: ciciciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
countries,country.codes,item,item.codes,element,element.codes,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States of America,231,Sawnwood,1872,Export Quantity,5916,1378675,1346188,1547040,1683112,1639308,1842150,2033201,2054274,2016916,2193247,2006574,2645310,3660279,3151906,3125051,3313102,3023559,3344005,3860596,4446965,4312633,3626530,4118108,3928421,3354139,4438756,5927825,8393949,7697176,8450929,7303851,6898519,6170282,5900450,5677398,5732625,6001823,4580786,5112970,5128900,4529611,4520339,4364962,4417454,4379706,4606603,4128124,3702626,3603734,4959766,5758045,5870000,6595416,6942341,6297818,6742906,7394518,7353524
United States of America,231,Sawnwood,1872,Export Value,5922,84485,89191,105923,117716,119543,132241,135693,151423,176026,193685,169622,285916,475732,470353,413188,566115,548988,568431,1009775,1053683,925865,805026,897979,834899,753781,987212,1349145,1825394,2050572,2159057,2220074,2519347,2449338,2447133,2436560,2455178,2504010,1908132,2184182,2180578,1753576,1689928,1691108,2035727,1964004,2210369,1981850,1715075,1539771,2223839,2523139,2593957,3082030,3515677,3104316,3304076,3792074,3791960
United States of America,231,Veneer sheets,1634,Export Quantity,5916,12800,14300,17500,31900,37500,34900,42800,68500,81500,73400,127100,109600,146800,133000,163000,268600,338700,467100,237000,294600,291300,252000,317500,302900,243200,324000,392500,404500,206300,508000,418000,456000,486000,578000,526000,486000,670000,866000,968000,1038000,969000,1094000,1082000,1216899,382612,370294,344709,279911,202305,228638,221276,147900,140251,137201,153500,220713,239800,289259
United States of America,231,Veneer sheets,1634,Export Value,5922,2814,3535,4543,7116,8989,8057,7777,11735,14704,13530,15158,22139,35726,37169,42243,46060,47192,74318,91436,122428,97590,84435,106701,93727,71817,96939,128005,160325,173581,210901,221712,237687,253301,308416,258818,259588,361631,364410,408754,448461,404796,457609,473270,532975,510155,506706,505299,414619,297031,328998,318955,317095,322165,325347,296306,315983,309810,338099
United States of America,231,Wood pulp,1875,Export Quantity,5910,398000,438400,480200,528000,490700,520000,560100,1737800,1907500,2808200,1973600,2044700,2126300,2544000,2391200,2298000,2415000,2310300,2624400,3391500,3321800,3060000,3275300,3215400,3414800,4012900,4415900,5015400,5667400,5359500,5747700,6615487,5917052,6101000,7494000,6532000,6328000,5466000,5499000,5816000,5594418,5673323,5304566,5643849,5817483,6198347,6473556,7076900,7043373,7884442,8842322,7912200,8079817,7875409,7755236,7798609,7975000,7834958
United States of America,231,Wood pulp,1875,Export Value,5922,75349,78766,85592,94235,88769,96645,106275,254961,281462,463952,350858,357956,420360,820752,896516,848751,880275,806572,1092702,1628666,1655689,1407655,1350732,1483491,1343466,1649892,2250495,2904521,3520714,3151679,2713015,3148001,2380775,2832935,4536623,3208807,2995813,2537853,2600503,3256021,2631600,2612230,2595450,2868360,3197866,3494741,3962829,4607857,4030289,5365916,6098258,5691881,5711108,5805635,5469825,5161436,5566651,5956739
United States of America,231,Wood-based panels,1873,Export Quantity,5916,29800,31200,35400,45800,48800,130946,146109,154063,281784,230761,265141,377564,625604,843862,861650,833200,527600,544800,627800,673700,1023400,664900,817600,745500,692300,1248200,1568200,2056300,2502100,2652900,2534200,2796816,2695200,2503000,2618139,2587000,2866300,1894000,1800000,1800000,1649412,1716935,1563746,1722624,1699000,1818466,1959293,2218036,1758798,2134013,2175140,2487600,2278502,2149518,1665090,2016256,1930650,1985384
United States of America,231,Wood-based panels,1873,Export Value,5922,7655,8201,9810,11676,13811,17693,20606,21573,41602,28536,31542,56603,102306,148772,179775,195298,121513,114451,155396,161562,251552,166763,204545,142350,155801,237647,314134,426815,461514,539616,476241,630190,668585,653967,685879,636299,737155,539992,546364,559339,483646,470008,430878,484282,497065,598850,637805,714744,757203,812103,821700,881493,863387,825855,739190,718707,769361,715696
