# File: FAO_ag_items_PRODSTAT.csv
# Title: Mapping file of FAO primary Ag products to commodities in GCAM and other database
# Unit: Unitless
# Description: Maps FAO PRODSTAT crops to GCAM commodities and crop names in all other databases.
# item and item_code are both updated for primary (land-based) crops  (Pumpkins for Fodder has data issue so not mapped). 
# FAO only has price data for items with TRUE for price_item.
# Sources: FAO and other databases
# Date of last update: 2022-03-15 (XZ)
# Column types: cilcccciccccccccccc
# ----------
item,item_code,price_item,GTAP_crop,GCAM_commodity,GCAM_subsector,CROSIT_crop,CROSIT_cropID,IFA2002_crop,IFA_commodity,MIRCA_crop_name,MIRCA_crop,MIRCA_Crop24and26,MH_crop,MH2011_crop,MH2014_proxy,GTAP_use,Nfix,Suffix
Agave fibres nes,800,TRUE,AgaveFibrNES,FiberCrop,FiberCrop,,,,Other,Others (annual),Crop26,AgaveFibresNes,,,,pfb,,C4
Alfalfa for forage and silage,641,FALSE,Alff4FrgSlg,FodderHerb,FodderHerb,,,Alfalfa,Other,Fodder crops,Crop25,,,Peas,"Peas, green",ocr,Nfix,Tree
"Almonds, with shell",221,TRUE,Almonds,NutsSeeds,NutsSeedsTree,,,Almond,FruitsAndVeg,Others (perennial) ,Crop24,Almonds_withshell,,,,v_f,,
"Anise, badian, fennel, coriander",711,TRUE,Ans_bdn_fnnl,MiscCrop,MiscCrop,,,,Other,Others (annual),Crop26,Anise_badian_fennel_corian.,,,,ocr,,
Apples,515,TRUE,Apples,Fruits,FruitsTree,FRUI,19,Apple,FruitsAndVeg,Others (perennial) ,Crop24,Apples,,Apples,,v_f,,
Apricots,526,TRUE,Apricots,Fruits,FruitsTree,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Apricots,,Fruits other,,v_f,,
Areca nuts,226,TRUE,ArcNtBtl,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Arecanuts,,Nuts,,v_f,,
Artichokes,366,TRUE,Artichokes,Vegetables,Vegetables,VEGE,16,Artichoke,FruitsAndVeg,Others (annual),Crop26,Artichokes,,Vegetables other,,v_f,,
Asparagus,367,TRUE,Asparagus,Vegetables,Vegetables,VEGE,16,Asparagus,FruitsAndVeg,Others (annual),Crop26,Asparagus,,Vegetables other,,v_f,,
Avocados,572,TRUE,Avocados,Fruits,FruitsTree,FRUI,19,Avocado,FruitsAndVeg,Others (perennial) ,Crop24,Avocados,,Fruits other,,v_f,,
Bambara beans,203,TRUE,BambaraBeans,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Pulses other,,,Nfix,
Bananas,486,TRUE,Bananas,Fruits,FruitsTree,BANA,17,Banana,FruitsAndVeg,Others (perennial) ,Crop24,Bananas,,Bananas,,v_f,,
Barley,44,TRUE,Barley,OtherGrain,OtherGrain,BARL,4,Barley,OtherCoarseGrains,Barley,Crop4,,Barley,Barley,,gro,,
"Bastfibres, other",782,TRUE,JuteLikeFibr,FiberCrop,FiberCrop,FIBR,33,Jute,Other,Others (annual),Crop26,OtherBastfibres,,,,pfb,,
"Beans, dry",176,TRUE,BeansDry,Legumes,Legumes,PULS,15,Dry beans,Other,Pulses,Crop17,,,Beans,,,Nfix,
"Beans, green",414,TRUE,BeanGreen,Vegetables,Vegetables,,,Bean,FruitsAndVeg,Others (annual),Crop26,Beans_green,,Beans,,,Nfix,
Beets for Fodder,647,FALSE,Beets4Fodder,FodderHerb,FodderHerb,,,Fodder (beet),Other,Fodder crops,Crop25,,,Roots other,Carrots and turnips,ocr,,
Berries nes,558,TRUE,Berriesnes,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (annual),Crop26,BerriesNes,,Fruits other,,v_f,,
Blueberries,552,TRUE,Blueberries,Fruits,Fruits,FRUI,19,,FruitsAndVeg,Others (perennial) ,Crop24,Blueberries,,Fruits other,,v_f,,
"Brazil nuts, with shell",216,TRUE,BrazilNuts,NutsSeeds,NutsSeedsTree,,,,Other,Others (perennial) ,Crop24,Brazilnuts_withshell,,Nuts,,v_f,,
"Broad beans, horse beans, dry",181,TRUE,BrdBeansDry,Legumes,Legumes,PULS,15,,Other,Pulses,Crop17,,,Beans,,,Nfix,
Buckwheat,89,TRUE,Buckwheat,OtherGrain,OtherGrain,OTHC,7,,OtherCoarseGrains,Others (annual),Crop26,Buckwheat,,,,gro,,
